PWSID,Approximate Address
IL3055566,Not Found
IL3023770,Not Found
IL3157420,Not Found
IL3134205,Not Found
IL3119776,Not Found
IL3003947,Not Found
IL3000604,Not Found
IL3085761,Not Found
IL3003665,Not Found
IL3003640,Not Found
IL3102327,Not Found
IL3148825,Not Found
IL3150805,Not Found
IL3037481,Not Found
IL3082040,Not Found
IL3134387,Not Found
IL3064907,Not Found
IL3153387,Not Found
IL3153957,Not Found
IL3106773,Not Found
IL3110940,Not Found
IL3015966,Not Found
IL3134650,Not Found
IL3015149,Not Found
IL3022129,Not Found
IL3022111,Not Found
IL3041137,Not Found
IL3017509,Not Found
IL3161703,Not Found
IL3104000,Not Found
IL3068866,Not Found
IL3108860,Not Found
IL3073148,Not Found
IL3102723,Not Found
IL3100529,Not Found
IL3069799,Not Found
IL3004549,Not Found
IL3120204,Not Found
IL3130021,Not Found
IL3161299,Not Found
IL3161182,Not Found
IL3102186,Not Found
IL3161935,Not Found
IL3142380,Not Found
IL3103952,Not Found
IL3151654,Not Found
IL3077511,Not Found
IL3110429,Not Found
IL3000695,Not Found
IL3015735,Not Found
IL0915445,Not Found
IL3103457,Not Found
IL3155234,Not Found
IL3112615,Not Found
IL3003186,Not Found
IL3122804,Not Found
IL3152454,Not Found
IL3058412,Not Found
IL3097345,Not Found
IL3127902,Not Found
IL3090738,Not Found
IL3155283,Not Found
IL3154187,Not Found
IL3152884,Not Found
IL3154732,Not Found
IL3135491,Not Found
IL3138321,Not Found
IL3138305,Not Found
IL3138289,Not Found
IL3152397,Not Found
IL3151613,Not Found
IL3150615,Not Found
IL3157370,Not Found
IL3149302,Not Found
IL3149757,Not Found
IL3136598,Not Found
IL3144584,Not Found
IL3142711,Not Found
IL3144162,Not Found
IL3142406,Not Found
IL3146290,Not Found
IL3143313,Not Found
IL3146464,Not Found
IL3000745,Not Found
IL3146753,Not Found
IL3146746,Not Found
IL3144154,Not Found
IL3143875,Not Found
IL3142752,Not Found
IL0190850,Not Found
IL3156083,Not Found
IL3161810,Not Found
IL3001040,Not Found
IL3023549,Not Found
IL1590220,Not Found
