PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IL3021568,TOMAHAWK CAMPGROUND #1 (21568),"119 Tomahawk Dr, Pocahontas, Illinois, 62275",62275,Illinois,Region 5,Transient non-community system,90,,Bond,3,4,22,-89.518658,38.761451,-89.518658,38.761451,-89.528658,-89.508658,38.751451,38.771451
IL3116079,THE DALE,"102 Lincoln St, Lawndale, Illinois, 61751",61751,Illinois,Region 5,Transient non-community system,60,,Logan,3,5,13,-89.284835,40.217469,-89.284835,40.217469,-89.294835,-89.274835,40.207469,40.227469
IL1950200,ERIE,"61250, Erie, Illinois",61250,Illinois,Region 5,Community water system,1600,ERIE,Whiteside,9,3,37,-90.078483,41.657166,-90.078483,41.657166,-90.219483,-89.937483,41.516166,41.798166
IL1615100,EAST LAWN WATER ASSOCIATION,"16922 10th Ave N, East Moline, Illinois, 61244",61244,Illinois,Region 5,Community water system,160,,Rock Island,6,10,29,-90.380713,41.508991,-90.380713,41.508991,-90.390713,-90.370713,41.498991,41.518991
IL0770400,GRAND TOWER,"107 Market St, Grand Tower, Illinois, 62942",62942,Illinois,Region 5,Community water system,673,GRAND TOWER,Jackson,8,20,28,-89.504624,37.631512,-89.504624,37.631512,-89.514624,-89.494624,37.621512,37.641512
IL1175200,OTTER LAKE WATER COMMISSION,"W Montgomery Rd, Virden, Illinois, 62690",62690,Illinois,Region 5,Community water system,1290,,Macoupin,13,16,47,-89.716075,39.523187,-89.716075,39.523187,-89.768075,-89.664075,39.471187,39.575187
IL1590150,NOBLE,"62868, Noble, Illinois",62868,Illinois,Region 5,Community water system,845,NOBLE,Richland,8,1,25,-88.225454,38.697397,-88.225454,38.697397,-88.388454,-88.062454,38.534397,38.860397
IL1690010,NORTHWEST WATER ASSOCIATION OF RUSHVILLE,"11278 Old Macomb Rd, Rushville, Illinois, 62681",62681,Illinois,Region 5,Community water system,60,,Schuyler,4,7,7,-90.580177,40.135301,-90.581061,40.13492,-90.581177,-90.579177,40.134301,40.136301
IL1790450,MINIER,"61759, Minier, Illinois",61759,Illinois,Region 5,Community water system,1244,MINIER,Tazewell,9,5,19,-89.313277,40.433811,-89.313277,40.433811,-89.399277,-89.227277,40.347811,40.519811
IL3137646,NORTHWOODS RV RESORT-SOUTH CAMPGROUND,"7081 Garden Prairie Rd, Garden Prairie, Illinois, 61038",61038,Illinois,Region 5,Transient non-community system,40,,Boone,3,2,17,-88.723973,42.256245,-88.723973,42.256245,-88.733973,-88.713973,42.246245,42.266245
IL3148163,NORTHWOODS RV RESORT-NORTHWEST WELL,"7081 Garden Prairie Rd, Garden Prairie, Illinois, 61038",61038,Illinois,Region 5,Transient non-community system,50,,Boone,2,2,16,-88.723973,42.256245,-88.723973,42.256245,-88.733973,-88.713973,42.246245,42.266245
IL3151233,NORTHWOODS RV RESORT - CLUBHOUSE WELL,"7081 Garden Prairie Rd, Garden Prairie, Illinois, 61038",61038,Illinois,Region 5,Transient non-community system,25,,Boone,2,2,13,-88.723973,42.256245,-88.723973,42.256245,-88.733973,-88.713973,42.246245,42.266245
IL1910020,JASPER WATERWORKS CORPORATION,"115 NE 3rd St, Fairfield, Illinois, 62837",62837,Illinois,Region 5,Community water system,1444,FAIRFIELD,Wayne,5,4,11,-88.357906,38.380061,-88.357941,38.38006,-88.358906,-88.356906,38.379061,38.381061
