PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
IA3215044,DOLLIVER MUNI WATER SUPPLY,"51301, Spencer, Iowa",51301,Iowa,Region 7,Community water system,68,DOLLIVER,Emmet,8,41,9,-95.145036,43.144595,-95.145036,43.144595,-95.269036,-95.021036,43.020595,43.268595
IA2178092,WEBB WATER SUPPLY,"51301, Spencer, Iowa",51301,Iowa,Region 7,Community water system,146,WEBB,Clay,6,2,8,-95.145036,43.144595,-95.145036,43.144595,-95.269036,-95.021036,43.020595,43.268595
IA2122067,FOSTORIA MUNICIPAL WATER SUPPLY,"51301, Spencer, Iowa",51301,Iowa,Region 7,Community water system,231,FOSTORIA,Clay,5,0,8,-95.145036,43.144595,-95.145036,43.144595,-95.269036,-95.021036,43.020595,43.268595
IA2109041,DICKENS WATER WORKS,"51301, Spencer, Iowa",51301,Iowa,Region 7,Community water system,185,SPENCER,Clay,5,1,9,-95.145036,43.144595,-95.145036,43.144595,-95.269036,-95.021036,43.020595,43.268595
IA1182035,TRUESDALE WATER SUPPLY,"51301, Spencer, Iowa",51301,Iowa,Region 7,Community water system,86,TRUESDALE,Buena Vista,9,3,9,-95.145036,43.144595,-95.145036,43.144595,-95.269036,-95.021036,43.020595,43.268595
IA3050472,TREASURE VILLAGE INC,"51351, Milford, Iowa",51351,Iowa,Region 7,Transient non-community system,70,MILFORD,Dickinson,7,3,4,-95.152507,43.325013,-95.152507,43.325013,-95.328507,-94.976507,43.149013,43.501013
IA4641064,HUMBOLDT MUNICIPAL WATER DEPT,"50548, Humboldt, Iowa",50548,Iowa,Region 7,Community water system,4690,HUMBOLDT,Humboldt,18,1,11,-94.21631,42.722334,-94.21631,42.722334,-94.35131,-94.08131,42.587334,42.857334
IA1363051,POMEROY WATER SUPPLY,"50575, Pomeroy, Iowa",50575,Iowa,Region 7,Community water system,669,POMEROY,Calhoun,8,4,8,-94.682462,42.54876,-94.682462,42.54876,-94.796462,-94.568462,42.43476,42.66276
IA8273062,PINEO GROVE WATER COMPANY,"52255, Lowden, Iowa",52255,Iowa,Region 7,Community water system,53,PRINCETON,Scott,7,53,10,-90.923632,41.85715,-90.923632,41.85715,-91.034632,-90.812632,41.74615,41.96815
IA5815201,WIELE MOTOR,"52738, Columbus Junction, Iowa",52738,Iowa,Region 7,Transient non-community system,31,COLUMBUS JUNCTION,Louisa,5,2,4,-91.364187,41.277605,-91.364187,41.277605,-91.540187,-91.188187,41.101605,41.453605
IA5343805,SAINTS PETER & PAUL LUTHERAN CHURCH,"52310, Monticello, Iowa",52310,Iowa,Region 7,Transient non-community system,45,MONTICELLO,Jones,6,41,13,-91.190087,42.239312,-91.190087,42.239312,-91.423087,-90.957087,42.006312,42.472312
IA5200601,IOWA CITY MHP LLC,"52411, Cedar Rapids, Iowa",52411,Iowa,Region 7,Community water system,280,IOWA CITY,Johnson,8,11,9,-91.710317,42.019581,-91.710317,42.019581,-91.796317,-91.624317,41.933581,42.105581
IA3189001,WORTHINGTON WATER SUPPLY,"52078, Worthington, Iowa",52078,Iowa,Region 7,Community water system,401,WORTHINGTON,Dubuque,6,1,8,-91.121432,42.400221,-91.121432,42.400221,-91.212432,-91.030432,42.309221,42.491221
IA9970037,WOOLSTOCK WATER SUPPLY,"50599, Woolstock, Iowa",50599,Iowa,Region 7,Community water system,168,WOOLSTOCK,Wright,8,12,11,-93.847972,42.568321,-93.847972,42.568321,-94.019972,-93.675972,42.396321,42.740321
IA2576036,WOODWARD WATER SUPPLY,"50276, Woodward, Iowa",50276,Iowa,Region 7,Community water system,1024,WOODWARD,Dallas,14,9,10,-93.921632,41.85489,-93.921632,41.85489,-94.047632,-93.795632,41.72889,41.98089
IA0800923,WOODWARD RESOURCE CENTER,"50276, Woodward, Iowa",50276,Iowa,Region 7,Community water system,1370,WOODWARD,Boone,9,5,9,-93.921632,41.85489,-93.921632,41.85489,-94.047632,-93.795632,41.72889,41.98089
IA3070473,OKOBOJI CAMP OWNERS COOPERATIVE,"51249, Sibley, Iowa",51249,Iowa,Region 7,Community water system,103,SPIRIT LAKE,Dickinson,5,28,8,-95.745351,43.404155,-95.745351,43.404155,-95.880351,-95.610351,43.269155,43.539155
IA7234069,MELVIN WATERWORKS,"51249, Sibley, Iowa",51249,Iowa,Region 7,Community water system,217,MELVIN,Osceola,9,0,9,-95.745351,43.404155,-95.745351,43.404155,-95.880351,-95.610351,43.269155,43.539155
IA5225321,THE MEADOWS,"52240, Iowa City, Iowa",52240,Iowa,Region 7,Community water system,35,IOWA CITY,Johnson,9,8,6,-91.528577,41.65507,-91.528577,41.65507,-91.710577,-91.346577,41.47307,41.83707
IA1940101,KERRY,"50630, Fredericksbrg, Iowa",50630,Iowa,Region 7,Non-Transient non-community system,80,FREDERICKSBURG,Chickasaw,11,5,7,-92.199001,42.964976,-92.199001,42.964976,-92.343001,-92.055001,42.820976,43.108976
IA6500600,COUNTRY ESTATES MOBILE HOME PARK,"51534, Glenwood, Iowa",51534,Iowa,Region 7,Community water system,35,COUNCIL BLUFFS,Pottawattamie,5,35,9,-95.744472,41.04824,-95.744472,41.04824,-95.891472,-95.597472,40.90124,41.19524
IA2242205,RAUSCH PETROLEM LIMITED CO,"52052, Guttenberg, Iowa",52052,Iowa,Region 7,Transient non-community system,89,GUTTENBERG,Clayton,6,10,4,-91.10002,42.786388,-91.10002,42.786388,-91.28402,-90.91602,42.602388,42.970388
IA9909305,2ND PLEASANT VIEW SUBDIVISION,"50525, Clarion, Iowa",50525,Iowa,Region 7,Transient non-community system,47,CLARION,Wright,4,26,20,-93.730862,42.731421,-93.730862,42.731421,-93.872862,-93.588862,42.589421,42.873421
IA8590041,ZEARING WATER DEPARTMENT,"50278, Zearing, Iowa",50278,Iowa,Region 7,Community water system,604,ZEARING,Story,11,21,10,-93.289287,42.143476,-93.289287,42.143476,-93.366287,-93.212287,42.066476,42.220476
IA5722422,YMCA CAMP WAPSIE,"52218, Coggon, Iowa",52218,Iowa,Region 7,Transient non-community system,204,COGGON,Linn,6,22,15,-91.528904,42.275634,-91.528904,42.275634,-91.713904,-91.343904,42.090634,42.460634
IA2258915,YELLOW RIVER STATE FOREST,"52146, Harpers Ferry, Iowa",52146,Iowa,Region 7,Transient non-community system,80,MCGREGOR,Allamakee,5,3,7,-91.149408,43.203656,-91.149408,43.203656,-91.320408,-90.978408,43.032656,43.374656
IA3980040,YALE WATER SUPPLY,"50277, Yale, Iowa",50277,Iowa,Region 7,Community water system,243,YALE,Guthrie,7,2,11,-94.354691,41.775075,-94.354691,41.775075,-94.460691,-94.248691,41.669075,41.881075
IA5396039,WYOMING WATER SYSTEM,"52362, Wyoming, Iowa",52362,Iowa,Region 7,Community water system,515,WYOMING,Jones,11,7,8,-91.005903,42.059016,-91.005903,42.059016,-91.150903,-90.860903,41.914016,42.204016
IA6575052,SILVER CITY WATER SUPPLY,"50702, Washburn, Iowa",50702,Iowa,Region 7,Community water system,245,SILVER CITY,Mills,11,6,10,-92.342645,42.484681,-92.342645,42.484681,-92.431645,-92.253645,42.395681,42.573681
IA3544401,MAYNES GROVE - FRANKLIN CO CONSERVATION,"50441, Hampton, Iowa",50441,Iowa,Region 7,Transient non-community system,100,HAMPTON,Franklin,4,13,10,-93.205421,42.742101,-93.205421,42.742101,-93.400421,-93.010421,42.547101,42.937101
IA0819305,BENEFIT WATER DISTRICT #2,"50036, Boone, Iowa",50036,Iowa,Region 7,Community water system,80,BOONE,Boone,6,3,9,-93.883992,42.060831,-93.883992,42.060831,-94.068992,-93.698992,41.875831,42.245831
IA4884023,WILLIAMSBURG PUBLIC WATER SUPPLY,"52361, Williamsburg, Iowa",52361,Iowa,Region 7,Community water system,3068,WILLIAMSBURG,Iowa,21,11,15,-92.010421,41.66266,-92.010421,41.66266,-92.205421,-91.815421,41.46766,41.85766
IA4070022,WILLIAMS WATER SUPPLY,"50271, Williams, Iowa",50271,Iowa,Region 7,Community water system,352,WILLIAMS,Hamilton,7,1,8,-93.543347,42.486801,-93.543347,42.486801,-93.661347,-93.425347,42.368801,42.604801
IA1769927,WILKINSON PIONEER PARK,"50401, Mason City, Iowa",50401,Iowa,Region 7,Transient non-community system,27,ROCK FALLS,Cerro Gordo,4,8,20,-93.201402,43.152931,-93.201402,43.152931,-93.348402,-93.054402,43.005931,43.299931
IA7048477,WILD CAT DEN STATE PK-FAIRPORT STATION,"52761, Muscatine, Iowa",52761,Iowa,Region 7,Transient non-community system,100,MUSCATINE,Muscatine,5,4,8,-91.048482,41.426171,-91.048482,41.426171,-91.298482,-90.798482,41.176171,41.676171
IA4675012,RUTLAND WATER SUPPLY,"50598, Whittemore, Iowa",50598,Iowa,Region 7,Community water system,126,RUTLAND,Humboldt,6,19,11,-94.423031,43.061475,-94.423031,43.061475,-94.530031,-94.316031,42.954475,43.168475
IA5502319,WOODLYN HILLS,"50598, Whittemore, Iowa",50598,Iowa,Region 7,Community water system,110,ALGONA,Kossuth,14,10,9,-94.423031,43.061475,-94.423031,43.061475,-94.530031,-94.316031,42.954475,43.168475
IA5500822,SOUTHDALE HOME OWNERS ASSN,"50598, Whittemore, Iowa",50598,Iowa,Region 7,Community water system,72,ALGONA,Kossuth,7,11,10,-94.423031,43.061475,-94.423031,43.061475,-94.530031,-94.316031,42.954475,43.168475
IA5500838,"OAK LAKE MAINTENANCE, INC.","50598, Whittemore, Iowa",50598,Iowa,Region 7,Community water system,128,ALGONA,Kossuth,8,27,11,-94.423031,43.061475,-94.423031,43.061475,-94.530031,-94.316031,42.954475,43.168475
IA5502801,MURPHY FAMILY FARMS - FEED MILL,"50511, Algona, Iowa",50511,Iowa,Region 7,Non-Transient non-community system,60,ALGONA,Kossuth,17,16,8,-94.234072,43.068005,-94.234072,43.068005,-94.438072,-94.030072,42.864005,43.272005
