PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
LA1039010,CITY OF VILLE PLATTE WATER SYSTEM,"70586, Ville Platte, Louisiana",70586,Louisiana,Region 6,Community water system,7628,,Evangeline Parish,24,17,27,-92.273403,30.690219,-92.273403,30.690219,-92.555403,-91.991403,30.408219,30.972219
LA1031028,HIGHWAY 513 WATER SUPPLY,"71052, Mansfield, Louisiana",71052,Louisiana,Region 6,Community water system,120,,De Soto Parish,3,18,7,-93.707302,32.033516,-93.707302,32.033516,-93.973302,-93.441302,31.767516,32.299516
LA1085044,UNION SPRINGS WATER SYSTEM,"71419, Converse, Louisiana",71419,Louisiana,Region 6,Community water system,1305,,Sabine Parish,12,45,14,-93.841191,31.841356,-93.841191,31.841356,-94.165191,-93.517191,31.517356,32.165356
LA1017016,HOSSTON MIRA WATER SYSTEM,"71043, Hosston, Louisiana",71043,Louisiana,Region 6,Community water system,660,,Caddo Parish,18,62,14,-93.878526,32.890021,-93.878526,32.890021,-93.930526,-93.826526,32.838021,32.942021
LA1017028,RODESSA WATER SYSTEM,"71069, Rodessa, Louisiana",71069,Louisiana,Region 6,Community water system,544,,Caddo Parish,10,12,12,-93.995577,32.97236,-93.995577,32.97236,-94.065577,-93.925577,32.90236,33.04236
LA2005003,BASF CORPORATION,"8404 River Rd, Geismar, Louisiana, 70734",70734,Louisiana,Region 6,Non-Transient non-community system,1391,,Ascension Parish,13,7,15,-91.01228,30.187991,-91.01228,30.187991,-91.02228,-91.00228,30.177991,30.197991
LA1055011,TOWN OF DUSON WATER SYSTEM,"70529, Duson, Louisiana",70529,Louisiana,Region 6,Community water system,1950,,Lafayette Parish,15,8,20,-92.113691,30.192941,-92.113691,30.192941,-92.259691,-91.967691,30.046941,30.338941
LA1005175,TREYVILLE COURTS TRAILER PARK,"70774, Saint Amant, Louisiana",70774,Louisiana,Region 6,Community water system,69,,Ascension Parish,4,13,14,-90.854543,30.252375,-90.854543,30.252375,-91.076543,-90.632543,30.030375,30.474375
LA1005114,SHADY OAKS MOBILE HOME PARK WATER SYSTEM,"70769, Prairieville, Louisiana",70769,Louisiana,Region 6,Community water system,192,,Ascension Parish,4,7,15,-90.971542,30.304401,-90.971542,30.304401,-91.133542,-90.809542,30.142401,30.466401
LA1027011,SUMMERFIELD WATER SYSTEM,"71079, Summerfield, Louisiana",71079,Louisiana,Region 6,Community water system,1260,,Claiborne Parish,15,5,9,-92.821784,32.933338,-92.821784,32.933338,-92.918784,-92.724784,32.836338,33.030338
LA1027008,DAVID WADE CORRECTIONAL CENTER WS,"71040, Homer, Louisiana",71040,Louisiana,Region 6,Community water system,1660,,Claiborne Parish,12,12,12,-93.057481,32.790556,-93.057481,32.790556,-93.389481,-92.725481,32.458556,33.122556
LA1017052,WATERWORKS DISTRICT 7,"71047, Keithville, Louisiana",71047,Louisiana,Region 6,Community water system,5400,,Caddo Parish,32,12,10,-93.895454,32.340757,-93.895454,32.340757,-94.042454,-93.748454,32.193757,32.487757
LA1085032,TOWN OF ZWOLLE WATER SYSTEM,"71486, Zwolle, Louisiana",71486,Louisiana,Region 6,Community water system,2400,,Sabine Parish,11,16,14,-93.7037,31.53345,-93.7037,31.53345,-93.9357,-93.4717,31.30145,31.76545
LA2105095,SKINNEYS RESTAURANT,"70444, Kentwood, Louisiana",70444,Louisiana,Region 6,Transient non-community system,200,,Tangipahoa Parish,4,4,6,-90.471652,30.938384,-90.471652,30.938384,-90.687652,-90.255652,30.722384,31.154384
LA1049006,EAST HODGE WATER SYSTEM,"71247, Hodge, Louisiana",71247,Louisiana,Region 6,Community water system,423,,Jackson Parish,8,69,24,-92.72351,32.265466,-92.72351,32.265466,-92.77351,-92.67351,32.215466,32.315466
LA1061006,GRAMBLING WATER SYSTEM,"71245, Grambling, Louisiana",71245,Louisiana,Region 6,Community water system,4949,,Lincoln Parish,12,28,33,-92.71257,32.525805,-92.71257,32.525805,-92.74457,-92.68057,32.493805,32.557805
LA1083007,START WATER SYSTEM,"71279, Start, Louisiana",71279,Louisiana,Region 6,Community water system,2514,,Richland Parish,10,6,18,-91.858075,32.489166,-91.858075,32.489166,-91.863075,-91.853075,32.484166,32.494166
LA2103515,SOUTHERN COMFORT LOUNGE,"70445, Lacombe, Louisiana",70445,Louisiana,Region 6,Transient non-community system,25,,St. Tammany Parish,4,0,1,-89.973086,30.332514,-89.973086,30.332514,-90.147086,-89.799086,30.158514,30.506514
LA2119021,LAKESIDE RV PARK,"71055, Minden, Louisiana",71055,Louisiana,Region 6,Transient non-community system,100,,Webster Parish,5,6,13,-93.281828,32.607468,-93.281828,32.607468,-93.544828,-93.018828,32.344468,32.870468
LA1111016,WARDS CHAPEL WATER SYSTEM,"71241, Farmerville, Louisiana",71241,Louisiana,Region 6,Community water system,1350,,Union Parish,11,59,23,-92.405173,32.773196,-92.405173,32.773196,-92.712173,-92.098173,32.466196,33.080196
LA2013012,FOSTER POULTRY FARMS (ARCADIA FEEDMILL),"71001, Arcadia, Louisiana",71001,Louisiana,Region 6,Non-Transient non-community system,30,,Bienville Parish,5,15,8,-92.921577,32.549708,-92.921577,32.549708,-93.113577,-92.729577,32.357708,32.741708
LA1017017,IDA WATER SYSTEM,"71044, Ida, Louisiana",71044,Louisiana,Region 6,Community water system,450,,Caddo Parish,9,35,14,-93.893104,33.001386,-93.893104,33.001386,-94.025104,-93.761104,32.869386,33.133386
LA1069008,POWHATAN WATER SYSTEM,"71066, Powhatan, Louisiana",71066,Louisiana,Region 6,Community water system,499,,Natchitoches Parish,10,47,21,-93.15288,31.795031,-93.15288,31.795031,-93.15788,-93.14788,31.790031,31.800031
LA1081001,COUSHATTA WATER SYSTEM,"71019, Coushatta, Louisiana",71019,Louisiana,Region 6,Community water system,3528,,Red River Parish,17,7,13,-93.347305,32.019325,-93.347305,32.019325,-93.573305,-93.121305,31.793325,32.245325
LA1123002,FISKE UNION WATER SYSTEM,"71263, Terry, Louisiana",71263,Louisiana,Region 6,Community water system,1830,,West Carroll Parish,9,5,17,-91.386817,32.863925,-91.386817,32.863925,-91.605817,-91.167817,32.644925,33.082925
LA1103123,MARINA DEL RAY WATER SYSTEM,"70448, Mandeville, Louisiana",70448,Louisiana,Region 6,Community water system,500,,St. Tammany Parish,5,24,11,-90.066308,30.362573,-90.066308,30.362573,-90.190308,-89.942308,30.238573,30.486573
LA2103479,US FISH & WILDLIFE HQ,"70445, Lacombe, Louisiana",70445,Louisiana,Region 6,Non-Transient non-community system,25,,St. Tammany Parish,4,38,5,-89.973086,30.332514,-89.973086,30.332514,-90.147086,-89.799086,30.158514,30.506514
LA1037005,EASTERN LOUISIANA MENTAL HEALTH SYSTEMS,"70748, Jackson, Louisiana",70748,Louisiana,Region 6,Community water system,2500,,East Feliciana Parish,6,23,18,-91.215597,30.840376,-91.215597,30.840376,-91.376597,-91.054597,30.679376,31.001376
LA1119005,CULLEN WATER SYSTEM,"71021, Cullen, Louisiana",71021,Louisiana,Region 6,Community water system,1650,,Webster Parish,8,50,15,-93.454942,32.971551,-93.454942,32.971551,-93.459942,-93.449942,32.966551,32.976551
LA2019171,GRAB N GEAUX #4 WATER SYSTEM,"70607, Lake Charles, Louisiana",70607,Louisiana,Region 6,Transient non-community system,25,,Calcasieu Parish,4,0,2,-93.206602,30.179551,-93.206602,30.179551,-93.499602,-92.913602,29.886551,30.472551
LA2019163,GRAB N GEAUX WATER SYSTEM,"70607, Lake Charles, Louisiana",70607,Louisiana,Region 6,Transient non-community system,25,,Calcasieu Parish,4,0,5,-93.206602,30.179551,-93.206602,30.179551,-93.499602,-92.913602,29.886551,30.472551
