PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
ME0008336,CAMP SUSAN L CURTIS,"1321 Washington Ave, Portland, Maine, 04103",04103,Maine,Region 1,Transient non-community system,165,STONEHAM,Oxford,7,14,6,-70.286467,43.69789,-70.286071,43.69806,-70.287467,-70.285467,43.69689,43.69889
ME0094993,ST CROIX REGIONAL FAMILY HEALTH CENTER,"136 Mill St, Princeton, Town of, Maine, 04668",04668,Maine,Region 1,Transient non-community system,103,PRINCETON,Washington,5,3,20,-67.563623,45.230466,-67.563471,45.23038,-67.564623,-67.562623,45.229466,45.231466
ME0009489,HURRICANES CAFE & DELI,"04236, Greene, Maine",04236,Maine,Region 1,Transient non-community system,120,GREENE,Androscoggin,10,8,12,-70.140206,44.18824,-70.140206,44.18824,-70.212206,-70.068206,44.11624,44.26024
ME0109011,GORHAM COUNTRY CLUB #1-MAINTENANCE,"93 McLellan Rd, Gorham, Town of, Maine, 04038",04038,Maine,Region 1,Transient non-community system,25,GORHAM,Cumberland,5,28,6,-70.409133,43.654202,-70.409091,43.65413,-70.410133,-70.408133,43.653202,43.655202
ME0009011,GORHAM COUNTRY CLUB #2-CLUB HOUSE,"93 McLellan Rd, Gorham, Town of, Maine, 04038",04038,Maine,Region 1,Transient non-community system,120,GORHAM,Cumberland,4,50,7,-70.409133,43.654202,-70.409091,43.65413,-70.410133,-70.408133,43.653202,43.655202
ME0094895,MAGIC FALLS RAFTING & CAMPING CO,"9 Hapworth Ln, Winslow, Town of, Maine, 04901",04901,Maine,Region 1,Transient non-community system,38,THE FORKS PLT,Somerset,5,18,4,-69.606498,44.565043,-69.606521,44.56496,-69.607498,-69.605498,44.564043,44.566043
ME0000753,CAMP CEDAR,"1758 Beacon St, Brookline, Town of, Massachusetts, 02445",02445,Maine,Region 1,Transient non-community system,350,CASCO,Cumberland,7,3,9,-71.141347,42.338047,-71.141461,42.33832,-71.142347,-71.140347,42.337047,42.339047
ME0000225,GOODWILL HOME ASSOCIATION,"04944, Hinckley, Maine",04944,Maine,Region 1,Community water system,48,FAIRFIELD,Somerset,10,66,71,-69.632911,44.68227,-69.632911,44.68227,-69.637911,-69.627911,44.67727,44.68727
ME0098252,LADD RECREATION AREA,"04284, Wayne, Maine",04284,Maine,Region 1,Transient non-community system,192,WAYNE,Kennebec,5,16,7,-70.067616,44.354392,-70.067616,44.354392,-70.137616,-69.997616,44.284392,44.424392
ME0092020,DEER RUN EAST CONDOS ASSOCIATION,"4 Treetops Ln, Danvers, Town of, Massachusetts, 01923",01923,Maine,Region 1,Transient non-community system,95,NAPLES,Cumberland,9,11,29,-70.946344,42.586866,-70.946271,42.58699,-70.947344,-70.945344,42.585866,42.587866
