PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MD1081098,"DENTSVILLE TRADING COMPANY, INC.","12090 Charles St, La Plata, Maryland, 20646",20646,Maryland,Region 3,Non-Transient non-community system,90,,Charles,4,17,7,-76.891836,38.481528,-76.891751,38.48179,-76.892836,-76.890836,38.480528,38.482528
MD1101373,ZIGBONE FARM RETREAT,"20910, Silver Spring, Maryland",20910,Maryland,Region 3,Transient non-community system,30,,Frederick,5,0,1,-77.036482,38.997231,-77.036482,38.997231,-77.069482,-77.003482,38.964231,39.030231
MD1170002,CHURCH HILL ELEMENTARY SCHOOL,"21617, Centreville, Maryland",21617,Maryland,Region 3,Non-Transient non-community system,280,,Queen Anne's,6,9,10,-76.063982,39.043759,-76.063982,39.043759,-76.245982,-75.881982,38.861759,39.225759
MD1070065,RECOVERY CENTER OF AMERICA,"314 Grove Neck Rd, Earleville, Maryland, 21919",21919,Maryland,Region 3,Non-Transient non-community system,30,,Cecil,5,3,2,-75.927039,39.409092,-75.927039,39.409092,-75.937039,-75.917039,39.399092,39.419092
MD1071394,CECIL COUNTY ANIMAL SERVICES,"3280 Augustine Herman Hwy, Chesapeake City, Maryland, 21915",21915,Maryland,Region 3,Transient non-community system,46,,Cecil,4,1,1,-75.843214,39.492463,-75.842381,39.49216,-75.844214,-75.842214,39.491463,39.493463
MD1071357,FURNACE BAY GOLF COURSE,"21903, Perryville, Maryland",21903,Maryland,Region 3,Transient non-community system,25,,Cecil,4,10,8,-76.076152,39.56246,-76.076152,39.56246,-76.168152,-75.984152,39.47046,39.65446
MD0300006,METROPOLITAN OF BALTIMORE,"22182, Tysons, Virginia",22182,Maryland,Region 3,Community water system,492,,Baltimore city,9,1,2,-77.226661,38.907911,-77.226661,38.907911,-77.317661,-77.135661,38.816911,38.998911
MD0050008,TOWN OF HENDERSON,"19533, Dauberville, Pennsylvania",19533,Maryland,Region 3,Community water system,156,,Caroline,10,19,22,-75.995071,40.429992,-75.995071,40.429992,-76.059071,-75.931071,40.365992,40.493992
MD0050007,HARMAN SUBDIVISION,"19533, Dauberville, Pennsylvania",19533,Maryland,Region 3,Community water system,35,,Caroline,6,18,22,-75.995071,40.429992,-75.995071,40.429992,-76.059071,-75.931071,40.365992,40.493992
MD1041028,BRIGHT CENTER WESTAND TURNABOUT CAFE,"20613, Brandywine, Maryland",20613,Maryland,Region 3,Transient non-community system,100,,Calvert,5,1,3,-76.771461,38.660421,-76.771461,38.660421,-76.956461,-76.586461,38.475421,38.845421
