PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MI0006900,"WARREN, CITY OF","48093, Warren, Michigan",48093,Michigan,Region 5,Community water system,134056,WARREN,Macomb,3,1,11,-83.021826,42.512812,-83.021826,42.512812,-83.048826,-82.994826,42.485812,42.539812
MI2001828,"MDOT-ACME, P314","48093, Warren, Michigan",48093,Michigan,Region 5,Transient non-community system,150,,Grand Traverse,2,8,3,-83.021826,42.512812,-83.021826,42.512812,-83.048826,-82.994826,42.485812,42.539812
MI0040680,HEARTHSIDE GROVE MOTOR COACH RESORT,"2400 N US-31, Bear Creek Twp, Michigan, 49770",49770,Michigan,Region 5,Community water system,100,,Emmet,5,0,13,-84.873993,45.404373,-84.873993,45.404373,-84.883993,-84.863993,45.394373,45.414373
MI0040352,GREENBRIER ESTATES,"17602 17th St, Tustin, California, 92780",92780,Michigan,Region 5,Community water system,142,,Montcalm,4,6,13,-117.824999,33.759719,-117.824999,33.759719,-117.834999,-117.814999,33.749719,33.769719
MI2101841,DEER TRACKS JUNCTION,"17602 17th St, Tustin, California, 92780",92780,Michigan,Region 5,Transient non-community system,200,,Kent,2,0,1,-117.824999,33.759719,-117.824999,33.759719,-117.834999,-117.814999,33.749719,33.769719
MI0006490,SUPERIOR TOWNSHIP,"575 E Clark Rd, Superior Twp, Michigan, 48198",48198,Michigan,Region 5,Community water system,6765,YPSILANTI,Washtenaw,4,0,8,-83.601892,42.260986,-83.601911,42.26137,-83.602892,-83.600892,42.259986,42.261986
MI2005252,CROSSROADS RESTAURANT,"575 E Clark Rd, Superior Twp, Michigan, 48198",48198,Michigan,Region 5,Transient non-community system,75,,Marquette,2,1,2,-83.601892,42.260986,-83.601911,42.26137,-83.602892,-83.600892,42.259986,42.261986
MI0006624,TILLICUM FARMS,"7298 Tillicum Trl NE, Cannon Twp, Michigan, 49341",49341,Michigan,Region 5,Community water system,216,,Kent,9,2,12,-85.468972,43.095686,-85.468791,43.09593,-85.469972,-85.467972,43.094686,43.096686
MI2013433,INGHAM CO. PARKS-LK. LANS. N.,"121 E Maple St, Mason, Michigan, 48854",48854,Michigan,Region 5,Transient non-community system,25,,Ingham,2,10,2,-84.442741,42.58018,-84.442741,42.58018,-84.452741,-84.432741,42.57018,42.59018
MI0007104,WHITTEMORE SQUARE APARTMENTS,"128 Commerce Ct, Gladwin, Michigan, 48624",48624,Michigan,Region 5,Community water system,30,,Iosco,7,21,13,-84.485753,43.993273,-84.485761,43.99317,-84.486753,-84.484753,43.992273,43.994273
MI2000580,TIMBER TRAILS R.V. PARK,"128 Commerce Ct, Gladwin, Michigan, 48624",48624,Michigan,Region 5,Transient non-community system,648,,Van Buren,4,2,3,-84.485753,43.993273,-84.485761,43.99317,-84.486753,-84.484753,43.992273,43.994273
MI0001768,DEERFIELD VILLA,"325 Commerce Ct, Gladwin, Michigan, 48624",48624,Michigan,Region 5,Community water system,72,HOUGHTON LAKE,Roscommon,5,9,11,-84.484901,43.993306,-84.484891,43.99344,-84.485901,-84.483901,43.992306,43.994306
MI2011874,MISTER Z'S PALACE,"325 Commerce Ct, Gladwin, Michigan, 48624",48624,Michigan,Region 5,Transient non-community system,25,,St. Clair,2,10,2,-84.484901,43.993306,-84.484891,43.99344,-84.485901,-84.483901,43.992306,43.994306
MI2028224,PETOSKEY ICE ARENA,"3450 M 119, Little Traverse Twp, Michigan, 49740",49740,Michigan,Region 5,Transient non-community system,300,,Emmet,3,7,3,-84.904434,45.419019,-84.904434,45.419019,-84.914434,-84.894434,45.409019,45.429019
