PWSID,Approximate Address
MN5340267,Not Found
MN5310826,Not Found
MN5320034,Not Found
MN5820229,Not Found
MN5030533,Not Found
MN5190274,Not Found
MN5620851,Not Found
MN5820180,Not Found
MN5010466,Not Found
MN5310086,Not Found
MN5560269,Not Found
MN5560023,Not Found
MN5640151,Not Found
MN5110219,Not Found
MN5290419,Not Found
MN5770290,Not Found
MN5020492,Not Found
MN5160503,Not Found
MN5550221,Not Found
MN5691101,Not Found
MN5220048,Not Found
MN5180974,Not Found
MN5290437,Not Found
MN5290017,Not Found
MN5560248,Not Found
MN5290080,Not Found
MN5400018,Not Found
MN5580435,Not Found
MN5080130,Not Found
MN5070432,Not Found
MN5180472,Not Found
MN5180423,Not Found
MN5181000,Not Found
MN5120007,Not Found
MN5030060,Not Found
MN5040703,Not Found
MN5020542,Not Found
MN5090093,Not Found
MN5620812,Not Found
MN5860388,Not Found
MN5820597,Not Found
MN5860521,Not Found
MN5860188,Not Found
MN5100057,Not Found
