PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MN5310326,Hayslip Corner,"56637, Talmoon, Minnesota",56637,Minnesota,Region 5,Transient non-community system,50,,Itasca,7,0,8,-93.818086,47.596584,-93.818086,47.596584,-93.914086,-93.722086,47.500584,47.692584
MN5310327,Back O' The Moon,"39209 Back O Moon Rd, Grand Rapids, Minnesota, 55744",55744,Minnesota,Region 5,Transient non-community system,25,,Itasca,3,0,7,-93.687066,47.351402,-93.686811,47.35085,-93.688066,-93.686066,47.350402,47.352402
MN5310339,Spider Lake Resort,"43859 Spider Lake Resort Rd, Marcell, Minnesota, 56657",56657,Minnesota,Region 5,Transient non-community system,27,,Itasca,3,0,7,-93.562097,47.513056,-93.561781,47.51379,-93.563097,-93.561097,47.512056,47.514056
MN5310343,Geiger's Trails End Resort,"51713 Trails End Rd, Deer River, Minnesota, 56636",56636,Minnesota,Region 5,Transient non-community system,40,,Itasca,9,0,8,-93.94265,47.566977,-93.942581,47.56742,-93.94365,-93.94165,47.565977,47.567977
MN5310232,Camp Deer Resort,"65576 County Road 533, Effie, Minnesota, 56639",56639,Minnesota,Region 5,Transient non-community system,25,,Itasca,4,0,7,-93.357981,47.832327,-93.356741,47.83229,-93.358981,-93.356981,47.831327,47.833327
MN5310322,Cedar Point Resort,"38268 Cedar Point Rd, Marcell, Minnesota, 56657",56657,Minnesota,Region 5,Transient non-community system,26,,Itasca,4,0,8,-93.665896,47.560503,-93.665241,47.56061,-93.666896,-93.664896,47.559503,47.561503
MN5310323,Sunset Point Resort,"28496 Sunset Point Rd, Cohasset, Minnesota, 55721",55721,Minnesota,Region 5,Transient non-community system,60,,Itasca,4,1,8,-93.621554,47.28879,-93.621554,47.28879,-93.631554,-93.611554,47.27879,47.29879
MN5310781,Williams Narrows Resort,"43465 Williams Narrows Rd, Deer River, Minnesota, 56636",56636,Minnesota,Region 5,Transient non-community system,25,,Itasca,6,0,7,-94.061935,47.504655,-94.062551,47.50478,-94.062935,-94.060935,47.503655,47.505655
MN5330103,Living Hope Church,"CR-26, Mora, Minnesota, 55051",55051,Minnesota,Region 5,Transient non-community system,70,,Kanabec,5,1,10,-93.402025,45.933016,-93.402025,45.933016,-93.455025,-93.349025,45.880016,45.986016
MN5310248,Pincherry Grove Resort,"55721, Cohasset, Minnesota",55721,Minnesota,Region 5,Transient non-community system,50,,Itasca,5,0,7,-93.622278,47.263972,-93.622278,47.263972,-93.789278,-93.455278,47.096972,47.430972
