PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MS0700009,SPOUT SPRINGS W/A,"38663, Ripley, Mississippi",38663,Mississippi,Region 4,Community water system,591,,Tippah,6,72,22,-88.951776,34.731821,-88.951776,34.731821,-89.185776,-88.717776,34.497821,34.965821
MS0560004,TOWN OF RICHTON,"39476, Richton, Mississippi",39476,Mississippi,Region 4,Community water system,1068,,Perry,8,73,23,-88.815691,31.350398,-88.815691,31.350398,-89.140691,-88.490691,31.025398,31.675398
MS0810036,"AJINOMOTO FOODS NORTH AMERICA, INC","38965, Water Valley, Mississippi",38965,Mississippi,Region 4,Non-Transient non-community system,300,,Yalobusha,6,0,8,-89.629841,34.151661,-89.629841,34.151661,-89.871841,-89.387841,33.909661,34.393661
MS0240276,CLC ENTERPRISES,"23379 Highway 53, Gulfport, Mississippi, 39503",39503,Mississippi,Region 4,Community water system,40,GULFPORT,Harrison,2,0,3,-89.233139,30.531235,-89.233391,30.53063,-89.234139,-89.232139,30.530235,30.532235
MS0560014,ARLINGTON W/A-HINTONVILLE,"39423, Beaumont, Mississippi",39423,Mississippi,Region 4,Community water system,488,,Perry,4,103,19,-88.918334,31.169351,-88.918334,31.169351,-89.177334,-88.659334,30.910351,31.428351
MS0560006,ARLINGTON W/A,"39423, Beaumont, Mississippi",39423,Mississippi,Region 4,Community water system,533,,Perry,4,109,20,-88.918334,31.169351,-88.918334,31.169351,-89.177334,-88.659334,30.910351,31.428351
MS0690021,INDEPENDENCE METHODIST CHURCH,"38638, Independence, Mississippi",38638,Mississippi,Region 4,Transient non-community system,60,,Tate,4,16,22,-89.809845,34.705661,-89.809845,34.705661,-89.814845,-89.804845,34.700661,34.710661
MS0030024,NORTHEAST AMITE WATER ASSN,"39649, Mccomb, Mississippi",39649,Mississippi,Region 4,Community water system,1674,,Amite,6,92,20,-90.457022,31.245741,-90.457022,31.245741,-90.462022,-90.452022,31.240741,31.250741
MS0240279,WEST HARRISON WTR & SEWER DIST #2,"25101 St Stephens Rd, Pass Christian, Mississippi, 39571",39571,Mississippi,Region 4,Non-Transient non-community system,45,PASS CHRISTIAN,Harrison,3,0,0,-89.260821,30.384183,-89.260811,30.38388,-89.261821,-89.259821,30.383183,30.385183
MS0240277,WEST HARRISON WATER & SEWER DISTRICT,"25101 St Stephens Rd, Pass Christian, Mississippi, 39571",39571,Mississippi,Region 4,Community water system,298,PASS CHRISTIAN,Harrison,2,0,0,-89.260821,30.384183,-89.260811,30.38388,-89.261821,-89.259821,30.383183,30.385183
MS0080001,BLACK HAWK WATER ASSN #1,"574 County Road 238, Coila, Mississippi, 38923",38923,Mississippi,Region 4,Community water system,408,,Carroll,7,145,22,-89.981317,33.314083,-89.980691,33.31376,-89.982317,-89.980317,33.313083,33.315083
MS0360014,TAYLOR WATER ASSOCIATION,"38673, Taylor, Mississippi",38673,Mississippi,Region 4,Community water system,1724,,Lafayette,7,76,21,-89.590862,34.301727,-89.590862,34.301727,-89.719862,-89.461862,34.172727,34.430727
MS0100002,CHOCTAW WATER ASSN,"1679 MS Highway 9, Ackerman, Mississippi, 39735",39735,Mississippi,Region 4,Community water system,583,,Choctaw,4,7,23,-89.189162,33.3419,-89.189761,33.34176,-89.190162,-89.188162,33.3409,33.3429
MS0120007,CITY OF QUITMAN,"39355, Quitman, Mississippi",39355,Mississippi,Region 4,Community water system,2323,QUITMAN,Clarke,11,148,22,-88.72191,32.03851,-88.72191,32.03851,-89.00791,-88.43591,31.75251,32.32451
MS0220062,GRENADA-BOGUE BASIN/GORE SPRGS,"38902, Grenada, Mississippi",38902,Mississippi,Region 4,Community water system,1869,,Grenada,8,150,20,-89.810002,33.783991,-89.810002,33.783991,-89.815002,-89.805002,33.778991,33.788991
MS0220036,GRENADA IND PK & AIRPORT WATER,"38902, Grenada, Mississippi",38902,Mississippi,Region 4,Community water system,1990,,Grenada,9,152,19,-89.810002,33.783991,-89.810002,33.783991,-89.815002,-89.805002,33.778991,33.788991
MS0220007,GRENADA CO W/S-MONDY RD/ELLIOT,"38902, Grenada, Mississippi",38902,Mississippi,Region 4,Community water system,1930,,Grenada,11,262,21,-89.810002,33.783991,-89.810002,33.783991,-89.815002,-89.805002,33.778991,33.788991
