PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
MT0004896,HOVING BUSINESS CENTER,"7501 King Post Loop, Helena, Montana, 59602",59602,Montana,Region 8,Non-Transient non-community system,47,HELENA,Lewis and Clark,5,83,1,-112.021581,46.706052,-112.021581,46.70573,-112.022581,-112.020581,46.705052,46.707052
MT0001018,PARADISE PINES,"34601 MT-35, Polson, Montana, 59860",59860,Montana,Region 8,Community water system,95,POLSON,Lake,4,10,9,-114.027787,47.734831,-114.027787,47.734831,-114.037787,-114.017787,47.724831,47.744831
MT0003778,SPRUCE PARK MH AND RV PARK,"2680 Overland Ave, Billings, Montana, 59102",59102,Montana,Region 8,Transient non-community system,144,KALISPELL,Flathead,3,50,4,-108.584061,45.749712,-108.584051,45.74931,-108.585061,-108.583061,45.748712,45.750712
MT0000079,SPRUCE PARK MOBILE VILLAGE,"2680 Overland Ave, Billings, Montana, 59102",59102,Montana,Region 8,Community water system,48,KALISPELL,Flathead,3,85,7,-108.584061,45.749712,-108.584051,45.74931,-108.585061,-108.583061,45.748712,45.750712
MT0001342,TERRA NOVA CABINS,"59718, Bozeman, Montana",59718,Montana,Region 8,Transient non-community system,150,WEST YELLOWSTONE,Gallatin,8,18,7,-111.091451,45.678249,-111.091451,45.678249,-111.606451,-110.576451,45.163249,46.193249
MT0004598,DYKSTERHOUSE WELL USERS ASSOC,"6289 Pearl Dr, Manhattan, Montana, 59741",59741,Montana,Region 8,Community water system,28,MANHATTAN,Gallatin,5,1,4,-111.303532,45.744946,-111.303421,45.74489,-111.304532,-111.302532,45.743946,45.745946
MT0002893,THOMPSON RANCHETTES II,"169 Gunsight Loop, Kalispell, Montana, 59901",59901,Montana,Region 8,Community water system,100,KALISPELL,Flathead,3,34,8,-114.258336,48.263642,-114.258336,48.263642,-114.268336,-114.248336,48.253642,48.273642
MT0004681,HIGHWOOD MOBILE HOME PARK,"3800 8th Ave S, Great Falls, Montana, 59405",59405,Montana,Region 8,Community water system,400,GREAT FALLS,Cascade,2,7,4,-111.241555,47.496161,-111.241555,47.496161,-111.251555,-111.231555,47.486161,47.506161
MT0004154,KINGDOM HALL,"1516 Louisiana Ave, Libby, Montana, 59923",59923,Montana,Region 8,Transient non-community system,100,LIBBY,Lincoln,3,2,4,-115.552672,48.380401,-115.552921,48.38041,-115.553672,-115.551672,48.379401,48.381401
MT0001914,NEW MIAMI COLONY,"400 New Miami Colony Ln, Conrad, Montana, 59425",59425,Montana,Region 8,Community water system,130,CONRAD,Pondera,7,21,8,-112.280401,48.18838,-112.276981,48.19686,-112.281401,-112.279401,48.18738,48.18938
MT0000613,TRAILS WEST TRAILER COURT,"37 Skylark Rd, Glasgow, Montana, 59230",59230,Montana,Region 8,Transient non-community system,68,GLASGOW,Valley,4,29,7,-106.644846,48.219409,-106.644846,48.219409,-106.654846,-106.634846,48.209409,48.229409
