PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NN3508630,Burnham Junction Mustang,"23733 N Scottsdale Rd, Scottsdale, Arizona, 85255",85255,Navajo Nation,Region 9,Transient non-community system,500,Burnham Junction,,6,34,6,-111.925288,33.7014,-111.922921,33.7014,-111.926288,-111.924288,33.7004,33.7024
NN0436008,Greasewood Springs Community Boarding School BIA,"86505, Ganado, Arizona",86505,Navajo Nation,Region 9,Community water system,720,Lower Greasewood,,17,87,7,-109.539505,35.70896,-109.539505,35.70896,-110.053505,-109.025505,35.19496,36.22296
NN3500329,Alamo-Chavez Springs,"87825, Alamo, New Mexico",87825,Navajo Nation,Region 9,Community water system,28,"Alamo, Chavez Springs",,5,213,6,-107.241144,34.113066,-107.241144,34.113066,-107.878144,-106.604144,33.476066,34.750066
NN3500286,Alamo-Alamo Springs,"87825, Alamo, New Mexico",87825,Navajo Nation,Region 9,Community water system,210,Alamo Springs,,8,371,6,-107.241144,34.113066,-107.241144,34.113066,-107.878144,-106.604144,33.476066,34.750066
NN3500285,Alamo-Alamo Community,"87825, Alamo, New Mexico",87825,Navajo Nation,Region 9,Community water system,785,Alamo,,21,448,6,-107.241144,34.113066,-107.241144,34.113066,-107.878144,-106.604144,33.476066,34.750066
NN3500251,Ramah-Ramah Rural RNUA,"87321, Ramah, New Mexico",87321,Navajo Nation,Region 9,Community water system,165,Ramah Rural,,5,254,7,-108.497022,35.133396,-108.497022,35.133396,-108.671022,-108.323022,34.959396,35.307396
NN0403022,Canyon De Chelly National Monument,"86503, Chinle, Arizona",86503,Navajo Nation,Region 9,Community water system,55,Chinle,,6,107,8,-109.587043,36.154148,-109.587043,36.154148,-110.128043,-109.046043,35.613148,36.695148
NN0400339,Navajo National Monument,"86503, Chinle, Arizona",86503,Navajo Nation,Region 9,Non-Transient non-community system,25,Shonto,,12,116,5,-109.587043,36.154148,-109.587043,36.154148,-110.128043,-109.046043,35.613148,36.695148
NN0433002,Chilchinbeto Community Day School BIA,"86033, Kayenta, Arizona",86033,Navajo Nation,Region 9,Community water system,138,Chilchinbeto,,5,65,4,-110.248941,36.71072,-110.248941,36.71072,-110.750941,-109.746941,36.20872,37.21272
NN3534023,Crownpoint Boarding School BIA,"87313, Crownpoint, New Mexico",87313,Navajo Nation,Region 9,Community water system,1024,Crownpoint Boarding School,,6,97,7,-108.011049,35.740996,-108.011049,35.740996,-108.713049,-107.309049,35.038996,36.442996
