PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NE3120601,EAGLES NEST,"2471 E Rd, Surprise, Nebraska, 68667",68667,Nebraska,Region 7,Transient non-community system,30,SURPRISE,Butler,3,38,7,-97.292017,41.10029,-97.293241,41.10081,-97.293017,-97.291017,41.09929,41.10129
NE3108101,"AURORA, CITY OF","905 13th St, Aurora, Nebraska, 68818",68818,Nebraska,Region 7,Community water system,4479,AURORA,Hamilton,10,8,21,-98.001088,40.865707,-98.001491,40.86568,-98.002088,-98.000088,40.864707,40.866707
NE3121402,KRAMPER LAKE/DANISH ALPS RECREATION AREA,"8901 S 154th St, Omaha, Nebraska, 68138",68138,Nebraska,Region 7,Transient non-community system,25,HUBBARD,Dakota,6,2,3,-96.154143,41.176755,-96.154143,41.176755,-96.164143,-96.144143,41.166755,41.186755
NE3120706,SANDHILL OIL COMPANY,"39397 Highway 2, Thedford, Nebraska, 69166",69166,Nebraska,Region 7,Transient non-community system,50,THEDFORD,Thomas,2,5,15,-100.541143,41.981287,-100.541171,41.98183,-100.542143,-100.540143,41.980287,41.982287
NE3112301,"BROADWATER, VILLAGE OF","251 N Starr St, Broadwater, Nebraska, 69125",69125,Nebraska,Region 7,Community water system,70,BROADWATER,Morrill,23,30,34,-102.851203,41.597611,-102.851203,41.597611,-102.861203,-102.841203,41.587611,41.607611
NE3115302,SARPY CO SID 79 - MEADOW OAKS,"16002 Ramblewood Dr, Springfield, Nebraska, 68059",68059,Nebraska,Region 7,Community water system,300,SARPY COUNTY,Sarpy,5,22,14,-96.165983,41.020448,-96.166011,41.02076,-96.166983,-96.164983,41.019448,41.021448
NE3120390,STAGECOACH LAKE SRA - NG & PC,"3900 NW 105th St, Lincoln, Nebraska, 68524",68524,Nebraska,Region 7,Transient non-community system,30,HICKMAN,Lancaster,4,3,4,-96.863181,40.853132,-96.863181,40.853132,-96.873181,-96.853181,40.843132,40.863132
NE3120391,WAGON TRAIN LAKE SRA - NG & PC,"3900 NW 105th St, Lincoln, Nebraska, 68524",68524,Nebraska,Region 7,Transient non-community system,26,LINCOLN,Lancaster,9,2,4,-96.863181,40.853132,-96.863181,40.853132,-96.873181,-96.853181,40.843132,40.863132
NE3120392,BLUESTEM SRA - NG & PC,"3900 NW 105th St, Lincoln, Nebraska, 68524",68524,Nebraska,Region 7,Transient non-community system,26,LINCOLN,Lancaster,12,5,4,-96.863181,40.853132,-96.863181,40.853132,-96.873181,-96.853181,40.843132,40.863132
NE3120393,OLIVE CREEK LAKE SRA - NG & PC,"3900 NW 105th St, Lincoln, Nebraska, 68524",68524,Nebraska,Region 7,Transient non-community system,26,LINCOLN,Lancaster,4,4,5,-96.863181,40.853132,-96.863181,40.853132,-96.873181,-96.853181,40.843132,40.863132
NE3120388,PAWNEE LAKE SRA - NG &PC,"3900 NW 105th St, Lincoln, Nebraska, 68524",68524,Nebraska,Region 7,Transient non-community system,26,LINCOLN,Lancaster,25,5,5,-96.863181,40.853132,-96.863181,40.853132,-96.873181,-96.853181,40.843132,40.863132
NE3114114,"CRESTON, VILLAGE OF","350 4th St, Creston, Nebraska, 68631",68631,Nebraska,Region 7,Community water system,215,CRESTON,Platte,5,31,18,-97.360745,41.706321,-97.360001,41.70633,-97.361745,-97.359745,41.705321,41.707321
NE3120649,JRCS EXPRESS,"16550 Highway 75 S, Bellevue, Nebraska, 68123",68123,Nebraska,Region 7,Transient non-community system,80,SARPY COUNTY,Sarpy,3,5,6,-95.928515,41.072726,-95.928515,41.072726,-95.938515,-95.918515,41.062726,41.082726
NE3103904,"WEST POINT, CITY OF","444 S Main St, West Point, Nebraska, 68788",68788,Nebraska,Region 7,Community water system,3465,WEST POINT,Cuming,16,5,23,-96.712175,41.836723,-96.712175,41.836723,-96.722175,-96.702175,41.826723,41.846723
NE3104102,"ARNOLD, VILLAGE OF","209 W 1st Ave, Arnold, Nebraska, 69120",69120,Nebraska,Region 7,Community water system,597,ARNOLD,Custer,6,3,19,-100.194958,41.421783,-100.194958,41.421783,-100.204958,-100.184958,41.411783,41.431783
NE3105907,"MILLIGAN, VILLAGE OF","68406, Milligan, Nebraska",68406,Nebraska,Region 7,Community water system,285,MILLIGAN,Fillmore,6,14,9,-97.388561,40.499241,-97.388561,40.499241,-97.522561,-97.254561,40.365241,40.633241
