PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NH2408010,HOOPER GOLF COURSE,"03608, Walpole, New Hampshire",03608,New Hampshire,Region 1,Transient non-community system,25,WALPOLE,Cheshire,2,3,3,-72.427424,43.082661,-72.427424,43.082661,-72.502424,-72.352424,43.007661,43.157661
NH2411010,WARNER VILLAGE WATER DIST,"03278, Warner, New Hampshire",03278,New Hampshire,Region 1,Community water system,550,WARNER,Merrimack,5,13,8,-71.814138,43.280014,-71.814138,43.280014,-71.935138,-71.693138,43.159014,43.401014
NH0774030,MEADOW BROOK,"03235, Franklin, New Hampshire",03235,New Hampshire,Region 1,Community water system,75,EPSOM,Merrimack,3,4,10,-71.642802,43.443961,-71.642802,43.443961,-71.732802,-71.552802,43.353961,43.533961
NH2215040,WHITEHOUSE EARLY LEARNING CTR,"03884, Strafford, New Hampshire",03884,New Hampshire,Region 1,Non-Transient non-community system,28,STRAFFORD,Strafford,3,1,1,-71.158004,43.245275,-71.158004,43.245275,-71.269004,-71.047004,43.134275,43.356275
NH2217070,CROWN POINT CAMPGROUND,"9919 Stephen Decatur Hwy, Ocean City, Maryland, 21842",21842,New Hampshire,Region 1,Transient non-community system,285,STRAFFORD,Strafford,1,1,3,-75.113618,38.334879,-75.114221,38.33513,-75.114618,-75.112618,38.333879,38.335879
NH1272040,ROWELL ESTATES,"03848, Kingston, New Hampshire",03848,New Hampshire,Region 1,Community water system,76,KINGSTON,Rockingham,3,2,8,-71.076482,42.917311,-71.076482,42.917311,-71.155482,-70.997482,42.838311,42.996311
NH1272080,ALL AMERICAN ASSISTED LIVING,"193 Main St, Kingston, New Hampshire, 03848",03848,New Hampshire,Region 1,Community water system,112,KINGSTON,Rockingham,3,0,2,-71.050915,42.942842,-71.050915,42.942842,-71.060915,-71.040915,42.932842,42.952842
NH1277030,YMCA CAMP LINCOLN/PAVILION,"56 Linden St, Exeter, Town of, New Hampshire, 03833",03833,New Hampshire,Region 1,Transient non-community system,500,KINGSTON,Rockingham,4,8,5,-70.959186,42.973609,-70.958051,42.97314,-70.960186,-70.958186,42.972609,42.974609
NH2217130,CROWN POINT CAMPGROUND/UPPER,"9919 Stephen Decatur Hwy, Ocean City, Maryland, 21842",21842,New Hampshire,Region 1,Transient non-community system,53,STRAFFORD,Strafford,2,1,3,-75.113618,38.334879,-75.114221,38.33513,-75.114618,-75.112618,38.333879,38.335879
NH0926010,ANDROSCOGGIN RANGER STATION,"71 White Mountain Dr, Campton, Town of, New Hampshire, 03223",03223,New Hampshire,Region 1,Non-Transient non-community system,30,GORHAM,Coos,2,11,5,-71.669508,43.814945,-71.668661,43.81664,-71.670508,-71.668508,43.813945,43.815945
NH0937020,TIPPICANOE CAMPGROUND,"1295 Brook Rd, Goshen, Town of, New Hampshire, 03752",03752,New Hampshire,Region 1,Transient non-community system,325,GOSHEN,Sullivan,2,26,4,-72.122757,43.313447,-72.122661,43.31369,-72.123757,-72.121757,43.312447,43.314447
NH0972010,CROTCHED MOUNTAIN REHAB CENTER,"1 Verney Dr, Greenfield, New Hampshire, 03047",03047,New Hampshire,Region 1,Community water system,750,GREENFIELD,Hillsborough,9,65,9,-71.879465,42.978398,-71.879465,42.978398,-71.889465,-71.869465,42.968398,42.988398
NH0977040,GREENFIELD ST PK PUMP HOUSE,"12 Podunk Rd, Allenstown, Town of, New Hampshire, 03275",03275,New Hampshire,Region 1,Transient non-community system,550,GREENFIELD,Hillsborough,2,5,3,-71.355233,43.144595,-71.355233,43.144595,-71.365233,-71.345233,43.134595,43.154595
NH1437030,DARTMOUTH SKIWAY,"37 Dewey Field Rd, Hanover, New Hampshire, 03755",03755,New Hampshire,Region 1,Transient non-community system,800,LYME,Grafton,1,2,3,-72.283254,43.708717,-72.283254,43.708717,-72.293254,-72.273254,43.698717,43.718717
NH2236040,BELL AND FLYNN,"386 Whittier Dr, Fremont, Town of, New Hampshire, 03044",03044,New Hampshire,Region 1,Non-Transient non-community system,26,STRATHAM,Rockingham,2,7,5,-71.167488,42.978476,-71.167131,42.97841,-71.168488,-71.166488,42.977476,42.979476
