PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NJ1008309,CAROUSEL DELI & BAKERY,"114 Boss Rd, East Amwell Twp, New Jersey, 08559",08559,New Jersey,Region 2,Transient non-community system,207,EAST AMWELL TWP.-1008,Hunterdon,4,13,6,-74.885385,40.430755,-74.885011,40.43106,-74.886385,-74.884385,40.429755,40.431755
NJ1016320,SUNSET FOOD MARKET,"983 RT-12, Kingwood Twp, New Jersey, 08825",08825,New Jersey,Region 2,Transient non-community system,77,KINGWOOD TWP.-1016,Hunterdon,4,0,5,-75.003256,40.521307,-75.002991,40.52196,-75.004256,-75.002256,40.520307,40.522307
NJ0509001,SEA ISLE CITY WATER DEPARTMENT,"4416 Landis Ave, Sea Isle City, New Jersey, 08243",08243,New Jersey,Region 2,Community water system,11907,SEA ISLE CITY-0509,Cape May,15,27,11,-74.693336,39.15298,-74.693471,39.15306,-74.694336,-74.692336,39.15198,39.15398
NJ0123303,COUNTRY OAKS CAMPGROUND,"13 S Jersey Ave, Weymouth Twp, New Jersey, 08317",08317,New Jersey,Region 2,Transient non-community system,55,WEYMOUTH TWP-.0123,Atlantic,3,17,5,-74.837558,39.417181,-74.836301,39.41781,-74.838558,-74.836558,39.416181,39.418181
NJ1404001,CHATHAM WATER DEPT,"54 Fairmount Ave, Chatham, New Jersey, 07928",07928,New Jersey,Region 2,Community water system,8962,CHATHAM BORO-1404,Morris,6,12,15,-74.384334,40.738373,-74.384831,40.73848,-74.385334,-74.383334,40.737373,40.739373
NJ1213315,BAKERS AMERICAN BAR & GRILLE,"62 Broadway, Point Pleasant Beach, New Jersey, 08742",08742,New Jersey,Region 2,Transient non-community system,365,MONROE TWP.-1213,Middlesex,4,2,10,-74.038942,40.100593,-74.038942,40.100593,-74.048942,-74.028942,40.090593,40.110593
NJ1520335,JOSEPH A CITTA SCOUT RESERVAT,"1518 Ridgeway Rd, Toms River Twp, New Jersey, 08755",08755,New Jersey,Region 2,Transient non-community system,603,OCEAN TWP.-1520,Ocean,6,4,5,-74.229358,40.000466,-74.229701,40.00005,-74.230358,-74.228358,39.999466,40.001466
NJ1427334,COUNTRY FARMS,"2 Hillside Ave, Mt Olive Twp, New Jersey, 07836",07836,New Jersey,Region 2,Transient non-community system,330,MOUNT OLIVE TWP.-1427,Morris,5,44,6,-74.694191,40.845267,-74.694041,40.84548,-74.695191,-74.693191,40.844267,40.846267
NJ1511333,MINIT STOP FOOD STORE,"440 Chandler Rd, Jackson Twp, New Jersey, 08527",08527,New Jersey,Region 2,Transient non-community system,200,JACKSON TWP.-1511,Ocean,4,5,5,-74.2948,40.164044,-74.295191,40.16392,-74.2958,-74.2938,40.163044,40.165044
NJ1922353,LAKE WALLKILL COMMUNITY,"5 Lakeside Dr, Vernon Twp, New Jersey, 07461",07461,New Jersey,Region 2,Transient non-community system,147,VERNON TWP.-1922,Sussex,4,5,4,-74.53664,41.238817,-74.536711,41.23892,-74.53764,-74.53564,41.237817,41.239817
