PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NM3562222,ROOSEVELT COUNTY WUA,"88130, Portales, New Mexico",88130,New Mexico,Region 6,Community water system,4672,PORTALES,Roosevelt,14,10,16,-103.338012,34.178611,-103.338012,34.178611,-103.638012,-103.038012,33.878611,34.478611
NM3527920,SAN JON WATER SUPPLY,"88434, Glenrio, New Mexico",88434,New Mexico,Region 6,Community water system,453,SAN JON,Quay,29,29,20,-103.329611,35.108006,-103.329611,35.108006,-103.625611,-103.033611,34.812006,35.404006
NM3555008,COTTONWOOD WATER MDWCA,"88210, Artesia, New Mexico",88210,New Mexico,Region 6,Community water system,1685,ARTESIA,Eddy,13,33,23,-104.403407,32.838766,-104.403407,32.838766,-104.992407,-103.814407,32.249766,33.427766
NM3515518,CLEVELAND MDWCA,"87715, Cleveland, New Mexico",87715,New Mexico,Region 6,Community water system,270,CLEVELAND,Mora,3,16,14,-105.371728,35.994507,-105.371728,35.994507,-105.525728,-105.217728,35.840507,36.148507
NM3506621,OJO CALIENTE MDWCA,"87549, Ojo Caliente, New Mexico",87549,New Mexico,Region 6,Community water system,226,OJO CALIENTE,Taos,7,103,17,-105.967492,36.642751,-105.967492,36.642751,-106.513492,-105.421492,36.096751,37.188751
NM3580326,EL RANCHO DE LOS GOLONDRINAS,"87507, Santa Fe, New Mexico",87507,New Mexico,Region 6,Transient non-community system,4500,LA CIENEGA,Santa Fe,18,2,10,-106.028572,35.641741,-106.028572,35.641741,-106.250572,-105.806572,35.419741,35.863741
NM3500112,VIRDEN WATER SYSTEM,"88045, Lordsburg, New Mexico",88045,New Mexico,Region 6,Community water system,118,LORDSBURG,Hidalgo,7,27,16,-108.707192,32.34838,-108.707192,32.34838,-109.137192,-108.277192,31.91838,32.77838
NM3574125,PENDARIES MDWCA,"87742, Rociada, New Mexico",87742,New Mexico,Region 6,Community water system,500,ROCIADA,San Miguel,15,91,14,-105.31648,35.83593,-105.31648,35.83593,-105.54048,-105.09248,35.61193,36.05993
NM3512407,UNIVERSITY ESTATES WATER SYSTEM (LCU),"88007, Las Cruces, New Mexico",88007,New Mexico,Region 6,Community water system,4815,LAS CRUCES,Dona Ana,26,2,15,-106.796132,32.33523,-106.796132,32.33523,-107.078132,-106.514132,32.05323,32.61723
NM3529107,LAS ALTURAS ESTATES (LCU),"88007, Las Cruces, New Mexico",88007,New Mexico,Region 6,Community water system,612,LAS CRUCES,Dona Ana,8,1,16,-106.796132,32.33523,-106.796132,32.33523,-107.078132,-106.514132,32.05323,32.61723
NM3511507,HACIENDA ACRES WATER SYSTEM (LCU),"88007, Las Cruces, New Mexico",88007,New Mexico,Region 6,Community water system,2859,LAS CRUCES,Dona Ana,18,9,15,-106.796132,32.33523,-106.796132,32.33523,-107.078132,-106.514132,32.05323,32.61723
NM3501126,LA MARIPOSA MONTESSORI SCHOOL,"87505, Santa Fe, New Mexico",87505,New Mexico,Region 6,Non-Transient non-community system,96,SANTA FE,Santa Fe,5,4,4,-105.942332,35.676137,-105.942332,35.676137,-106.084332,-105.800332,35.534137,35.818137
