PWSID,Approximate Address
NY3730070,Not Found
NY1330605,Not Found
NY3830093,Not Found
NY1330037,Not Found
NY1313334,Not Found
NY1530041,Not Found
NY3713423,Not Found
NY3509522,Not Found
NY1330082,Not Found
NY6130004,Not Found
NY1312408,Not Found
NY0830019,Not Found
NY5730132,Not Found
NY5230158,Not Found
NY1730007,Not Found
NY5414806,Not Found
NY0600830,Not Found
NY6130018,Not Found
NY5430012,Not Found
NY5114377,Not Found
NY4130013,Not Found
NY5230156,Not Found
NY4530105,Not Found
NY0611638,Not Found
NY1330130,Not Found
NY1319323,Not Found
NY1219328,Not Found
NY5230096,Not Found
NY3510767,Not Found
NY4530203,Not Found
NY0611748,Not Found
NY3830096,Not Found
NY5130204,Not Found
NY1330017,Not Found
NY3509587,Not Found
NY2607908,Not Found
NY1313004,Not Found
NY5122746,Not Found
NY3502276,Not Found
NY0630111,Not Found
NY5906235,Not Found
NY3509352,Not Found
NY1630008,Not Found
NY0508671,Not Found
NY2510703,Not Found
NY0630069,Not Found
NY4419172,Not Found
NY4411829,Not Found
NY4411810,Not Found
NY0630126,Not Found
NY1422635,Not Found
NY0419984,Not Found
NY1302139,Not Found
NY1120162,Not Found
NY1330490,Not Found
NY4530124,Not Found
NY1319321,Not Found
NY4530217,Not Found
NY5230147,Not Found
NY2013038,Not Found
NY4413800,Not Found
NY1511037,Not Found
NY3530178,Not Found
NY5216912,Not Found
NY1120081,Not Found
NY3509530,Not Found
NY4413930,Not Found
NY3522892,Not Found
NY0616532,Not Found
NY5906503,Not Found
NY5120150,Not Found
NY3233170,Not Found
NY1030121,Not Found
NY3830130,Not Found
NY2130040,Not Found
NY3290077,Not Found
NY2830008,Not Found
NY3700998,Not Found
NY0630024,Not Found
NY1312415,Not Found
NY0430048,Not Found
NY0530079,Not Found
NY1330254,Not Found
NY3730047,Not Found
NY5521595,Not Found
NY3730041,Not Found
NY4530205,Not Found
NY5902880,Not Found
NY3530133,Not Found
NY5330589,Not Found
NY5730143,Not Found
NY3290112,Not Found
