PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
NY5530301,LEARNING TOGETHER,"12528, Highland, New York",12528,New York,Region 2,Non-Transient non-community system,125,LLOYD (T),Ulster,6,1,3,-73.966092,41.71999,-73.966092,41.71999,-74.074092,-73.858092,41.61199,41.82799
NY5208913,CAMP DARKEI EMUNAH,"1175 44th St, Brooklyn, New York, 11219",11219,New York,Region 2,Transient non-community system,240,THOMPSON (T),Sullivan,12,16,11,-73.992156,40.639636,-73.992041,40.63974,-73.993156,-73.991156,40.638636,40.640636
NY4830037,DIX  WATER DISTRICT #1,"304 7th St, Watkins Glen, New York, 14891",14891,New York,Region 2,Community water system,201,DIX (T),Schuyler,13,15,19,-76.868219,42.379816,-76.868341,42.38003,-76.869219,-76.867219,42.378816,42.380816
NY6112880,PARK 735,"460 Langdon Hill Rd, Erin, Town of, New York, 14838",14838,New York,Region 2,Transient non-community system,50,BARRINGTON (T),Yates,7,16,5,-76.703226,42.167337,-76.703311,42.16762,-76.704226,-76.702226,42.166337,42.168337
NY5730091,"FORT ANN SERVICE CENTER, INC.","11300 RT-149, Fort Ann, Town of, New York, 12827",12827,New York,Region 2,Transient non-community system,53,FORT ANN (T),Washington,4,35,8,-73.500439,43.413702,-73.500361,43.41322,-73.501439,-73.499439,43.412702,43.414702
NY4108951,HATHAWAY DRIVE IN,"817 Main St, Bennington, Town of, Vermont, 05201",05201,New York,Region 2,Transient non-community system,25,HOOSICK FALLS (V),Rensselaer,6,3,15,-73.183119,42.879212,-73.183101,42.8791,-73.184119,-73.182119,42.878212,42.880212
NY2600023,MAD TACO,"13035, Cazenovia, New York",13035,New York,Region 2,Transient non-community system,26,NELSON (T),Madison,7,0,4,-75.848172,42.929951,-75.848172,42.929951,-76.009172,-75.687172,42.768951,43.090951
NY4998092,ZUGIBE WINERY,"4248 E Lake Rd, Fayette, Town of, New York, 14456",14456,New York,Region 2,Transient non-community system,25,FAYETTE (T),Seneca,3,13,6,-76.931299,42.815983,-76.935331,42.81621,-76.932299,-76.930299,42.814983,42.816983
NY1312152,TROOP K HEADQUARTERS,"12578, Salt Point, New York",12578,New York,Region 2,Non-Transient non-community system,40,PLEASANT VALLEY (T),Dutchess,8,4,53,-73.825815,41.796211,-73.825815,41.796211,-73.908815,-73.742815,41.713211,41.879211
NY5917426,BARNWELL BUILDING,"10576, Pound Ridge, New York",10576,New York,Region 2,Non-Transient non-community system,25,POUND RIDGE (T),Westchester,5,91,19,-73.568307,41.21677,-73.568307,41.21677,-73.631307,-73.505307,41.15377,41.27977
NY5120939,FAIRWAY RESTAURANT AT POXABOGUE GOLF,"11730, East Islip, New York",11730,New York,Region 2,Transient non-community system,150,SOUTHAMPTON (T),Suffolk,3,1,15,-73.191418,40.740759,-73.191418,40.740759,-73.239418,-73.143418,40.692759,40.788759
NY3503563,"KNOLLS WATER CO., INC.","10994, West Nyack, New York",10994,New York,Region 2,Community water system,230,WARWICK (T),Orange,4,37,18,-73.971571,41.09359,-73.971571,41.09359,-74.011571,-73.931571,41.05359,41.13359
NY5219469,WILD & SCENIC RIVERS EDGE CG,"10940, Scotchtown, New York",10940,New York,Region 2,Transient non-community system,70,HIGHLAND (T),Sullivan,2,13,15,-74.420871,41.447344,-74.420871,41.447344,-74.599871,-74.241871,41.268344,41.626344
NY1330430,RENNYS STORE,"12522, Dover Plains, New York",12522,New York,Region 2,Transient non-community system,52,AMENIA (T),Dutchess,2,0,101,-73.573726,41.739908,-73.573726,41.739908,-73.666726,-73.480726,41.646908,41.832908
NY5530276,PETERSKILL CLIMBING CENTER - MINNEWASKA,"12561, New Paltz, New York",12561,New York,Region 2,Transient non-community system,50,ROCHESTER (T),Ulster,3,10,0,-74.083547,41.745819,-74.083547,41.745819,-74.207547,-73.959547,41.621819,41.869819
NY4111575,METHODIST FARM ASSOC,"943 Johnsonville Rd, Pittstown, Town of, New York, 12094",12094,New York,Region 2,Transient non-community system,73,SAND LAKE (T),Rensselaer,3,11,17,-73.496407,42.886322,-73.496941,42.88626,-73.497407,-73.495407,42.885322,42.887322
NY3512133,STERLING LAKE,"10994, West Nyack, New York",10994,New York,Region 2,Community water system,225,WARWICK (T),Orange,3,14,15,-73.971571,41.09359,-73.971571,41.09359,-74.011571,-73.931571,41.05359,41.13359
NY3512132,BLUE LAKE,"10994, West Nyack, New York",10994,New York,Region 2,Community water system,1850,"TUXEDO (T), WARWICK (T)",Orange,4,6,16,-73.971571,41.09359,-73.971571,41.09359,-74.011571,-73.931571,41.05359,41.13359
NY3503034,N.Y.U. HOUSING,"10994, West Nyack, New York",10994,New York,Region 2,Community water system,45,TUXEDO (T),Orange,3,0,13,-73.971571,41.09359,-73.971571,41.09359,-74.011571,-73.931571,41.05359,41.13359
NY3503592,INDIAN KILL,"10994, West Nyack, New York",10994,New York,Region 2,Community water system,1000,TUXEDO (T),Orange,4,1,15,-73.971571,41.09359,-73.971571,41.09359,-74.011571,-73.931571,41.05359,41.13359
NY2430028,SLIDERS FOODMART,"13327, Croghan, New York",13327,New York,Region 2,Transient non-community system,25,WATSON (T),Lewis,3,3,18,-75.38791,43.893565,-75.38791,43.893565,-75.61991,-75.15591,43.661565,44.125565
NY0905067,OWLYOUT BAR + RESTAURANT,"4492 RT-374, Dannemora, Town of, New York, 12955",12955,New York,Region 2,Transient non-community system,75,ELLENBURG (T),Clinton,5,74,17,-73.945898,44.758137,-73.947041,44.75889,-73.946898,-73.944898,44.757137,44.759137
NY1719202,LAKESIDE TAVERN,"306 Woods Hollow Rd, Mayfield, Town of, New York, 12078",12078,New York,Region 2,Transient non-community system,101,MAYFIELD (T),Fulton,6,77,17,-74.217405,43.070565,-74.216931,43.07059,-74.218405,-74.216405,43.069565,43.071565
NY1330559,VALLEY COMMUNITY CHURCH OF THE NAZARENE,"12514, Clinton Cors, New York",12514,New York,Region 2,Transient non-community system,103,CLINTON (T),Dutchess,3,29,27,-73.764888,41.827763,-73.764888,41.827763,-73.892888,-73.636888,41.699763,41.955763
NY0330082,ANNIES BAR & GRILL,"13865, W Windsor, New York",13865,New York,Region 2,Transient non-community system,25,WINDSOR (T),Broome,5,2,12,-75.76359,42.099055,-75.76359,42.099055,-76.03259,-75.49459,41.830055,42.368055
NY4117259,CHERRY PLAIN SCHOOL,"12022, Berlin, New York",12022,New York,Region 2,Non-Transient non-community system,600,BERLIN (T),Rensselaer,4,5,17,-73.371016,42.691119,-73.371016,42.691119,-73.465016,-73.277016,42.597119,42.785119
NY5030003,BIRDY'S CAFE,"3574 County Route 70A, Howard, Town of, New York, 14843",14843,New York,Region 2,Transient non-community system,25,HOWARD (T),Steuben,4,39,19,-77.515099,42.363393,-77.515031,42.36308,-77.516099,-77.514099,42.362393,42.364393
NY3706696,"11 NORTH BAR & GRILL, LLC","5233 US-11, Richland, Town of, New York, 13142",13142,New York,Region 2,Transient non-community system,165,RICHLAND (T),Oswego,3,29,12,-76.11152,43.590958,-76.112121,43.59116,-76.11252,-76.11052,43.589958,43.591958
NY3500559,APPLEWOOD ORCHARD AND WINERY,"10990, Warwick, New York",10990,New York,Region 2,Transient non-community system,50,WARWICK (T),Orange,3,4,5,-74.362042,41.257881,-74.362042,41.257881,-74.475042,-74.249042,41.144881,41.370881
NY3519760,OAKLAND VALLEY RACE PARK,"12729, Cuddebackville, New York",12729,New York,Region 2,Transient non-community system,30,DEERPARK (T),Orange,6,61,15,-74.646946,41.503214,-74.646946,41.503214,-74.762946,-74.530946,41.387214,41.619214
NY5203917,CAMP KENNYBROOK,"633 Saw Mill River Rd, Ardsley, New York, 10502",10502,New York,Region 2,Transient non-community system,266,THOMPSON (T),Sullivan,10,13,15,-73.848913,41.010347,-73.848651,41.01016,-73.849913,-73.847913,41.009347,41.011347
NY2808938,EL RANCHO DRIVE IN,"386 Lakeview Rd, Broadalbin, Town of, New York, 12025",12025,New York,Region 2,Transient non-community system,75,PALATINE (T),Montgomery,4,7,12,-74.192485,43.08992,-74.191671,43.08909,-74.193485,-74.191485,43.08892,43.09092
NY5206255,FANTASY LAKE RESORT INC.,"Airport Rd, Highland, Town of, New York, 12792",12792,New York,Region 2,Transient non-community system,80,HIGHLAND (T),Sullivan,4,10,16,-74.932883,41.524664,-74.932883,41.524664,-74.935883,-74.929883,41.521664,41.527664
NY5130179,TWO SOUTH FERRY B & B,"11964, Shelter Is, New York",11964,New York,Region 2,Transient non-community system,30,SHELTER ISLAND (T),Suffolk,3,4,11,-72.333672,41.06657,-72.333672,41.06657,-72.396672,-72.270672,41.00357,41.12957
NY1418653,HOLLAND HILLS COUNTRY CLUB,"14141, Springville, New York",14141,New York,Region 2,Transient non-community system,75,HOLLAND (T),Erie,3,8,7,-78.66829,42.508821,-78.66829,42.508821,-78.81129,-78.52529,42.365821,42.651821
NY1450022,TIM HORTONS,"14110, North Boston, New York",14110,New York,Region 2,Transient non-community system,25,SARDINIA (T),Erie,11,0,14,-78.778436,42.68678,-78.778436,42.68678,-78.783436,-78.773436,42.68178,42.69178
NY0200402,RYAN ROAD DEVELOPMENT,"5138 Willow Brook Dr, Clarence, New York, 14031",14031,New York,Region 2,Transient non-community system,75,RUSHFORD (T),Allegany,2,0,1,-78.653724,42.986575,-78.653724,42.986575,-78.663724,-78.643724,42.976575,42.996575
NY1303224,LAKE LODGES APARTMENTS,"11710, Bellmore, New York",11710,New York,Region 2,Community water system,30,PLEASANT VALLEY (T),Dutchess,9,4,19,-73.537772,40.686435,-73.537772,40.686435,-73.587772,-73.487772,40.636435,40.736435
NY0600808,BUSTI MOBILE HOME PARK,"2375 Brown Hill Rd, Brokenstraw Twp, Pennsylvania, 16371",16371,New York,Region 2,Community water system,97,BUSTI (T),Chautauqua,4,36,6,-79.318355,41.890131,-79.322351,41.89082,-79.319355,-79.317355,41.889131,41.891131
NY1330669,CROSSROADS ALLIANCE CHURCH,"12540, Lagrangeville, New York",12540,New York,Region 2,Transient non-community system,25,UNION VALE (T),Dutchess,4,5,14,-73.797049,41.671138,-73.797049,41.671138,-73.951049,-73.643049,41.517138,41.825138
NY2600009,TROYER'S COUNTRY STORE,"5518 Nelson Rd, Fenner, Town of, New York, 13032",13032,New York,Region 2,Transient non-community system,26,FENNER (T),Madison,7,0,13,-75.785676,42.991001,-75.785511,42.99099,-75.786676,-75.784676,42.990001,42.992001
NY5217657,"CEDAR RAPIDS RESTAURANT, BAR & CG","131 Proctor Rd, Highland, Town of, New York, 12732",12732,New York,Region 2,Transient non-community system,90,HIGHLAND (T),Sullivan,3,20,26,-74.861167,41.510026,-74.860781,41.51037,-74.862167,-74.860167,41.509026,41.511026
NY5907701,JOHN JAY MIDDLE SCHOOL,"10536, Katonah, New York",10536,New York,Region 2,Non-Transient non-community system,945,LEWISBORO (T),Westchester,6,15,22,-73.688492,41.254861,-73.688492,41.254861,-73.767492,-73.609492,41.175861,41.333861
NY5907702,LEWISBORO ELEMENTARY SCHOOL,"10536, Katonah, New York",10536,New York,Region 2,Non-Transient non-community system,50,LEWISBORO (T),Westchester,5,8,14,-73.688492,41.254861,-73.688492,41.254861,-73.767492,-73.609492,41.175861,41.333861
NY5614852,GREEN HAVEN RESORT,"3136 Lakeshore Dr, Lake George, Town of, New York, 12845",12845,New York,Region 2,Transient non-community system,75,LAKE GEORGE (T),Warren,2,6,14,-73.700933,43.445461,-73.700901,43.44546,-73.701933,-73.699933,43.444461,43.446461
NY0904641,THE LITTLE PIZZA SHOP,"618 Lapham Mills Rd, Peru, Town of, New York, 12972",12972,New York,Region 2,Transient non-community system,25,PERU (T),Clinton,5,16,13,-73.497701,44.595916,-73.497681,44.59635,-73.498701,-73.496701,44.594916,44.596916
NY3502947,VISION COMMUNITY CHURCH,"Warwick Tpke, Warwick, New York, 10990",10990,New York,Region 2,Transient non-community system,100,WARWICK (T),Orange,4,49,10,-74.37889,41.224116,-74.37889,41.224116,-74.39289,-74.36489,41.210116,41.238116
NY3401150,CANANDAIGUA CITY,"14424, Canandaigua, New York",14424,New York,Region 2,Community water system,11264,CANANDAIGUA (C),Ontario,21,32,10,-77.279853,42.88614,-77.279853,42.88614,-77.475853,-77.083853,42.69014,43.08214
NY1330461,PLEASANT VALLEY MEADOWS,"10028, New York, New York",10028,New York,Region 2,Community water system,45,PLEASANT VALLEY (T),Dutchess,4,29,14,-73.952766,40.776646,-73.952766,40.776646,-73.968766,-73.936766,40.760646,40.792646
NY5121217,PIESANO'S,"1207 Wave Ave, Brookhaven, Town of, New York, 11763",11763,New York,Region 2,Transient non-community system,60,SHELTER ISLAND (T),Suffolk,5,5,12,-72.988624,40.833078,-72.988641,40.83326,-72.989624,-72.987624,40.832078,40.834078
NY0600395,POMFRET CHESTNUT ROAD WATER DISTRICT,"9 Day St, Fredonia, New York, 14063",14063,New York,Region 2,Community water system,64,POMFRET (T),Chautauqua,2,1,4,-79.33148,42.440772,-79.331321,42.44087,-79.33248,-79.33048,42.439772,42.441772
