PWSID,Approximate Address
NC0351842,Not Found
NC0217413,Not Found
NC0136625,Not Found
NC0145519,Not Found
NC0113516,Not Found
NC0111427,Not Found
NC0195533,Not Found
NC0157446,Not Found
NC0241562,Not Found
NC0100495,Not Found
NC0326167,Not Found
NC0464524,Not Found
NC1020004,Not Found
NC0144607,Not Found
NC0145540,Not Found
NC0102552,Not Found
NC0464117,Not Found
NC0464520,Not Found
NC0276514,Not Found
NC3001009,Not Found
NC0235475,Not Found
NC0118689,Not Found
NC0157536,Not Found
NC0195544,Not Found
NC2013025,Not Found
NC4092124,Not Found
NC0156497,Not Found
NC1006004,Not Found
NC0235494,Not Found
NC0187610,Not Found
NC0377460,Not Found
NC0332589,Not Found
NC0195488,Not Found
NC0431507,Not Found
NC0155515,Not Found
NC0149559,Not Found
NC0114490,Not Found
NC0102553,Not Found
NC0180703,Not Found
NC0319446,Not Found
NC0156573,Not Found
NC0118769,Not Found
NC1050038,Not Found
NC0105484,Not Found
NC0241699,Not Found
NC0465548,Not Found
NC0145453,Not Found
NC7071039,Not Found
NC0466432,Not Found
NC0180647,Not Found
NC0111485,Not Found
NC0145606,Not Found
NC4064029,Not Found
NC0144601,Not Found
NC0197595,Not Found
NC0111416,Not Found
NC1050011,Not Found
NC1088023,Not Found
NC0195480,Not Found
NC1058013,Not Found
NC0138428,Not Found
NC4035001,Not Found
NC0279667,Not Found
NC0195497,Not Found
NC0103558,Not Found
NC0286559,Not Found
NC7071010,Not Found
NC7010067,Not Found
NC0410065,Not Found
NC7010055,Not Found
NC1088018,Not Found
NC1088017,Not Found
NC0188517,Not Found
NC0201465,Not Found
NC3086028,Not Found
NC1058021,Not Found
NC0111478,Not Found
NC1058004,Not Found
NC0150199,Not Found
NC0326548,Not Found
NC4064032,Not Found
NC0498619,Not Found
NC0105420,Not Found
NC0201573,Not Found
NC0111135,Not Found
NC0150188,Not Found
NC0188546,Not Found
NC0428489,Not Found
NC0195555,Not Found
NC1058025,Not Found
NC0276536,Not Found
NC0149567,Not Found
NC0149536,Not Found
NC0201478,Not Found
NC0465520,Not Found
NC3041087,Not Found
NC3041080,Not Found
NC1045022,Not Found
NC0145560,Not Found
NC4092156,Not Found
NC0235498,Not Found
NC0197510,Not Found
NC0105486,Not Found
NC0276686,Not Found
NC4092186,Not Found
NC0181551,Not Found
NC2080025,Not Found
NC0145504,Not Found
NC0279432,Not Found
NC0241435,Not Found
NC0188592,Not Found
NC6007005,Not Found
NC0273104,Not Found
NC0180769,Not Found
NC6046002,Not Found
NC0113513,Not Found
NC0145595,Not Found
NC0106509,Not Found
NC0150470,Not Found
NC0286614,Not Found
