PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
OR4100628,COUNTRY CLUB WATER DISTRICT,"97011, Brightwood, Oregon",97011,Oregon,Region 10,Community water system,150,,Clackamas,7,52,6,-122.025064,45.375043,-122.025064,45.375043,-122.166064,-121.884064,45.234043,45.516043
OR4190299,LAST CHANCE SALOON,"4859 Forsythe Dr SE, Salem, Oregon, 97302",97302,Oregon,Region 10,Transient non-community system,60,,Marion,5,68,3,-123.014729,44.884768,-123.014981,44.88485,-123.015729,-123.013729,44.883768,44.885768
OR4193484,MERLIN MOBILE HOME PARK,"6125 Azalea Dr, Grants Pass, Oregon, 97526",97526,Oregon,Region 10,Transient non-community system,25,,Josephine,5,9,4,-123.441338,42.515047,-123.441161,42.51632,-123.442338,-123.440338,42.514047,42.516047
OR4100522,"MILTON-FREEWATER, CITY OF","97862, Milton Freewater, Oregon",97862,Oregon,Region 10,Community water system,7070,,Umatilla,20,194,4,-118.395014,45.942154,-118.395014,45.942154,-118.817014,-117.973014,45.520154,46.364154
OR4190413,ONEYS RESTAURANT/LOUNGE,"1263 NE Hawthorne Ave, Hillsboro, Oregon, 97124",97124,Oregon,Region 10,Transient non-community system,60,,Clatsop,5,46,4,-122.968051,45.534032,-122.968321,45.53417,-122.969051,-122.967051,45.533032,45.535032
OR4191912,SMOKE ON THE WATER,"2700 Lakeshore Dr, Selma, Oregon, 97538",97538,Oregon,Region 10,Transient non-community system,29,,Josephine,5,26,3,-123.575307,42.263134,-123.575121,42.26332,-123.576307,-123.574307,42.262134,42.264134
OR4190178,COE MCNARY DAM,"97882, Umatilla, Oregon",97882,Oregon,Region 10,Non-Transient non-community system,120,,Umatilla,10,184,3,-119.334321,45.917679,-119.334321,45.917679,-119.775321,-118.893321,45.476679,46.358679
OR4192114,WELLS CREEK INN,"2071 NE Stephens St, Roseburg, Oregon, 97470",97470,Oregon,Region 10,Transient non-community system,25,,Douglas,5,29,3,-123.350713,43.234152,-123.350511,43.23416,-123.351713,-123.349713,43.233152,43.235152
OR4194129,SUTTLE LODGE AND BOATHOUSE,"13300 Highway 20, Sisters, Oregon, 97759",97759,Oregon,Region 10,Transient non-community system,70,,Jefferson,3,28,3,-121.720893,44.428459,-121.720893,44.428459,-121.730893,-121.710893,44.418459,44.438459
OR4194172,BROTHERS STAGE STOP,"34100 E Highway 20, Brothers, Oregon, 97712",97712,Oregon,Region 10,Transient non-community system,30,,Deschutes,3,42,4,-120.603323,43.813816,-120.602991,43.81446,-120.604323,-120.602323,43.812816,43.814816
OR4100431,WISEMANS MOBILE COURT,"1369 G St, Arcata, California, 95521",95521,Oregon,Region 10,Community water system,114,,Klamath,7,140,6,-124.084433,40.872502,-124.084671,40.87256,-124.085433,-124.083433,40.871502,40.873502
OR4101536,FORDICE WATER SYSTEM,"97838, Hermiston, Oregon",97838,Oregon,Region 10,Community water system,36,,Umatilla,3,2,1,-119.286581,45.8416,-119.286581,45.8416,-119.575581,-118.997581,45.5526,46.1306
OR4195327,BROADACRES STORE/TAVERN,"18466 Butteville Rd NE, Aurora, Oregon, 97002",97002,Oregon,Region 10,Transient non-community system,50,,Marion,3,4,3,-122.869497,45.186685,-122.867171,45.18618,-122.870497,-122.868497,45.185685,45.187685
OR4193556,LONE ELDER STORE,"25995 S Hwy-170, Canby, Oregon, 97013",97013,Oregon,Region 10,Transient non-community system,150,,Clackamas,3,77,3,-122.680365,45.230757,-122.680721,45.23071,-122.681365,-122.679365,45.229757,45.231757
OR4101509,DEAN MINARD WATER DISTRICT,"97423, Coquille, Oregon",97423,Oregon,Region 10,Community water system,135,,Coos,3,32,5,-124.185521,43.179201,-124.185521,43.179201,-124.397521,-123.973521,42.967201,43.391201
OR4105395,NORTH BRIGHTWOOD IMPROV ASSN,"97067, Welches, Oregon",97067,Oregon,Region 10,Community water system,50,,Clackamas,10,287,6,-121.967655,45.343396,-121.967655,45.343396,-122.070655,-121.864655,45.240396,45.446396
OR4190376,YMCA LOW ECHO,"540 YMCA Way, Ashland, Oregon, 97520",97520,Oregon,Region 10,Transient non-community system,35,,Klamath,3,40,2,-122.673317,42.186481,-122.672821,42.18673,-122.674317,-122.672317,42.185481,42.187481
OR4194724,BEND RESEARCH INC,"97701, Bend, Oregon",97701,Oregon,Region 10,Non-Transient non-community system,110,,Deschutes,9,10,4,-121.298827,44.065092,-121.298827,44.065092,-121.810827,-120.786827,43.553092,44.577092
OR4101058,SEVENTH MOUNTAIN RESORT,"97701, Bend, Oregon",97701,Oregon,Region 10,Non-Transient non-community system,400,,Deschutes,4,71,4,-121.298827,44.065092,-121.298827,44.065092,-121.810827,-120.786827,43.553092,44.577092
OR4105661,CANBY GROVE CONF CTR WELL 3,"7501 S Knights Bridge Rd, Canby, Oregon, 97013",97013,Oregon,Region 10,Transient non-community system,40,,Clackamas,3,28,4,-122.712342,45.267011,-122.712342,45.267011,-122.722342,-122.702342,45.257011,45.277011
OR4194996,CANBY GROVE CONF CTR WELL 2,"7501 S Knights Bridge Rd, Canby, Oregon, 97013",97013,Oregon,Region 10,Transient non-community system,40,,Clackamas,5,20,4,-122.712342,45.267011,-122.712342,45.267011,-122.722342,-122.702342,45.257011,45.277011
OR4190047,CANBY GROVE CONF CTR WELL 1,"7501 S Knights Bridge Rd, Canby, Oregon, 97013",97013,Oregon,Region 10,Transient non-community system,40,,Clackamas,7,24,4,-122.712342,45.267011,-122.712342,45.267011,-122.722342,-122.702342,45.257011,45.277011
OR4190234,SMITH FROZEN FOODS INC,"101 Depot St, Weston, Oregon, 97886",97886,Oregon,Region 10,Non-Transient non-community system,175,,Umatilla,8,73,3,-118.428128,45.82092,-118.428271,45.82083,-118.429128,-118.427128,45.81992,45.82192
OR4194399,MARION CO PUBLIC WORKS,"5155 Silverton Rd NE, Salem, Oregon, 97305",97305,Oregon,Region 10,Non-Transient non-community system,200,,Marion,5,147,4,-122.955416,44.973464,-122.956301,44.97416,-122.956416,-122.954416,44.972464,44.974464
OR4194699,BROOKS CSD,"5155 Silverton Rd NE, Salem, Oregon, 97305",97305,Oregon,Region 10,Non-Transient non-community system,400,,Marion,3,69,2,-122.955416,44.973464,-122.956301,44.97416,-122.956416,-122.954416,44.972464,44.974464
OR4195469,MCKENZIE STATION ESPRESSO,"56393 McKenzie Hwy, Blue River, Oregon, 97413",97413,Oregon,Region 10,Transient non-community system,30,,Lane,3,5,2,-122.162762,44.174517,-122.162631,44.17474,-122.163762,-122.161762,44.173517,44.175517
OR4193577,TENNIS WEST RAQUET CLUB,"6860 SW Winding Way, Corvallis, Oregon, 97333",97333,Oregon,Region 10,Transient non-community system,39,,Benton,9,20,4,-123.328883,44.551654,-123.329851,44.55144,-123.329883,-123.327883,44.550654,44.552654
