PWSID,Approximate Address
PA6370965,Not Found
PA4490318,Not Found
PA6201223,Not Found
PA6250098,Not Found
PA1150021,Not Found
PA7220980,Not Found
PA3546410,Not Found
PA2640604,Not Found
PA7671257,Not Found
PA7010327,Not Found
PA6200330,Not Found
PA6370820,Not Found
PA3480867,Not Found
PA4070847,Not Found
PA3480468,Not Found
PA4110033,Not Found
PA7360927,Not Found
PA5260007,Not Found
PA7500831,Not Found
PA2350332,Not Found
PA7360080,Not Found
PA1460923,Not Found
PA1460998,Not Found
PA7361340,Not Found
PA2450461,Not Found
PA5320407,Not Found
PA7360472,Not Found
PA2400887,Not Found
PA2640855,Not Found
PA2640865,Not Found
PA2080397,Not Found
PA2401084,Not Found
PA2080844,Not Found
PA2660312,Not Found
PA2520993,Not Found
PA6201037,Not Found
PA1150649,Not Found
PA6201078,Not Found
PA6201089,Not Found
PA7500844,Not Found
PA1150581,Not Found
PA3061013,Not Found
PA1461133,Not Found
PA2640473,Not Found
PA3540338,Not Found
PA3060337,Not Found
PA2520444,Not Found
PA5650423,Not Found
PA2640302,Not Found
PA2350392,Not Found
PA4560432,Not Found
PA1091307,Not Found
PA2590804,Not Found
PA1090840,Not Found
PA3130947,Not Found
PA5030316,Not Found
PA7360525,Not Found
PA1091188,Not Found
PA4290301,Not Found
PA6160842,Not Found
PA2400906,Not Found
PA1150102,Not Found
PA1090361,Not Found
PA3390433,Not Found
PA4440365,Not Found
PA4550342,Not Found
PA6201240,Not Found
PA6530304,Not Found
PA7386487,Not Found
PA4470010,Not Found
PA1091262,Not Found
PA6250346,Not Found
PA5040835,Not Found
PA4560034,Not Found
PA4050303,Not Found
PA4070025,Not Found
PA4070051,Not Found
PA4070053,Not Found
PA3390387,Not Found
PA3390388,Not Found
PA3480950,Not Found
PA4180831,Not Found
PA3061095,Not Found
PA5636392,Not Found
PA2451435,Not Found
PA3061283,Not Found
PA6201237,Not Found
PA5100146,Not Found
PA6250032,Not Found
PA2580529,Not Found
PA7360564,Not Found
PA3060945,Not Found
