PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
PA7011024,BACK TO BASICS CHILD CARE,"202 Kimberly Ln, Reading Twp, Pennsylvania, 17316",17316,Pennsylvania,Region 3,Non-Transient non-community system,44,,Adams,3,2,2,-77.047614,39.933137,-77.047771,39.93333,-77.048614,-77.046614,39.932137,39.934137
PA5650406,BRUCETON PETROLEUM,"15666, Mount Pleasant, Pennsylvania",15666,Pennsylvania,Region 3,Transient non-community system,25,,Westmoreland,3,6,3,-79.518581,40.170361,-79.518581,40.170361,-79.611581,-79.425581,40.077361,40.263361
PA5650409,GLASSMERE FOOD MART #251,"3590 US-30 W, Unity Twp, Pennsylvania, 15650",15650,Pennsylvania,Region 3,Transient non-community system,250,,Westmoreland,3,18,3,-79.356742,40.290507,-79.356911,40.29075,-79.357742,-79.355742,40.289507,40.291507
PA3390330,MIRACLE LEAGUE OF THE LV FIELD,"4460 Park View Dr, North Whitehall Twp, Pennsylvania, 18078",18078,Pennsylvania,Region 3,Transient non-community system,50,,Lehigh,3,10,3,-75.599832,40.667555,-75.600851,40.66727,-75.600832,-75.598832,40.666555,40.668555
PA6160891,COOK FOREST FUN PARK,"2952 Route 36, Farmington Twp, Pennsylvania, 16233",16233,Pennsylvania,Region 3,Transient non-community system,25,,Clarion,3,0,3,-79.254211,41.333518,-79.254241,41.3345,-79.255211,-79.253211,41.332518,41.334518
PA6200006,SUGARCREEK MHP,"16314, Cochranton, Pennsylvania",16314,Pennsylvania,Region 3,Community water system,50,,Crawford,5,75,3,-80.052912,41.518951,-80.052912,41.518951,-80.238912,-79.866912,41.332951,41.704951
PA3130902,TWO KINGS PIZZA,"1474 Blakeslee Boulevard Dr W, Mahoning Twp, Pennsylvania, 18235",18235,Pennsylvania,Region 3,Transient non-community system,25,,Carbon,2,1,1,-75.79473,40.790618,-75.79473,40.790618,-75.80473,-75.78473,40.780618,40.800618
PA2451424,DOLLAR GENERAL #16946,"100 Mission Rdg, Goodlettsville, Tennessee, 37072",37072,Pennsylvania,Region 3,Transient non-community system,100,,Monroe,3,0,1,-86.699243,36.309643,-86.699301,36.30908,-86.700243,-86.698243,36.308643,36.310643
PA6201208,SPRAGUE FARM & BREW WORKS,"US Highway 6 and 19, Venango Twp, Pennsylvania, 16440",16440,Pennsylvania,Region 3,Transient non-community system,25,,Crawford,3,8,3,-80.116557,41.764879,-80.116557,41.764879,-80.118557,-80.114557,41.762879,41.766879
PA6330854,AMISH RESTAURANT AND BAKERY,"2147 Route 310, McCalmont Twp, Pennsylvania, 15851",15851,Pennsylvania,Region 3,Transient non-community system,50,,Jefferson,2,3,3,-78.947537,41.035437,-78.947901,41.03541,-78.948537,-78.946537,41.034437,41.036437
