PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
SC0210004,WAGENER TOWN OF (0210004),"29164, Wagener, South Carolina",29164,South Carolina,Region 4,Community water system,1081,,Aiken,8,8,42,-81.366561,33.652469,-81.366561,33.652469,-81.562561,-81.170561,33.456469,33.848469
SC2270921,HIDDEN MARINA & CAMPGROUND (SC2270921),"29440, Georgetown, South Carolina",29440,South Carolina,Region 4,Transient non-community system,30,GEORGETOWN,Georgetown,2,0,6,-79.290189,33.374319,-79.290189,33.374319,-79.695189,-78.885189,32.969319,33.779319
SC0870853,LOCKLAIR'S LANDING (0870853),"404 Central Ave, Summerville, South Carolina, 29483",29483,South Carolina,Region 4,Transient non-community system,26,MONCKS CORNER,Berkeley,3,0,11,-80.182937,33.018637,-80.182861,33.01897,-80.183937,-80.181937,33.017637,33.019637
SC4360010,CEDAR HILL MHP (4360010),"480 E Liberty St, Sumter, South Carolina, 29153",29153,South Carolina,Region 4,Community water system,128,SUMTER,Sumter,5,7,43,-80.324551,33.921414,-80.324491,33.92132,-80.325551,-80.323551,33.920414,33.922414
SC1570924,FAITH CATHEDRAL FELLOWSHIP INC (1570924),"29488, Ritter, South Carolina",29488,South Carolina,Region 4,Community water system,40,WALTERBORO,Colleton,4,15,15,-80.657472,32.899011,-80.657472,32.899011,-80.851472,-80.463472,32.705011,33.093011
SC3970675,MCCALL RA CAMP (SC3970675),"29210, Columbia, South Carolina",29210,South Carolina,Region 4,Transient non-community system,181,,Pickens,5,2,23,-81.111581,34.057161,-81.111581,34.057161,-81.164581,-81.058581,34.004161,34.110161
SC3710004,WALHALLA CITY OF (SC3710004),"29691, Walhalla, South Carolina",29691,South Carolina,Region 4,Community water system,15768,WALHALLA,Oconee,5,16,29,-83.066502,34.763071,-83.066502,34.763071,-83.177502,-82.955502,34.652071,34.874071
SC3950005,RIVER BLUFF S/D (3950005),"196 W Ridge Dr, Travelers Rest, South Carolina, 29690",29690,South Carolina,Region 4,Community water system,190,TRAVELERS REST,Pickens,3,4,29,-82.455469,35.074392,-82.454761,35.076,-82.456469,-82.454469,35.073392,35.075392
SC0220007,BURNETTOWN W/D (SC0220007),"29816, Bath, South Carolina",29816,South Carolina,Region 4,Community water system,1040,BATH,Aiken,7,23,42,-81.872873,33.502712,-81.872873,33.502712,-81.877873,-81.867873,33.497712,33.507712
SC4679002,JOKERS (4679002),"1312 Neelys Creek Rd, Rock Hill, South Carolina, 29730",29730,South Carolina,Region 4,Transient non-community system,25,ROCK HILL,York,2,0,8,-80.97261,34.86078,-80.972261,34.86055,-80.97361,-80.97161,34.85978,34.86178
SC3772003,COMMON WELLHOUSE & WATER SUPP(SC3772003),"29633, Clemson, South Carolina",29633,South Carolina,Region 4,Transient non-community system,25,,Oconee,2,1,6,-82.835152,34.68955,-82.835152,34.68955,-82.840152,-82.830152,34.68455,34.69455
SC4610003,FORT MILL TOWN OF (4610003),"29716, Fort Mill, South Carolina",29716,South Carolina,Region 4,Community water system,16943,FORT MILL,York,4,6,20,-80.939871,35.007981,-80.939871,35.007981,-80.944871,-80.934871,35.002981,35.012981
SC4420002,BROWNS CREEK W/D (SC4420002),"29364, Lockhart, South Carolina",29364,South Carolina,Region 4,Community water system,2871,UNION,Union,2,8,36,-81.459631,34.788361,-81.459631,34.788361,-81.464631,-81.454631,34.783361,34.793361
SC2910001,LANCASTER CITY OF (SC2910001),"29721, Lancaster, South Carolina",29721,South Carolina,Region 4,Community water system,13075,LANCASTER,Lancaster,3,17,24,-80.772802,34.725551,-80.772802,34.725551,-80.777802,-80.767802,34.720551,34.730551
SC4670252,DIXIE DINER (SC4670252),"1118 Sherwood Rd, Clover, South Carolina, 29710",29710,South Carolina,Region 4,Transient non-community system,28,CLOVER,York,3,3,8,-81.239749,35.138998,-81.239691,35.13938,-81.240749,-81.238749,35.137998,35.139998
SC3660006,GATEWAY RV PARK (SC3660006),"940 Mud Creek Rd, Newberry, South Carolina, 29108",29108,South Carolina,Region 4,Transient non-community system,80,POMARIA,Newberry,9,1,18,-81.496259,34.306881,-81.493401,34.30519,-81.497259,-81.495259,34.305881,34.307881
SC3910001,PICKENS WTP (3910001),"29671, Pickens, South Carolina",29671,South Carolina,Region 4,Community water system,10871,PICKENS,Pickens,5,20,23,-82.706928,34.877315,-82.706928,34.877315,-82.894928,-82.518928,34.689315,35.065315
SC0220006,BREEZY HILL W/D (0220006),"29829, Graniteville, South Carolina",29829,South Carolina,Region 4,Community water system,15282,GRANITEVILLE,Aiken,33,4,35,-81.807902,33.56138,-81.807902,33.56138,-81.923902,-81.691902,33.44538,33.67738
SC2570677,WEBB WILDLIFE CENTER (2570677),"29202, Columbia, South Carolina",29202,South Carolina,Region 4,Transient non-community system,30,GARNETT,Hampton,2,1,18,-81.039192,34.00678,-81.039192,34.00678,-81.044192,-81.034192,34.00178,34.01178
SC0572002,B&D BBQ (0572002),"17245 Hunters Chapel Rd, Smoaks, South Carolina, 29481",29481,South Carolina,Region 4,Transient non-community system,55,SMOAKS,Bamberg,2,2,6,-80.903113,33.083433,-80.902811,33.08368,-80.904113,-80.902113,33.082433,33.084433
SC0760001,LAKEVIEW MHP (SC0760001),"20 Towne Dr, Bluffton, South Carolina, 29910",29910,South Carolina,Region 4,Community water system,114,BURTON,Beaufort,3,23,45,-80.861402,32.269823,-80.861121,32.27005,-80.862402,-80.860402,32.268823,32.270823
SC1560002,EAGLES RV CAMPGROUND (1560002),"11592 Jefferies Hwy, Walterboro, South Carolina, 29488",29488,South Carolina,Region 4,Transient non-community system,26,WALTERBORO,Colleton,6,0,14,-80.617221,33.059749,-80.616651,33.05934,-80.618221,-80.616221,33.058749,33.060749
SC0210006,PERRY TOWN OF (0210006),"1075 E Railroad Ave N, Salley, South Carolina, 29137",29137,South Carolina,Region 4,Community water system,701,,Aiken,12,32,44,-81.312579,33.631086,-81.312579,33.631086,-81.322579,-81.302579,33.621086,33.641086
SC0210007,NEW ELLENTON-CPW (0210007),"29809, New Ellenton, South Carolina",29809,South Carolina,Region 4,Community water system,6071,,Aiken,9,33,43,-81.687847,33.421824,-81.687847,33.421824,-81.718847,-81.656847,33.390824,33.452824
SC0420004,HIGHWAY 88 W/D (0420004),"29677, Sandy Springs, South Carolina",29677,South Carolina,Region 4,Community water system,2963,LA FRANCE,Anderson,4,6,39,-82.743751,34.58954,-82.743751,34.58954,-82.748751,-82.738751,34.58454,34.59454
