PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
SD4602270,SUN VALLEY DEVELOPMENT,"57709, Rapid City, South Dakota",57709,South Dakota,Region 8,Community water system,530,RAPID CITY,Meade,5,1,2,-103.214742,44.07852,-103.214742,44.07852,-103.219742,-103.209742,44.07352,44.08352
SD4602273,HOLY SMOKE CABINS,"57751, Keystone, South Dakota",57751,South Dakota,Region 8,Transient non-community system,37,KEYSTONE,Pennington,6,3,2,-103.419025,43.89641,-103.419025,43.89641,-103.599025,-103.239025,43.71641,44.07641
SD4602274,PRAIRIE BERRY WINERY,"23837 Highway 385, Hill City, South Dakota, 57745",57745,South Dakota,Region 8,Transient non-community system,1000,HILL CITY,Pennington,6,1,3,-103.521288,43.94946,-103.522281,43.94986,-103.522288,-103.520288,43.94846,43.95046
SD4602276,BOXELDER HIGH COUNTRY ASSOCIATION,"13740 Chariot Pl, Rapid City, South Dakota, 57702",57702,South Dakota,Region 8,Community water system,47,RAPID CITY,Pennington,2,8,3,-103.447125,44.143224,-103.447031,44.14333,-103.448125,-103.446125,44.142224,44.144224
SD4602277,CLARK RURAL WATER-KAMPESKA,"162nd St, Clark, South Dakota, 57225",57225,South Dakota,Region 8,Community water system,578,"CLARK, FLORENCE","Clark, Codington, Day, Hamlin",6,43,4,-97.822922,45.036338,-97.822922,45.036338,-97.923922,-97.721922,44.935338,45.137338
SD4602285,"SHERIDAN LAKE HIGHLANDS, INC.","5310 Ebony Pl, Piedmont, South Dakota, 57769",57769,South Dakota,Region 8,Community water system,66,"PIEDMONT, RAPID CITY",Pennington,5,18,2,-103.30758,44.196637,-103.308921,44.1976,-103.30858,-103.30658,44.195637,44.197637
SD4602323,PARADISE WATER COMPANY LLC,"1204 Washington St, Lead, South Dakota, 57754",57754,South Dakota,Region 8,Community water system,55,"LEAD, SIOUX FALLS",Lawrence,7,0,3,-103.749091,44.358356,-103.749131,44.3584,-103.750091,-103.748091,44.357356,44.359356
SD4602301,CEDAR GULCH I,"203 Windslow Dr, Rapid City, South Dakota, 57701",57701,South Dakota,Region 8,Community water system,45,RAPID CITY,Pennington,2,127,4,-103.215003,44.045743,-103.214781,44.04563,-103.216003,-103.214003,44.044743,44.046743
SD4602304,RAINBOW BIBLE RANCH,"14676 Lone Tree Rd, Sturgis, South Dakota, 57785",57785,South Dakota,Region 8,Transient non-community system,50,STURGIS,Meade,6,29,2,-103.112873,44.335096,-103.112841,44.33513,-103.113873,-103.111873,44.334096,44.336096
SD4602305,COSMOS MYSTERY AREA,"24040 Cosmos Rd, Rapid City, South Dakota, 57702",57702,South Dakota,Region 8,Transient non-community system,600,"COLUMBUS, RAPID CITY",Pennington,5,15,2,-103.421976,43.923927,-103.421811,43.92434,-103.422976,-103.420976,43.922927,43.924927
SD4600337,TYNDALL,"110 E 17th Ave, Tyndall, South Dakota, 57066",57066,South Dakota,Region 8,Community water system,1067,TYNDALL,Bon Homme,6,4,10,-97.862404,42.992321,-97.862404,42.992321,-97.872404,-97.852404,42.982321,43.002321
SD4602342,NORTHWOOD FIRST SUBDIVISION,"57402, Aberdeen, South Dakota",57402,South Dakota,Region 8,Community water system,90,ABERDEEN,Brown,3,1,3,-98.497592,45.452729,-98.497592,45.452729,-98.502592,-98.492592,45.447729,45.457729
SD4602287,VIEWFIELD RURAL WATER SYSTEM,"57718, Blackhawk, South Dakota",57718,South Dakota,Region 8,Community water system,150,"BLACK HAWK, NEW UNDERWOOD",Meade,7,26,2,-103.336565,44.180243,-103.336565,44.180243,-103.422565,-103.250565,44.094243,44.266243
SD4600321,STURGIS,"1040 Harley-Davidson Way, Sturgis, South Dakota, 57785",57785,South Dakota,Region 8,Community water system,6627,STURGIS,Meade,20,29,10,-103.512763,44.413627,-103.512701,44.41362,-103.513763,-103.511763,44.412627,44.414627
SD4600263,COLONIAL PINE HILLS SANITARY DISTRIC,"7806 Croyle Ave, Rapid City, South Dakota, 57702",57702,South Dakota,Region 8,Community water system,1200,RAPID CITY,Pennington,19,23,7,-103.297328,44.010272,-103.297328,44.010272,-103.307328,-103.287328,44.000272,44.020272
SD4602336,GILDED MOUNTAIN HOMEOWNERS ASSOCIATI,"1204 Washington St, Lead, South Dakota, 57754",57754,South Dakota,Region 8,Transient non-community system,45,"LEAD, SPEARFISH",Lawrence,5,1,2,-103.749091,44.358356,-103.749131,44.3584,-103.750091,-103.748091,44.357356,44.359356
SD4602297,BLACK HILLS RETREAT CENTER 2,"12145 Paha Sapa Rd, Deadwood, South Dakota, 57732",57732,South Dakota,Region 8,Transient non-community system,25,"DEADWOOD, SIOUX FALLS",Lawrence,4,4,1,-103.631094,44.221082,-103.630981,44.22137,-103.632094,-103.630094,44.220082,44.222082
SD4602300,WHISPERING WINDS COTTAGES,"12720 S Highway 16, Rapid City, South Dakota, 57702",57702,South Dakota,Region 8,Transient non-community system,38,"HILL CITY, RAPID CITY",Pennington,4,5,1,-103.417003,43.937702,-103.417003,43.937702,-103.427003,-103.407003,43.927702,43.947702
SD4602340,COUNTRY STORE AT THREE FORKS,"12065 Quaal Rd, Black Hawk, South Dakota, 57718",57718,South Dakota,Region 8,Transient non-community system,1000,"BLACK HAWK, RAPID CITY",Pennington,3,4,1,-103.34212,44.197056,-103.342471,44.19683,-103.34312,-103.34112,44.196056,44.198056
SD4602356,RIMROCK HEIGHTS HOMEOWNERS ASSOCIATI,"2401 Bridge View Dr, Rapid City, South Dakota, 57701",57701,South Dakota,Region 8,Community water system,28,RAPID CITY,Pennington,4,0,1,-103.1921,44.062051,-103.192671,44.0619,-103.1931,-103.1911,44.061051,44.063051
SD4602359,RUSHMORE MOUNTAIN COASTER,"13622 Highway 40, Keystone, South Dakota, 57751",57751,South Dakota,Region 8,Transient non-community system,300,KEYSTONE,Pennington,2,0,1,-103.333685,43.868453,-103.333685,43.868453,-103.343685,-103.323685,43.858453,43.878453
SD4602360,MYSTIC HILLS HIDEAWAY SOUTH,"21766 Custer Peak Rd, Deadwood, South Dakota, 57732",57732,South Dakota,Region 8,Transient non-community system,63,DEADWOOD,Lawrence,5,0,1,-103.704383,44.252863,-103.704391,44.25268,-103.705383,-103.703383,44.251863,44.253863
SD4602361,VALLEY HEIGHTS ESTATES INC,"10531 King Ct, Westminster, Colorado, 80031",80031,South Dakota,Region 8,Community water system,320,"RAPID CITY, WESTMINSTER",Pennington,3,3,1,-105.033748,39.887872,-105.033931,39.88781,-105.034748,-105.032748,39.886872,39.888872
SD4600039,BISON,"57620, Bison, South Dakota",57620,South Dakota,Region 8,Community water system,333,BISON,Perkins,11,44,9,-102.466676,45.520364,-102.466676,45.520364,-102.812676,-102.120676,45.174364,45.866364
SD4602295,CEDAR GULCH II,"5310 Ebony Pl, Piedmont, South Dakota, 57769",57769,South Dakota,Region 8,Community water system,39,"PIEDMONT, RAPID CITY",Pennington,6,136,2,-103.30758,44.196637,-103.308921,44.1976,-103.30858,-103.30658,44.195637,44.197637
SD4602272,TIMBERWOOD PARK ESTATES,"5310 Ebony Pl, Piedmont, South Dakota, 57769",57769,South Dakota,Region 8,Community water system,75,"PIEDMONT, RAPID CITY",Meade,5,1,2,-103.30758,44.196637,-103.308921,44.1976,-103.30858,-103.30658,44.195637,44.197637
SD4602326,PILLAR PEAK,"5118 Airport Rd, Spearfish, South Dakota, 57783",57783,South Dakota,Region 8,Community water system,25,"DEADWOOD, SCRANTON, SPEARFISH",Lawrence,3,0,1,-103.777951,44.488867,-103.777951,44.48924,-103.778951,-103.776951,44.487867,44.489867
SD4602358,COLLINS COLONY,"Collins Ave, Iroquois, South Dakota, 57353",57353,South Dakota,Region 8,Community water system,92,"ABERDEEN, IROQUOIS",Clark,5,50,2,-97.699201,44.546662,-97.699201,44.546662,-97.703201,-97.695201,44.542662,44.550662
SD4602286,UNITED ORDER OF SOUTH DAKOTA,"57747, Hot Springs, South Dakota",57747,South Dakota,Region 8,Community water system,75,HOT SPRINGS,Custer,5,25,2,-103.479484,43.430111,-103.479484,43.430111,-103.869484,-103.089484,43.040111,43.820111
SD4602289,NORTHERN LIGHTS MOBILE HOME PARK,"57078, Yankton, South Dakota",57078,South Dakota,Region 8,Community water system,57,YANKTON,Yankton,3,15,3,-97.393508,42.873879,-97.393508,42.873879,-97.595508,-97.191508,42.671879,43.075879
SD4602290,CREATIVE KIDS TOO PRESCHOOL & DAYCAR,"5310 Ebony Pl, Piedmont, South Dakota, 57769",57769,South Dakota,Region 8,Non-Transient non-community system,87,"PIEDMONT, RAPID CITY",Pennington,3,7,2,-103.30758,44.196637,-103.308921,44.1976,-103.30858,-103.30658,44.195637,44.197637
SD4602347,MCNENNY STATE FISH HATCHERY,"19619 Trout Loop, Spearfish, South Dakota, 57783",57783,South Dakota,Region 8,Transient non-community system,25,SPEARFISH,Lawrence,3,0,1,-104.009803,44.558446,-104.009351,44.55908,-104.010803,-104.008803,44.557446,44.559446
SD4602349,NORRIS PEAK WATER USERS ASSOC,"57718, Blackhawk, South Dakota",57718,South Dakota,Region 8,Community water system,30,"BLACK HAWK, RAPID CITY",Pennington,4,0,1,-103.336565,44.180243,-103.336565,44.180243,-103.422565,-103.250565,44.094243,44.266243
