PWSID,Approximate Address
TX1013011,Not Found
TX1220009,Not Found
TX1700488,Not Found
TX1840161,Not Found
TX2200367,Not Found
TX2020020,Not Found
TX0910112,Not Found
TX2200355,Not Found
TX1470007,Not Found
TX0790218,Not Found
TX1012232,Not Found
TX1050026,Not Found
TX1580030,Not Found
TX1580040,Not Found
TX2440010,Not Found
TX0330010,Not Found
TX1700064,Not Found
TX1700503,Not Found
TX2350082,Not Found
TX1650114,Not Found
TX1650026,Not Found
TX0620031,Not Found
TX0020018,Not Found
TX0020010,Not Found
TX1013582,Not Found
TX0150381,Not Found
TX0790185,Not Found
TX1520284,Not Found
TX2400045,Not Found
TX0200179,Not Found
TX0790321,Not Found
TX1130029,Not Found
TX1130036,Not Found
TX1720002,Not Found
TX0680241,Not Found
TX1910159,Not Found
TX2500052,Not Found
TX2420017,Not Found
TX1520273,Not Found
TX1520225,Not Found
TX1920014,Not Found
TX0260043,Not Found
TX2350080,Not Found
TX1810197,Not Found
TX1810194,Not Found
TX0450018,Not Found
TX0200234,Not Found
TX1620010,Not Found
TX1050195,Not Found
TX1013216,Not Found
TX1920015,Not Found
TX1130038,Not Found
TX1130028,Not Found
TX1130027,Not Found
TX1130026,Not Found
TX1130034,Not Found
TX1130037,Not Found
TX1130035,Not Found
TX1810039,Not Found
TX1810065,Not Found
TX0570179,Not Found
TX1013524,Not Found
TX0190027,Not Found
TX1070256,Not Found
