PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
TX1700744,TEXAS LANDING UTILITIES GOODE CITY,"77360, Onalaska, Texas",77360,Texas,Region 6,Community water system,168,,Montgomery,9,2,4,-95.101184,30.801974,-95.101184,30.801974,-95.244184,-94.958184,30.658974,30.944974
TX1700798,TEXAS LANDING UTILITIES DEERWOOD,"77360, Onalaska, Texas",77360,Texas,Region 6,Community water system,162,,Montgomery,10,0,3,-95.101184,30.801974,-95.101184,30.801974,-95.244184,-94.958184,30.658974,30.944974
TX1870151,TEXAS LANDING UTILITIES,"77360, Onalaska, Texas",77360,Texas,Region 6,Community water system,381,,Polk,17,5,9,-95.101184,30.801974,-95.101184,30.801974,-95.244184,-94.958184,30.658974,30.944974
TX0680210,JUDY K S KOUNTRY KITCHEN,"7010 N County Rd W, Odessa, Texas, 79764",79764,Texas,Region 6,Transient non-community system,100,,Ector,6,39,6,-102.410416,31.907506,-102.410416,31.907506,-102.420416,-102.400416,31.897506,31.917506
TX2330022,HOLIDAY TRAV L PARK,"11490 W US Highway 90, Del Rio, Texas, 78840",78840,Texas,Region 6,Community water system,660,,Val Verde,9,139,6,-101.005081,29.467084,-101.006001,29.46458,-101.006081,-101.004081,29.466084,29.468084
TX1440001,CITY OF GIDDINGS,"118 E Richmond St, Giddings, Texas, 78942",78942,Texas,Region 6,Community water system,7428,,Lee,25,4,9,-96.937416,30.180983,-96.937531,30.18056,-96.938416,-96.936416,30.179983,30.181983
TX1580003,KELLYVILLE BEREA WSC,"75657, Jefferson, Texas",75657,Texas,Region 6,Community water system,1125,,Marion,20,7,8,-94.34945,32.760525,-94.34945,32.760525,-94.65645,-94.04245,32.453525,33.067525
TX0640002,CITY OF CARRIZO SPRINGS,"78834, Carrizo Spgs, Texas",78834,Texas,Region 6,Community water system,6300,,Dimmit,29,76,7,-99.862282,28.526821,-99.862282,28.526821,-100.191282,-99.533282,28.197821,28.855821
TX0280012,TRI COMMUNITY WSC,"78661, Prairie Lea, Texas",78661,Texas,Region 6,Community water system,1698,,Caldwell,16,53,7,-97.751155,29.728922,-97.751155,29.728922,-97.759155,-97.743155,29.720922,29.736922
TX1013205,HARRIS COUNTY LEADERSHIP ACADEMY,"1310 Prairie St, Houston, Texas, 77002",77002,Texas,Region 6,Community water system,125,,Harris,9,17,6,-95.359046,29.759006,-95.359231,29.75876,-95.360046,-95.358046,29.758006,29.760006
TX2140007,CITY OF ROMA,"78584, Roma, Texas",78584,Texas,Region 6,Community water system,19123,,Starr,39,42,15,-98.994107,26.402512,-98.994107,26.402512,-99.377107,-98.611107,26.019512,26.785512
TX1010145,NITSCH & SON UTILITY,"8131 Northline Dr, Houston, Texas, 77037",77037,Texas,Region 6,Community water system,2142,,Harris,12,1,7,-95.397793,29.879601,-95.398111,29.8796,-95.398793,-95.396793,29.878601,29.880601
TX1010322,WHITE OAK MANOR MOBILE HOME PARK,"7200 White Oak Cir, Houston, Texas, 77040",77040,Texas,Region 6,Community water system,630,,Harris,16,18,8,-95.536681,29.877018,-95.536681,29.87705,-95.537681,-95.535681,29.876018,29.878018
TX1700803,NEW DANVILLE COMMUNITY,"10951 Shepard Hill Rd, Willis, Texas, 77318",77318,Texas,Region 6,Community water system,192,,Montgomery,13,22,3,-95.518426,30.481453,-95.517901,30.47967,-95.519426,-95.517426,30.480453,30.482453
TX1330167,SHERMANS MILL,"78024, Hunt, Texas",78024,Texas,Region 6,Community water system,48,,Kerr,11,24,5,-99.340601,30.065641,-99.340601,30.065641,-99.735601,-98.945601,29.670641,30.460641
TX1700755,IS ZEN CENTER LOTUS LAKE,"9550 Carraway Ln, Magnolia, Texas, 77354",77354,Texas,Region 6,Community water system,187,,Montgomery,7,8,3,-95.606302,30.155458,-95.607051,30.15902,-95.607302,-95.605302,30.154458,30.156458
TX0820018,SENDERO RANCH WATER SYSTEM,"755 E Mulberry Ave, San Antonio, Texas, 78212",78212,Texas,Region 6,Transient non-community system,200,,Frio,10,0,1,-98.479431,29.456828,-98.479431,29.4573,-98.480431,-98.478431,29.455828,29.457828
TX1012965,HARRIS COUNTY MUD 354,"1301 McKinney St, Houston, Texas, 77010",77010,Texas,Region 6,Community water system,6939,,Harris,5,9,8,-95.361866,29.755145,-95.361601,29.7555,-95.362866,-95.360866,29.754145,29.756145
TX0100072,THE FALLS WSC,"5054 English Crossing Rd, Pipe Creek, Texas, 78063",78063,Texas,Region 6,Community water system,195,,Bandera,32,3,10,-98.963807,29.677398,-98.963807,29.677398,-98.973807,-98.953807,29.667398,29.687398
TX2200105,FRIENDLY OAKS WSC,"6108 Tranquility Dr, Fort Worth, Texas, 76140",76140,Texas,Region 6,Community water system,122,,Tarrant,9,23,9,-97.225811,32.591203,-97.225811,32.59097,-97.226811,-97.224811,32.590203,32.592203
TX0610208,LAST RESORT PROPERTIES,"75068, Lakewood Village, Texas",75068,Texas,Region 6,Community water system,75,,Denton,6,96,11,-96.942217,33.157933,-96.942217,33.157933,-97.012217,-96.872217,33.087933,33.227933
TX1013230,BARBOURS CUT TERMINAL,"77252, Houston, Texas",77252,Texas,Region 6,Non-Transient non-community system,400,,Harris,5,30,4,-95.364882,29.76614,-95.364882,29.76614,-95.369882,-95.359882,29.76114,29.77114
TX1200023,BRACKENRIDGE PLANTATION CAMPGROUND,"77957, Edna, Texas",77957,Texas,Region 6,Transient non-community system,35,,Jackson,13,0,7,-96.644358,28.978386,-96.644358,28.978386,-96.938358,-96.350358,28.684386,29.272386
TX1200032,LNRA O & M COMPLEX,"77957, Edna, Texas",77957,Texas,Region 6,Non-Transient non-community system,50,,Jackson,9,1,6,-96.644358,28.978386,-96.644358,28.978386,-96.938358,-96.350358,28.684386,29.272386
