PWSID,Approximate Address
UTAH27042,Not Found
UTAH27041,Not Found
UTAH27105,Not Found
UTAH28022,Not Found
UTAH23075,Not Found
UTAH22035,Not Found
UTAH22041,Not Found
UTAH03028,Not Found
UTAH22042,Not Found
UTAH22036,Not Found
UTAH22045,Not Found
UTAH26016,Not Found
UTAH10018,Not Found
UTAH21019,Not Found
UTAH27081,Not Found
UTAH22098,Not Found
UTAH22025,Not Found
UTAH22020,Not Found
UTAH22072,Not Found
UTAH18015,Not Found
UTAH12040,Not Found
UTAH22012,Not Found
UTAH26022,Not Found
UTAH19037,Not Found
UTAH10031,Not Found
UTAH19066,Not Found
UTAH22146,Not Found
UTAH22145,Not Found
UTAH22140,Not Found
UTAH22138,Not Found
UTAH22136,Not Found
UTAH20071,Not Found
UTAH20039,Not Found
UTAH18033,Not Found
UTAH15042,Not Found
UTAH15022,Not Found
UTAH29046,Not Found
UTAH29041,Not Found
UTAH26097,Not Found
UTAH26095,Not Found
UTAH26084,Not Found
UTAH26046,Not Found
UTAH26027,Not Found
UTAH26012,Not Found
UTAH25145,Not Found
UTAH25122,Not Found
UTAH12027,Not Found
UTAH08044,Not Found
UTAH07032,Not Found
UTAH03117,Not Found
UTAH03116,Not Found
UTAH03099,Not Found
UTAH02075,Not Found
UTAH02031,Not Found
UTAH11031,Not Found
UTAH04053,Not Found
UTAH25155,Not Found
UTAH20066,Not Found
UTAH22148,Not Found
