PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
UTAH23084,UTAH YOUTH VILLAGE,"5800 S Highland Dr, Holladay, Utah, 84121",84121,Utah,Region 8,Non-Transient non-community system,90,,Tooele,8,3,3,-111.835008,40.64585,-111.835721,40.64585,-111.836008,-111.834008,40.64485,40.64685
UTAH04025,CLEAR CREEK CAMP - ALPINE SCHOOL DIST,"126 W 2225 N, Lehi, Utah, 84043",84043,Utah,Region 8,Transient non-community system,125,,Carbon,4,36,7,-111.852652,40.415778,-111.852361,40.41595,-111.853652,-111.851652,40.414778,40.416778
UTAH27007,HURRICANE CITY,"1005 W 1500 S, Hurricane, Utah, 84737",84737,Utah,Region 8,Community water system,14268,,Washington,30,141,9,-113.306952,37.152053,-113.306961,37.15186,-113.307952,-113.305952,37.151053,37.153053
UTAH29071,SNOWBASIN RESORT,"463 Old Fort Rd, Farmington, Utah, 84025",84025,Utah,Region 8,Non-Transient non-community system,3125,,Weber,15,343,9,-111.929063,40.9882,-111.929063,40.9882,-111.939063,-111.919063,40.9782,40.9982
UTAH25033,SPRINGDELL PLAT A AND B,"1485 Springdell Cir, Provo, Utah, 84604",84604,Utah,Region 8,Community water system,100,,Utah,6,220,10,-111.623217,40.328283,-111.623151,40.32803,-111.624217,-111.622217,40.327283,40.329283
UTAH25096,VIVIAN PARK HOMEOWNERS,"1485 Springdell Cir, Provo, Utah, 84604",84604,Utah,Region 8,Community water system,365,,Utah,8,156,10,-111.623217,40.328283,-111.623151,40.32803,-111.624217,-111.622217,40.327283,40.329283
UTAH14013,HOLDEN TOWN WATER SYSTEM,"84636, Holden, Utah",84636,Utah,Region 8,Community water system,450,,Millard,11,61,9,-112.270786,39.100246,-112.270786,39.100246,-112.433786,-112.107786,38.937246,39.263246
UTAH07006,JOHNSON WATER DISTRICT,"2041 E 2000 N, Roosevelt, Utah, 84066",84066,Utah,Region 8,Community water system,1700,,Duchesne,18,57,10,-109.962742,40.331229,-109.962741,40.33209,-109.963742,-109.961742,40.330229,40.332229
UTAH24042,JOHNSON WATER DISTRICT - INDEPENDENCE,"2041 E 2000 N, Roosevelt, Utah, 84066",84066,Utah,Region 8,Community water system,138,,Uintah,4,13,5,-109.962742,40.331229,-109.962741,40.33209,-109.963742,-109.961742,40.330229,40.332229
UTAH15024,EAST CANYON STATE PARK,"5535 S Highway 66, Morgan, Utah, 84050",84050,Utah,Region 8,Transient non-community system,100,,Morgan,6,28,7,-111.625951,40.9341,-111.625951,40.9341,-111.635951,-111.615951,40.9241,40.9441
UTAH29092,COLE CANYON WATER COMPANY,"2503 Shaw Dr, Eden, Utah, 84310",84310,Utah,Region 8,Community water system,35,,Weber,6,48,9,-111.901169,41.361636,-111.901169,41.361636,-111.911169,-111.891169,41.351636,41.371636
UTAH25164,MAPLE LAKE ACADEMY,"4095 W 9200 S, Payson, Utah, 84651",84651,Utah,Region 8,Community water system,36,,Utah,6,105,6,-111.752654,40.063444,-111.752531,40.0632,-111.753654,-111.751654,40.062444,40.064444
UTAH28026,HOLLOW MOUNTAIN,"84734, Hanksville, Utah",84734,Utah,Region 8,Transient non-community system,102,,Wayne,4,42,9,-110.711734,38.374265,-110.711734,38.374265,-111.538734,-109.884734,37.547265,39.201265
UTAH27079,HARMONY FARMS WATER USERS,"709 S 3430 E, New Harmony, Utah, 84757",84757,Utah,Region 8,Community water system,314,,Washington,6,224,6,-113.238183,37.469306,-113.237721,37.46915,-113.239183,-113.237183,37.468306,37.470306
UTAH25168,VINEYARD CITY,"408 S Scenic Dr, Alpine, Utah, 84004",84004,Utah,Region 8,Community water system,14492,,Utah,6,8,6,-111.759778,40.447549,-111.760071,40.44766,-111.760778,-111.758778,40.446549,40.448549
UTAH19061,GLEN CANYON NRA - DANGLING ROPE,"86040, Page, Arizona",86040,Utah,Region 8,Community water system,65,,Kane,6,29,8,-111.457816,36.916887,-111.457816,36.916887,-111.917816,-110.997816,36.456887,37.376887
UTAH13053,GLEN CANYON NRA - LONE ROCK CAMPGROUND,"86040, Page, Arizona",86040,Utah,Region 8,Transient non-community system,104,,Kane,7,14,6,-111.457816,36.916887,-111.457816,36.916887,-111.917816,-110.997816,36.456887,37.376887
