PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
VT0020842,HILAND HALL SCHOOL,"05201, Woodford, Vermont",05201,Vermont,Region 1,Non-Transient non-community system,30,BENNINGTON,Bennington,3,18,15,-73.194778,42.878256,-73.194778,42.878256,-73.384778,-73.004778,42.688256,43.068256
VT0000543,COLONIAL HOUSE,"05161, Weston, Vermont",05161,Vermont,Region 1,Transient non-community system,61,WESTON,Windsor,3,2,3,-72.798191,43.294191,-72.798191,43.294191,-72.908191,-72.688191,43.184191,43.404191
VT0008142,GOOSE POINT CAMPGROUND,"05440, Alburgh, Vermont",05440,Vermont,Region 1,Transient non-community system,802,ALBURG,Grand Isle,4,1,5,-73.30195,44.972986,-73.30195,44.972986,-73.43295,-73.17095,44.841986,45.103986
VT0020656,JAY VILLAGE INN 242 TAP GRILLE,"05859, Jay Peak, Vermont",05859,Vermont,Region 1,Transient non-community system,80,JAY,Orleans,3,21,2,-72.447618,44.967479,-72.447618,44.967479,-72.573618,-72.321618,44.841479,45.093479
VT0021098,STAMFORD VALLEY GOLF COURSE,"05352, Readsboro, Vermont",05352,Vermont,Region 1,Transient non-community system,130,STAMFORD,Bennington,2,18,2,-73.070789,42.752509,-73.070789,42.752509,-73.153789,-72.987789,42.669509,42.835509
VT0005163,STOWE WATER DEPT,"05672, Stowe, Vermont",05672,Vermont,Region 1,Community water system,3250,STOWE,Lamoille,40,5,23,-72.647301,44.482146,-72.647301,44.482146,-72.838301,-72.456301,44.291146,44.673146
VT0020691,AMERICAN FLAT BREAD LAREAU FARM INN,"05673, Waitsfield, Vermont",05673,Vermont,Region 1,Transient non-community system,253,WAITSFIELD,Washington,4,14,4,-72.840091,44.185255,-72.840091,44.185255,-72.952091,-72.728091,44.073255,44.297255
VT0005194,CRAFTSBURY FIRE DISTRICT 2,"05827, Craftsbury Common, Vermont",05827,Vermont,Region 1,Community water system,420,CRAFTSBURY,Orleans,9,22,15,-72.379804,44.666234,-72.379804,44.666234,-72.481804,-72.277804,44.564234,44.768234
VT0020651,HAPPY BEAR MOTEL,"05751, Killington, Vermont",05751,Vermont,Region 1,Transient non-community system,48,KILLINGTON,Rutland,4,8,3,-72.783087,43.643342,-72.783087,43.643342,-72.881087,-72.685087,43.545342,43.741342
VT0005018,WEST ROAD MHP,"12037, Chatham, New York",12037,Vermont,Region 1,Community water system,105,BENNINGTON,Bennington,3,25,13,-73.598661,42.359481,-73.598661,42.359481,-73.706661,-73.490661,42.251481,42.467481
VT0005471,GORE ROAD MHP,"12037, Chatham, New York",12037,Vermont,Region 1,Community water system,100,BENNINGTON,Bennington,5,38,12,-73.598661,42.359481,-73.598661,42.359481,-73.706661,-73.490661,42.251481,42.467481
VT0020800,100 MOUNTAIN VIEW ROAD PARK,"12037, Chatham, New York",12037,Vermont,Region 1,Community water system,290,BENNINGTON,Bennington,3,7,6,-73.598661,42.359481,-73.598661,42.359481,-73.706661,-73.490661,42.251481,42.467481
VT0020835,GROTON FOREST ROAD CAMPGROUND,"37843, Parrottsville, Tennessee",37843,Vermont,Region 1,Transient non-community system,50,MARSHFIELD,Washington,4,18,2,-83.091895,36.009237,-83.091895,36.009237,-83.242895,-82.940895,35.858237,36.160237
VT0021183,OHANA CAMP,"05045, Fairlee, Vermont",05045,Vermont,Region 1,Transient non-community system,155,FAIRLEE,Orange,5,1,3,-72.157479,43.907088,-72.157479,43.907088,-72.261479,-72.053479,43.803088,44.011088
VT0006422,ALOHA MIDDLEBROOK CAMPUS,"05045, Fairlee, Vermont",05045,Vermont,Region 1,Transient non-community system,85,WEST FAIRLEE,Orange,8,2,5,-72.157479,43.907088,-72.157479,43.907088,-72.261479,-72.053479,43.803088,44.011088
VT0006402,ALOHA HIVE CAMP,"05045, Fairlee, Vermont",05045,Vermont,Region 1,Transient non-community system,185,WEST FAIRLEE,Orange,6,0,5,-72.157479,43.907088,-72.157479,43.907088,-72.261479,-72.053479,43.803088,44.011088
VT0006401,ALOHA GIRLS CAMP,"05045, Fairlee, Vermont",05045,Vermont,Region 1,Transient non-community system,200,FAIRLEE,Orange,6,1,8,-72.157479,43.907088,-72.157479,43.907088,-72.261479,-72.053479,43.803088,44.011088
VT0020132,LANAKILA HULBERT,"05045, Fairlee, Vermont",05045,Vermont,Region 1,Transient non-community system,220,FAIRLEE,Orange,19,1,7,-72.157479,43.907088,-72.157479,43.907088,-72.261479,-72.053479,43.803088,44.011088
VT0005647,FALL LINE TOWN HOUSES,"05751, Killington, Vermont",05751,Vermont,Region 1,Community water system,116,KILLINGTON,Rutland,7,74,11,-72.783087,43.643342,-72.783087,43.643342,-72.881087,-72.685087,43.545342,43.741342
VT0020860,KINDLE FARM SCHOOL,"05345, Newfane, Vermont",05345,Vermont,Region 1,Non-Transient non-community system,45,NEWFANE,Windham,4,18,8,-72.632312,42.992955,-72.632312,42.992955,-72.754312,-72.510312,42.870955,43.114955
VT0020638,GW PLASTICS INC,"05032, Bethel, Vermont",05032,Vermont,Region 1,Non-Transient non-community system,175,ROYALTON,Windsor,7,34,8,-72.634455,43.829216,-72.634455,43.829216,-72.777455,-72.491455,43.686216,43.972216
VT0000783,QUECHEE INN AT MARSHLAND,"05059, Quechee, Vermont",05059,Vermont,Region 1,Transient non-community system,150,HARTFORD,Windsor,5,12,3,-72.419142,43.648521,-72.419142,43.648521,-72.466142,-72.372142,43.601521,43.695521
VT0005586,BLAKE HILL,"05055, Norwich, Vermont",05055,Vermont,Region 1,Community water system,69,WOODSTOCK,Windsor,7,17,12,-72.313196,43.717651,-72.313196,43.717651,-72.424196,-72.202196,43.606651,43.828651
VT0005374,BIRCHWOOD CONDOMINIUM ASSOCIATION,"05055, Norwich, Vermont",05055,Vermont,Region 1,Community water system,63,HARTFORD,Windsor,5,2,14,-72.313196,43.717651,-72.313196,43.717651,-72.424196,-72.202196,43.606651,43.828651
VT0020552,STERLING SPRING,"05055, Norwich, Vermont",05055,Vermont,Region 1,Community water system,200,HARTFORD,Windsor,4,6,10,-72.313196,43.717651,-72.313196,43.717651,-72.424196,-72.202196,43.606651,43.828651
VT0020767,MOUNT ELLEN BASE LODGESUGARBUSH SKI RES,"05674, Warren, Vermont",05674,Vermont,Region 1,Transient non-community system,537,FAYSTON,Washington,3,1,4,-72.833912,44.067789,-72.833912,44.067789,-72.933912,-72.733912,43.967789,44.167789
VT0020345,SUGARBUSH RESORT ADMIN COMPLEX,"05674, Warren, Vermont",05674,Vermont,Region 1,Non-Transient non-community system,182,WARREN,Washington,4,99,10,-72.833912,44.067789,-72.833912,44.067789,-72.933912,-72.733912,43.967789,44.167789
VT0020063,SUGARBUSH GOLF COURSE/SOLACE B&B,"05674, Warren, Vermont",05674,Vermont,Region 1,Transient non-community system,110,WARREN,Washington,5,4,2,-72.833912,44.067789,-72.833912,44.067789,-72.933912,-72.733912,43.967789,44.167789
VT0005657,CLUB SUGARBUSH WATER SYSTEM,"05674, Warren, Vermont",05674,Vermont,Region 1,Community water system,245,WARREN,Washington,16,43,14,-72.833912,44.067789,-72.833912,44.067789,-72.933912,-72.733912,43.967789,44.167789
VT0005281,MOUNTAIN WATER COMPANY,"05674, Warren, Vermont",05674,Vermont,Region 1,Community water system,2400,WARREN,Washington,33,33,22,-72.833912,44.067789,-72.833912,44.067789,-72.933912,-72.733912,43.967789,44.167789
VT0001170,GLEN HOUSE,"05674, Warren, Vermont",05674,Vermont,Region 1,Transient non-community system,135,FAYSTON,Washington,7,5,5,-72.833912,44.067789,-72.833912,44.067789,-72.933912,-72.733912,43.967789,44.167789
VT0001479,SUGARTREE INN,"05674, Warren, Vermont",05674,Vermont,Region 1,Transient non-community system,52,WARREN,Washington,6,12,7,-72.833912,44.067789,-72.833912,44.067789,-72.933912,-72.733912,43.967789,44.167789
VT0000153,OLYMPIA MOTOR LODGE,"05255, Manchester Center, Vermont",05255,Vermont,Region 1,Transient non-community system,91,MANCHESTER,Bennington,3,15,3,-73.052996,43.172655,-73.052996,43.172655,-73.126996,-72.978996,43.098655,43.246655
VT0001756,WEST DOVER INN GREGORYS RESTAURANT,"05356, Mount Snow, Vermont",05356,Vermont,Region 1,Transient non-community system,99,DOVER,Windham,2,13,1,-72.882722,42.954161,-72.882722,42.954161,-73.008722,-72.756722,42.828161,43.080161
VT0021336,DOCTORS PARK REALTY,"05672, Stowe, Vermont",05672,Vermont,Region 1,Transient non-community system,80,STOWE,Lamoille,3,1,2,-72.647301,44.482146,-72.647301,44.482146,-72.838301,-72.456301,44.291146,44.673146
VT0005237,GRANDVIEW ACRES WATER COOP,"05701, South Chittenden, Vermont",05701,Vermont,Region 1,Community water system,102,RUTLAND TOWN,Rutland,6,43,15,-72.979202,43.60923,-72.979202,43.60923,-73.185202,-72.773202,43.40323,43.81523
VT0020908,ADDISON COUNTY HOME HEALTH AND HOSPICE,"05753, Middlebury, Vermont",05753,Vermont,Region 1,Non-Transient non-community system,115,NEW HAVEN,Addison,6,175,6,-73.166265,44.012755,-73.166265,44.012755,-73.286265,-73.046265,43.892755,44.132755
VT0004637,ADDISON COUNTY HOME HEALTH NEIGHBORS,"05753, Middlebury, Vermont",05753,Vermont,Region 1,Transient non-community system,40,NEW HAVEN,Addison,4,12,2,-73.166265,44.012755,-73.166265,44.012755,-73.286265,-73.046265,43.892755,44.132755
