PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
VA5019370,STALLION RUN ESTATES,"1077 Trough Run Rd, Moneta, Virginia, 24121",24121,Virginia,Region 3,Community water system,35,,Bedford,5,8,20,-79.632083,37.190131,-79.632083,37.190131,-79.642083,-79.622083,37.180131,37.200131
VA6177005,LAKE COUNTRY MARINE GROUP - UPPER,"13721 Anna Point Ln, Mineral, Virginia, 23117",23117,Virginia,Region 3,Transient non-community system,50,,Spotsylvania,5,5,8,-77.809768,38.089407,-77.809881,38.08969,-77.810768,-77.808768,38.088407,38.090407
VA6177380,LAKE COUNTRY MARINE GROUP - LOWER,"13721 Anna Point Ln, Mineral, Virginia, 23117",23117,Virginia,Region 3,Transient non-community system,25,,Spotsylvania,4,1,3,-77.809768,38.089407,-77.809881,38.08969,-77.810768,-77.808768,38.088407,38.090407
VA6107240,"BEAUTIFUL SOUTH, THE","20159, Hamilton, Virginia",20159,Virginia,Region 3,Transient non-community system,25,,Loudoun,5,59,10,-77.666732,39.13528,-77.666732,39.13528,-77.671732,-77.661732,39.13028,39.14028
VA3001065,BOJANGLE`S (ONLEY),"23310, Cape Charles, Virginia",23310,Virginia,Region 3,Non-Transient non-community system,38,,Accomack,5,2,5,-76.015324,37.268476,-76.015324,37.268476,-76.251324,-75.779324,37.032476,37.504476
VA4119412,FISHING BAY TRACE,"519 Deagles Rd, Deltaville, Virginia, 23043",23043,Virginia,Region 3,Transient non-community system,25,,Middlesex,4,8,7,-76.342614,37.541278,-76.342561,37.54138,-76.343614,-76.341614,37.540278,37.542278
VA2079600,"GDS HOLDINGS, LLC","623 Welsh Run Rd, Ruckersville, Virginia, 22968",22968,Virginia,Region 3,Non-Transient non-community system,338,,Greene,7,25,25,-78.437077,38.217383,-78.437101,38.21727,-78.438077,-78.436077,38.216383,38.218383
VA5037100,CARDINAL HOMES INC,"525 Barnesville Hwy, Wylliesburg, Virginia, 23976",23976,Virginia,Region 3,Non-Transient non-community system,50,,Charlotte,5,21,22,-78.588805,36.860507,-78.588805,36.860507,-78.598805,-78.578805,36.850507,36.870507
VA2069795,VDOT - WINCHESTER COMPLEX,"22603, Winchester, Virginia",22603,Virginia,Region 3,Transient non-community system,42,,Frederick,4,10,18,-78.17108,39.206851,-78.17108,39.206851,-78.36608,-77.97608,39.011851,39.401851
VA4057710,TAPPAHANNOCK JR. ACADEMY,"22560, Tappahannock, Virginia",22560,Virginia,Region 3,Non-Transient non-community system,80,,Essex,4,10,10,-76.860025,37.927138,-76.860025,37.927138,-77.110025,-76.610025,37.677138,38.177138
VA5089095,BLUE RIDGE AIRPORT,"525 Airport Rd, Martinsville, Virginia, 24112",24112,Virginia,Region 3,Transient non-community system,30,,Henry,4,1,13,-80.014974,36.631549,-80.015431,36.63127,-80.015974,-80.013974,36.630549,36.632549
VA4085133,CAMP HANOVER,"3163 Parsleys Mill Rd, Mechanicsville, Virginia, 23111",23111,Virginia,Region 3,Transient non-community system,212,,Hanover,8,17,14,-77.209746,37.599713,-77.209746,37.599713,-77.219746,-77.199746,37.589713,37.609713
VA6113136,GRAVES MOUNTAIN LODGE,"22743, Syria, Virginia",22743,Virginia,Region 3,Transient non-community system,370,,Madison,12,24,12,-78.313657,38.492298,-78.313657,38.492298,-78.449657,-78.177657,38.356298,38.628298
VA6113114,POPLAR MOTEL AT GRAVES MOUNTAIN LODGE,"22743, Syria, Virginia",22743,Virginia,Region 3,Transient non-community system,25,,Madison,5,4,6,-78.313657,38.492298,-78.313657,38.492298,-78.449657,-78.177657,38.356298,38.628298
VA6059641,POHICK BAY - COMFORT STATION #3,"6501 Pohick Bay Dr, Lorton, Virginia, 22079",22079,Virginia,Region 3,Transient non-community system,50,,Fairfax,6,9,8,-77.172266,38.672896,-77.171001,38.67078,-77.173266,-77.171266,38.671896,38.673896
VA6059635,POHICK BAY - POOL,"6501 Pohick Bay Dr, Lorton, Virginia, 22079",22079,Virginia,Region 3,Transient non-community system,200,,Fairfax,5,5,8,-77.172266,38.672896,-77.171001,38.67078,-77.173266,-77.171266,38.671896,38.673896
VA6059642,POHICK BAY - COMFORT STATION #2,"6501 Pohick Bay Dr, Lorton, Virginia, 22079",22079,Virginia,Region 3,Transient non-community system,50,,Fairfax,4,11,9,-77.172266,38.672896,-77.171001,38.67078,-77.173266,-77.171266,38.671896,38.673896
VA6059643,POHICK BAY - COMFORT STATION #1,"6501 Pohick Bay Dr, Lorton, Virginia, 22079",22079,Virginia,Region 3,Transient non-community system,100,,Fairfax,5,6,8,-77.172266,38.672896,-77.171001,38.67078,-77.173266,-77.171266,38.671896,38.673896
VA2163266,CAMP ROSS,"340 Millard Burke Memorial Hwy, Goshen, Virginia, 24439",24439,Virginia,Region 3,Transient non-community system,30,,Rockbridge,5,1,9,-79.469708,37.967335,-79.469708,37.967335,-79.479708,-79.459708,37.957335,37.977335
VA2163261,CAMP OLMSTED,"340 Millard Burke Memorial Hwy, Goshen, Virginia, 24439",24439,Virginia,Region 3,Transient non-community system,50,,Rockbridge,5,1,9,-79.469708,37.967335,-79.469708,37.967335,-79.479708,-79.459708,37.957335,37.977335
VA2163262,CAMP BOWMAN,"340 Millard Burke Memorial Hwy, Goshen, Virginia, 24439",24439,Virginia,Region 3,Transient non-community system,30,,Rockbridge,7,2,11,-79.469708,37.967335,-79.469708,37.967335,-79.479708,-79.459708,37.957335,37.977335
VA2163263,CAMP PMI,"340 Millard Burke Memorial Hwy, Goshen, Virginia, 24439",24439,Virginia,Region 3,Transient non-community system,40,,Rockbridge,5,1,9,-79.469708,37.967335,-79.469708,37.967335,-79.479708,-79.459708,37.957335,37.977335
VA2163264,CAMP MARRIOTT,"340 Millard Burke Memorial Hwy, Goshen, Virginia, 24439",24439,Virginia,Region 3,Transient non-community system,40,,Rockbridge,5,1,9,-79.469708,37.967335,-79.469708,37.967335,-79.479708,-79.459708,37.957335,37.977335
VA2015550,SHENANDOAH ACRES,"348 Lake Rd, Stuarts Draft, Virginia, 24477",24477,Virginia,Region 3,Community water system,227,,Augusta,5,12,15,-79.027697,37.996708,-79.026991,37.99666,-79.028697,-79.026697,37.995708,37.997708
VA5019035,VIRGINIA DARE CRUISES AND MARINA,"3619 Airport Rd, Moneta, Virginia, 24121",24121,Virginia,Region 3,Transient non-community system,150,,Bedford,4,8,7,-79.611774,37.101391,-79.612381,37.10154,-79.612774,-79.610774,37.100391,37.102391
VA2069378,REDLAND UNITED METHODIST CHURCH,"6540 N Frederick Pike, Cross Junction, Virginia, 22625",22625,Virginia,Region 3,Non-Transient non-community system,80,,Frederick,6,17,23,-78.289952,39.313806,-78.288781,39.31418,-78.290952,-78.288952,39.312806,39.314806
VA5089615,DON TRINIS ICE CREAM AND TAQUERIA,"127 Lowrider Dr, Stokesdale, North Carolina, 27357",27357,Virginia,Region 3,Transient non-community system,50,,Henry,4,11,9,-79.93953,36.299842,-79.939121,36.3001,-79.94053,-79.93853,36.298842,36.300842
VA2163265,CAMP BAIRD,"340 Millard Burke Memorial Hwy, Goshen, Virginia, 24439",24439,Virginia,Region 3,Transient non-community system,30,,Rockbridge,5,1,9,-79.469708,37.967335,-79.469708,37.967335,-79.479708,-79.459708,37.957335,37.977335
VA5083965,VOLENS MEDICAL CENTER,"15210 L P Bailey Memorial Hwy, Nathalie, Virginia, 24577",24577,Virginia,Region 3,Transient non-community system,50,,Halifax,5,7,11,-78.992459,36.95428,-78.991911,36.95397,-78.993459,-78.991459,36.95328,36.95528
VA2015481,NORTH RIVER ELEM SCHOOL,"24482, Verona, Virginia",24482,Virginia,Region 3,Non-Transient non-community system,370,,Augusta,6,2,15,-79.011505,38.205098,-79.011505,38.205098,-79.093505,-78.929505,38.123098,38.287098
VA5083810,VIRGINIA INTERNATIONAL RACEWAY,"2529 Houghton Ave, South Boston, Virginia, 24592",24592,Virginia,Region 3,Community water system,466,,Halifax,14,25,11,-78.891701,36.716163,-78.891701,36.716163,-78.901701,-78.881701,36.706163,36.726163
VA5780600,HCSA- LEIGH STREET PLANT,"2529 Houghton Ave, South Boston, Virginia, 24592",24592,Virginia,Region 3,Community water system,9364,,Halifax,13,76,30,-78.891701,36.716163,-78.891701,36.716163,-78.901701,-78.881701,36.706163,36.726163
VA2015150,"CRAIGSVILLE, TOWN OF","24430, Craigsville, Virginia",24430,Virginia,Region 3,Community water system,2340,,Augusta,14,3,25,-79.387516,38.079055,-79.387516,38.079055,-79.521516,-79.253516,37.945055,38.213055
VA3001588,OCCOHANNOCK ON THE BAY,"9403 Camp Ln, Belle Haven, Virginia, 23306",23306,Virginia,Region 3,Transient non-community system,100,,Accomack,8,3,7,-75.919923,37.559439,-75.919923,37.559439,-75.929923,-75.909923,37.549439,37.569439
VA3095861,WESTPORT,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,265,,James City,9,0,2,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095600,LIBERTY RIDGE,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,68,,James City,24,0,6,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095760,RETREAT (JCSA),"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,119,,James City,7,0,14,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095858,WARE CREEK MANOR - JCSA,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,161,,James City,7,1,15,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095862,WEXFORD HILLS - JCSA,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,341,,James City,7,0,16,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095317,GLENWOOD ACRES-JCSA,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,82,,James City,6,4,18,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095528,KINGS VILLAGE - JCSA,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,124,,James City,7,1,18,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095750,RACEFIELD - JCSA,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,89,,James City,8,2,19,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA3095490,JCSA - CENTRAL SYSTEM,"23188, Williamsburg, Virginia",23188,Virginia,Region 3,Community water system,51137,,James City,148,8,21,-76.743702,37.27833,-76.743702,37.27833,-76.924702,-76.562702,37.09733,37.45933
VA5011454,"PARADISE LAKE, SECTION 1","1105 West Lake Rd, Spout Spring, Virginia, 24593",24593,Virginia,Region 3,Transient non-community system,50,,Appomattox,5,14,11,-78.937305,37.336117,-78.937121,37.33596,-78.938305,-78.936305,37.335117,37.337117
VA5011455,"PARADISE LAKE, SECTION 2","1105 West Lake Rd, Spout Spring, Virginia, 24593",24593,Virginia,Region 3,Transient non-community system,27,,Appomattox,5,6,7,-78.937305,37.336117,-78.937121,37.33596,-78.938305,-78.936305,37.335117,37.337117
VA1191311,HIDDEN VALLEY,"25122 Regal Dr, Abingdon, Virginia, 24211",24211,Virginia,Region 3,Community water system,25,,Washington,3,3,4,-81.925897,36.708756,-81.925221,36.70803,-81.926897,-81.924897,36.707756,36.709756
VA1191295,HAYTER`S GAP,"25122 Regal Dr, Abingdon, Virginia, 24211",24211,Virginia,Region 3,Community water system,254,,Washington,4,0,17,-81.925897,36.708756,-81.925221,36.70803,-81.926897,-81.924897,36.707756,36.709756
VA1191883,WASHINGTON COUNTY SERVICE AUTHORITY,"25122 Regal Dr, Abingdon, Virginia, 24211",24211,Virginia,Region 3,Community water system,47574,,Washington,98,18,62,-81.925897,36.708756,-81.925221,36.70803,-81.926897,-81.924897,36.707756,36.709756
VA1191310,MENDOTA,"25122 Regal Dr, Abingdon, Virginia, 24211",24211,Virginia,Region 3,Community water system,142,,Washington,7,0,19,-81.925897,36.708756,-81.925221,36.70803,-81.926897,-81.924897,36.707756,36.709756
VA1197880,WYTHE COUNTY WEST,"340 S 6th St, Wytheville, Virginia, 24382",24382,Virginia,Region 3,Community water system,1001,,Wythe,14,2,6,-81.083937,36.945951,-81.083937,36.945951,-81.093937,-81.073937,36.935951,36.955951
VA1197345,WYTHE COUNTY EAST,"340 S 6th St, Wytheville, Virginia, 24382",24382,Virginia,Region 3,Community water system,5065,,Wythe,61,18,30,-81.083937,36.945951,-81.083937,36.945951,-81.093937,-81.073937,36.935951,36.955951
VA2015300,MEADOW RUE MOBILE HOME PARK,"43 Thorofare Rd, Crimora, Virginia, 24431",24431,Virginia,Region 3,Community water system,140,,Augusta,7,14,17,-78.84591,38.173683,-78.846291,38.17295,-78.84691,-78.84491,38.172683,38.174683
VA6047431,RANDLE RIDGE,"22701, Culpeper, Virginia",22701,Virginia,Region 3,Community water system,57,,Culpeper,5,38,15,-77.998511,38.47366,-77.998511,38.47366,-78.184511,-77.812511,38.28766,38.65966
VA6107043,GRANDALE FARM,"14001 Harpers Ferry Rd, Purcellville, Virginia, 20132",20132,Virginia,Region 3,Transient non-community system,30,,Loudoun,4,10,7,-77.736892,39.229363,-77.739381,39.23114,-77.737892,-77.735892,39.228363,39.230363
VA3093260,GATLING POINTE,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,1470,,Isle of Wight,11,6,10,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093580,SMITHFIELD HEIGHTS/SANDY MOUNT MANOR,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,475,,Isle of Wight,17,36,13,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093480,RUSHMERE SHORES,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,168,,Isle of Wight,6,7,14,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093470,RUSHMERE (BURWELL BAY),"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,223,,Isle of Wight,8,38,21,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093650,THOMAS PARK COMMUNITY,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,93,,Isle of Wight,6,8,15,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093665,TORMENTOR CREEK ESTATES,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,60,,Isle of Wight,5,5,12,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093950,ZUNI,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,85,,Isle of Wight,6,9,14,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093111,BETHEL HEIGHTS,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,58,,Isle of Wight,6,16,13,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093120,NORTHERN DEVELOPMENT SERVICE DIST.,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,7050,,Isle of Wight,12,10,11,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093170,CARRSVILLE,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,313,,Isle of Wight,11,32,15,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
VA3093200,DAYS POINT,"23397, Isle Of Wight, Virginia",23397,Virginia,Region 3,Community water system,225,,Isle of Wight,5,6,13,-76.708222,36.907011,-76.708222,36.907011,-76.713222,-76.703222,36.902011,36.912011
