PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
WV3302331,LOGAN WATER BOARD CITY OF,"25601, Rossmore, West Virginia",25601,West Virginia,Region 3,Community water system,3862,LOGAN,Logan,16,105,66,-81.993331,37.851782,-81.993331,37.851782,-82.077331,-81.909331,37.767782,37.935782
WV9942072,ELK SPRINGS RESORT,"41129, Catlettsburg, Kentucky",41129,West Virginia,Region 3,Transient non-community system,25,MONTERVILLE,Randolph,5,52,7,-82.600282,38.412111,-82.600282,38.412111,-82.819282,-82.381282,38.193111,38.631111
WV3303301,BERKELEY SPRINGS CITY OF,"25411, Unger, West Virginia",25411,West Virginia,Region 3,Community water system,3526,BERKELEY SPRINGS,Morgan,14,38,42,-78.223807,39.625008,-78.223807,39.625008,-78.457807,-77.989807,39.391008,39.859008
WV3303901,ALBRIGHT TOWN OF,"26519, Albright, West Virginia",26519,West Virginia,Region 3,Community water system,333,ALBRIGHT,Preston,10,69,7,-79.638056,39.492959,-79.638056,39.492959,-79.766056,-79.510056,39.364959,39.620959
WV3302704,HARTFORD TOWN OF,"25247, Hartford City, West Virginia",25247,West Virginia,Region 3,Community water system,720,HARTFORD CITY (CORPORATE NAME,Mason,6,116,46,-81.994102,38.993651,-81.994102,38.993651,-82.006102,-81.982102,38.981651,39.005651
WV9939036,AURORA ELEMENTARY AND JR HIGH,"26705, Amboy, West Virginia",26705,West Virginia,Region 3,Non-Transient non-community system,192,AURORA,Preston,4,14,21,-79.553281,39.324665,-79.553281,39.324665,-79.692281,-79.414281,39.185665,39.463665
WV3303111,MORGANTOWN UTILITY BOARD,"26505, Everettville, West Virginia",26505,West Virginia,Region 3,Community water system,60065,MORGANTOWN,Monongalia,62,6,49,-79.953412,39.635872,-79.953412,39.635872,-80.007412,-79.899412,39.581872,39.689872
WV3304203,ELKINS CITY OF,"26241, Elkins, West Virginia",26241,West Virginia,Region 3,Community water system,8456,ELKINS,Randolph,11,10,54,-79.848514,38.923158,-79.848514,38.923158,-79.997514,-79.699514,38.774158,39.072158
WV9952022,COMMUNITY HEALTH CENTER,"26521, Blacksville, West Virginia",26521,West Virginia,Region 3,Transient non-community system,25,BURTON,Wetzel,3,13,13,-80.229808,39.717683,-80.229808,39.717683,-80.262808,-80.196808,39.684683,39.750683
WV9951016,HACKER VALLEY ELEMENTARY,"26288, Webster Spgs, West Virginia",26288,West Virginia,Region 3,Non-Transient non-community system,74,HACKER VALLEY,Webster,3,28,23,-80.409502,38.477115,-80.409502,38.477115,-80.635502,-80.183502,38.251115,38.703115
WV9919099,SUMMIT POINT - MAIN OFFICE,"25446, Summit Point, West Virginia",25446,West Virginia,Region 3,Transient non-community system,50,SUMMIT POINT,Jefferson,3,0,1,-77.956214,39.24743,-77.956214,39.24743,-78.015214,-77.897214,39.18843,39.30643
WV9919038,SUMMIT POINT RACEWAY,"25446, Summit Point, West Virginia",25446,West Virginia,Region 3,Transient non-community system,200,SUMMIT POINT,Jefferson,3,38,6,-77.956214,39.24743,-77.956214,39.24743,-78.015214,-77.897214,39.18843,39.30643
WV9939108,ALYESKA INC,"26525, Bruceton Mills, West Virginia",26525,West Virginia,Region 3,Transient non-community system,50,BRUCETON MILLS,Preston,3,6,9,-79.617979,39.668518,-79.617979,39.668518,-79.793979,-79.441979,39.492518,39.844518
WV9939107,ALYESKA INC,"26525, Bruceton Mills, West Virginia",26525,West Virginia,Region 3,Transient non-community system,50,BRUCETON MILLS,Preston,3,6,9,-79.617979,39.668518,-79.617979,39.668518,-79.793979,-79.441979,39.492518,39.844518
