PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
WI7210138,CAMP 5 FARM,"54541, Laona, Wisconsin",54541,Wisconsin,Region 5,Transient non-community system,200,LAONA,Forest,2,4,11,-88.670571,45.56179,-88.670571,45.56179,-88.915571,-88.425571,45.31679,45.80679
WI2680984,SOCIAL HAUS,"53051, Menomonee Falls, Wisconsin",53051,Wisconsin,Region 5,Transient non-community system,30,MENOMONEE FALLS,Waukesha,2,1,14,-88.080201,43.168051,-88.080201,43.168051,-88.190201,-87.970201,43.058051,43.278051
WI2681726,AMERICAN LEGION POST 196,"1106 Bahr Rd, Delafield, Wisconsin, 53018",53018,Wisconsin,Region 5,Transient non-community system,35,DELAFIELD,Waukesha,3,3,9,-88.395492,43.051662,-88.395491,43.05149,-88.396492,-88.394492,43.050662,43.052662
WI2300246,PARIS SCHOOL,"1901 176th Ave, Paris, Town of, Wisconsin, 53144",53144,Wisconsin,Region 5,Non-Transient non-community system,300,KENOSHA,Kenosha,3,2,6,-88.022255,42.62548,-88.022011,42.62549,-88.023255,-88.021255,42.62448,42.62648
WI7440013,COUNTRY SQUARE LODGE AND CABINS,"889 US-45, Schoepke, Town of, Wisconsin, 54463",54463,Wisconsin,Region 5,Transient non-community system,25,PELICAN LAKE,Oneida,2,9,8,-89.160211,45.508492,-89.160691,45.50851,-89.161211,-89.159211,45.507492,45.509492
WI6180717,EAU CLAIRE COOP OIL CO,"4970 Kane Rd, Union, Town of, Wisconsin, 54703",54703,Wisconsin,Region 5,Non-Transient non-community system,80,EAU CLAIRE,Eau Claire,3,24,2,-91.569273,44.847578,-91.567421,44.84757,-91.570273,-91.568273,44.846578,44.848578
WI6180344,FOX RUN TAVERN,"3020 London Rd, Washington, Town of, Wisconsin, 54701",54701,Wisconsin,Region 5,Transient non-community system,25,EAU CLAIRE,Eau Claire,2,1,10,-91.4632,44.787809,-91.463991,44.78781,-91.4642,-91.4622,44.786809,44.788809
WI8610186,CINDYS BAR & GRILL,"338 N Franklin St, Stetsonville, Village of, Wisconsin, 54480",54480,Wisconsin,Region 5,Transient non-community system,50,MEDFORD,Taylor,2,15,13,-90.317992,45.080289,-90.317661,45.08029,-90.318992,-90.316992,45.079289,45.081289
WI4390623,LAKE OF THE WOODS CMPGD POOL BLDG,"1285 High St, Auburn, California, 95603",95603,Wisconsin,Region 5,Transient non-community system,64,WAUTOMA,Marquette,2,2,10,-121.075683,38.893327,-121.075641,38.8933,-121.076683,-121.074683,38.892327,38.894327
WI4390527,LAKE OF THE WOODS CMPGD MAIN COMPLEX,"1285 High St, Auburn, California, 95603",95603,Wisconsin,Region 5,Transient non-community system,64,WAUTOMA,Marquette,3,2,12,-121.075683,38.893327,-121.075641,38.8933,-121.076683,-121.074683,38.892327,38.894327
