PWSID,PWS Name,Approximate Address,Postal,Primacy Agency,EPA Region,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits,Latitude,Longitude,DisplayX,DisplayY,Xmin,Xmax,Ymin,Ymax
WY5601424,BLACKWATER CREEK RANCH,"26451 River Run Trl, Zuni, Virginia, 23898",23898,Wyoming,Region 8,Transient non-community system,40,CODY,Park,5,25,5,-76.846244,36.778824,-76.845671,36.77932,-76.847244,-76.845244,36.777824,36.779824
WY5600979,MEDICINE LODGE ST HIST SITE,"82428, Hyattville, Wyoming",82428,Wyoming,Region 8,Transient non-community system,115,HYATTVILLE,Big Horn,6,5,7,-107.602342,44.245951,-107.602342,44.245951,-107.607342,-107.597342,44.240951,44.250951
WY5600054,"SINCLAIR, TOWN OF","82334, Sinclair, Wyoming",82334,Wyoming,Region 8,Community water system,433,SINCLAIR,Carbon,7,20,15,-107.119792,41.78339,-107.119792,41.78339,-107.409792,-106.829792,41.49339,42.07339
WY5600041,PINEDALE MUNICIPAL WS,"82941, Pinedale, Wyoming",82941,Wyoming,Region 8,Community water system,2030,PINEDALE,Sublette,11,58,21,-109.861101,42.866745,-109.861101,42.866745,-110.373101,-109.349101,42.354745,43.378745
WY5600011,CHEYENNE BOARD OF PUBLIC UTILITIES,"82009, Cheyenne, Wyoming",82009,Wyoming,Region 8,Community water system,58182,CHEYENNE,Laramie,59,9,11,-104.825781,41.171405,-104.825781,41.171405,-105.366781,-104.284781,40.630405,41.712405
WY5600370,DEVIL'S TOWER KOA-CAMPSTOOL CG,"82714, Devils Tower, Wyoming",82714,Wyoming,Region 8,Transient non-community system,250,DEVILS TOWER,Crook,6,19,8,-104.68268,44.529594,-104.68268,44.529594,-104.83968,-104.52568,44.372594,44.686594
WY5601487,MHVC SIXTH CROSSING RANCH RV PARK,"2627 E 7th St, Casper, Wyoming, 82609",82609,Wyoming,Region 8,Transient non-community system,200,,Fremont,19,5,5,-106.292551,42.843276,-106.292551,42.843276,-106.302551,-106.282551,42.833276,42.853276
WY5601444,MHVC CHERRY CREEK CG,"84150, Salt Lake Cty, Utah",84150,Wyoming,Region 8,Transient non-community system,25,ALCOVA,Natrona,6,4,4,-111.891216,40.771681,-111.891216,40.771681,-111.894216,-111.888216,40.768681,40.774681
WY5601445,MHVC JACKSON CG,"2627 E 7th St, Casper, Wyoming, 82609",82609,Wyoming,Region 8,Transient non-community system,25,ALCOVA,Natrona,6,1,5,-106.292551,42.843276,-106.292551,42.843276,-106.302551,-106.282551,42.833276,42.853276
WY5601446,MHVC 66 RANCH,"2627 E 7th St, Casper, Wyoming, 82609",82609,Wyoming,Region 8,Transient non-community system,96,ALCOVA,Natrona,15,2,6,-106.292551,42.843276,-106.292551,42.843276,-106.302551,-106.282551,42.833276,42.853276
WY5601431,MHVC VISITORS CENTER,"2627 E 7th St, Casper, Wyoming, 82609",82609,Wyoming,Region 8,Transient non-community system,612,ALCOVA,Natrona,12,4,5,-106.292551,42.843276,-106.292551,42.843276,-106.302551,-106.282551,42.833276,42.853276
WY5601438,ROCK CREEK HOLLOW LDS CHURCH CG,"2627 E 7th St, Casper, Wyoming, 82609",82609,Wyoming,Region 8,Transient non-community system,100,LANDER,Fremont,8,8,5,-106.292551,42.843276,-106.292551,42.843276,-106.302551,-106.282551,42.833276,42.853276
WY5601559,MHVC SAGE CG,"2627 E 7th St, Casper, Wyoming, 82609",82609,Wyoming,Region 8,Transient non-community system,120,AFTON,Fremont,3,1,4,-106.292551,42.843276,-106.292551,42.843276,-106.302551,-106.282551,42.833276,42.853276
WY5601462,BURLINGTON RESOURCES,"82642, Lost Cabin, Wyoming",82642,Wyoming,Region 8,Non-Transient non-community system,66,LYSITE,Fremont,11,13,4,-107.609532,43.326941,-107.609532,43.326941,-107.854532,-107.364532,43.081941,43.571941
WY5601561,ALTA SCHOOL,"83001, Hoback Jct, Wyoming",83001,Wyoming,Region 8,Non-Transient non-community system,60,,Teton,6,2,3,-110.762257,43.477326,-110.762257,43.477326,-111.473257,-110.051257,42.766326,44.188326
WY5600904,KELLY SCHOOL (TCSD #1),"83001, Hoback Jct, Wyoming",83001,Wyoming,Region 8,Non-Transient non-community system,100,KELLY,Teton,7,105,7,-110.762257,43.477326,-110.762257,43.477326,-111.473257,-110.051257,42.766326,44.188326
