State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Alabama,JEFFERSON,Jefferson County Sheriff's Office,AL0010000,4704,1098,3606,6350,1452,4898,161,20,141,3,0,3,78,8,70,77,18,59,8294,728,7566,1638,109,1529,8313,564,7749,436,74,362,18245,1401,16844,33.553444,-86.896536
Alabama,JEFFERSON,Bessemer Police Department,AL0010100,3177,74,3103,4020,126,3894,75,8,67,0,0,0,16,2,14,69,11,58,2589,36,2553,1371,32,1339,9808,298,9510,123,5,118,13768,366,13402,33.396152,-86.95345
Alabama,"JEFFERSON, SHELBY",Birmingham Police Department,AL0010200,17742,2882,14860,25074,4227,20847,900,43,857,0,0,0,106,15,91,774,201,573,14718,1035,13683,11244,1561,9683,45778,2474,43304,877,121,756,71740,5070,66670,33.553444,-86.896536
Alabama,JEFFERSON,Mountain Brook Police Department,AL0010300,67,26,41,116,41,75,4,1,3,0,0,0,4,1,3,2,1,1,279,34,245,96,20,76,1527,262,1265,8,1,7,1902,316,1586,33.50124,-86.75607
Alabama,JEFFERSON,Fairfield Police Department,AL0010400,456,70,386,774,119,655,13,3,10,0,0,0,0,0,0,34,11,23,789,37,752,309,25,284,1623,148,1475,24,3,21,2721,210,2511,33.553444,-86.896536
Alabama,JEFFERSON,Gardendale Police Department,AL0010500,560,212,348,637,238,399,6,0,6,0,0,0,6,2,4,4,2,2,276,46,230,174,46,128,2600,712,1888,30,12,18,3050,804,2246,33.553444,-86.896536
Alabama,"JEFFERSON, SHELBY, ST CLAIR",Leeds Police Department,AL0010600,327,53,274,439,88,351,9,3,6,0,0,0,12,4,8,5,1,4,341,67,274,168,27,141,1932,291,1641,41,15,26,2441,385,2056,33.553444,-86.896536
Alabama,JEFFERSON,Midfield Police Department,AL0010700,262,24,238,422,38,384,5,1,4,0,0,0,4,2,2,16,5,11,495,20,475,136,6,130,847,56,791,19,4,15,1478,82,1396,33.553444,-86.896536
Alabama,JEFFERSON,Tarrant Police Department,AL0010800,968,334,634,1226,418,808,19,0,19,0,0,0,13,4,9,16,6,10,826,143,683,355,77,278,2200,599,1601,48,16,32,3381,819,2562,33.585728,-86.775024
Alabama,"JEFFERSON, SHELBY",Vestavia Hills Police Department,AL0010900,261,103,158,356,132,224,5,1,4,0,0,0,16,3,13,7,3,4,613,208,405,320,98,222,2999,995,2004,43,9,34,3932,1301,2631,33.553444,-86.896536
