State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Alaska,ANCHORAGE,Anchorage Police Department,AK0010100,25728,9615,16113,36331,11737,24594,774,177,597,0,0,0,0,0,0,332,146,186,14018,1726,12292,15111,2192,12919,70175,8473,61702,4368,499,3869,99304,12391,86913,61.17425,-149.284329
Alaska,FAIRBANKS NORTH STAR,Fairbanks Police Department,AK0010200,1875,636,1239,2623,810,1813,112,16,96,0,0,0,59,1,58,74,32,42,1368,174,1194,1569,261,1308,9894,1686,8208,251,27,224,12831,2121,10710,64.83945,-147.71942
Alaska,JUNEAU,Juneau Police Department,AK0010300,2247,974,1273,3274,1358,1916,72,15,57,3,0,3,12,0,12,25,13,12,1942,449,1493,701,160,541,8432,1628,6804,600,219,381,11075,2237,8838,58.356556,-134.50731
Alaska,KETCHIKAN GATEWAY,Ketchikan Police Department,AK0010400,264,117,147,372,133,239,7,3,4,0,0,0,13,1,12,8,4,4,237,59,178,125,23,102,2322,440,1882,84,7,77,2684,522,2162,55.449938,-131.106685
Alaska,KODIAK ISLAND,Kodiak Police Department,AK0010500,440,163,277,552,184,368,7,1,6,0,0,0,15,1,14,2,1,1,251,20,231,176,34,142,1058,82,976,72,6,66,1485,136,1349,57.8049,-152.37332
Alaska,NOME,Nome Police Department,AK0010600,653,296,357,1030,369,661,2,0,2,0,0,0,77,6,71,3,1,2,90,31,59,74,23,51,317,90,227,356,63,293,481,144,337,64.783686,-164.188912
Alaska,PETERSBURG,Petersburg Police Department,AK0010700,93,40,53,111,45,66,4,1,3,0,0,0,7,2,5,0,0,0,117,21,96,34,9,25,546,66,480,16,5,11,697,96,601,55.415683,-132.875734
Alaska,KENAI PENINSULA,Seward Police Department,AK0010800,117,39,78,140,42,98,5,0,5,0,0,0,5,0,5,0,0,0,85,11,74,54,12,42,457,72,385,19,2,17,596,95,501,60.366668,-152.322283
Alaska,SITKA,Sitka Police Department,AK0010900,164,80,84,207,96,111,6,2,4,0,0,0,3,1,2,2,1,1,107,27,80,78,24,54,1132,211,921,21,8,13,1317,262,1055,57.052124,-135.33418
Alaska,SKAGWAY,Skagway Police Department,AK0011000,6,1,5,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,1,3,59,0,59,1,0,1,70,1,69,59.575097,-135.335418
