State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Arizona,APACHE,Apache County Sheriff's Office,AZ0010000,323,144,179,351,151,200,180,83,97,0,0,0,0,0,0,1,0,1,571,125,446,50,13,37,505,141,364,17,4,13,1126,279,847,35.385084,-109.490172
Arizona,APACHE,Eagar Police Department,AZ0010100,103,44,59,122,52,70,7,2,5,0,0,0,10,5,5,0,0,0,96,23,73,24,9,15,283,86,197,15,7,8,403,118,285,35.385084,-109.490172
Arizona,APACHE,St. Johns Police Department,AZ0010300,172,83,89,211,92,119,12,6,6,0,0,0,0,0,0,2,1,1,201,54,147,33,13,20,363,112,251,28,5,23,597,179,418,35.385084,-109.490172
Arizona,APACHE,Springerville Police Department,AZ0010500,69,33,36,74,35,39,2,1,1,0,0,0,0,0,0,2,1,1,50,13,37,22,9,13,115,32,83,1,0,1,187,54,133,34.118523,-109.29155
Arizona,NOT SPECIFIED,Navajo Nation,AZ0018900,18664,7321,11343,20103,7548,12555,379,126,253,0,0,0,15,6,9,201,61,140,1958,393,1565,2164,533,1631,2442,642,1800,1118,135,983,6564,1568,4996,35.385084,-109.490172
Arizona,COCHISE,Cochise County Sheriff's Office,AZ0020000,1364,474,890,1541,530,1011,30,10,20,11,0,11,8,2,6,39,18,21,1083,145,938,527,92,435,3135,477,2658,84,22,62,4745,714,4031,31.840129,-109.775163
Arizona,COCHISE,Benson Police Department,AZ0020100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.840129,-109.775163
Arizona,COCHISE,Bisbee Police Department,AZ0020300,32,14,18,46,20,26,3,1,2,0,0,0,0,0,0,10,4,6,31,6,25,10,2,8,88,7,81,0,0,0,129,15,114,31.840129,-109.775163
Arizona,COCHISE,Douglas Police Department,AZ0020500,192,77,115,227,89,138,9,4,5,72,36,36,6,1,5,5,2,3,472,74,398,125,21,104,2996,862,2134,9,1,8,3593,957,2636,31.840129,-109.775163
Arizona,COCHISE,Huachuca City Police Department,AZ0020700,5,1,4,12,1,11,0,0,0,0,0,0,5,0,5,1,0,1,19,3,16,6,1,5,73,17,56,6,0,6,98,21,77,31.631521,-110.33541
Arizona,COCHISE,Sierra Vista Police Department,AZ0020900,1116,454,662,1484,565,919,86,23,63,0,0,0,29,0,29,21,8,13,1439,242,1197,481,115,366,9062,2445,6617,148,24,124,10982,2802,8180,31.56594,-110.27322
Arizona,COCHISE,Tombstone Police Department,AZ0021100,48,22,26,48,22,26,3,1,2,2,0,2,0,0,0,0,0,0,29,5,24,13,4,9,151,29,122,0,0,0,193,38,155,31.840129,-109.775163
Arizona,COCHISE,Willcox Police Department,AZ0021300,296,77,219,316,84,232,14,4,10,0,0,0,0,0,0,0,0,0,237,39,198,102,18,84,1175,220,955,4,1,3,1514,277,1237,32.26314,-109.82966
Arizona,COCONINO,Coconino County Sheriff's Office,AZ0030000,1417,686,731,1652,754,898,150,56,94,0,0,0,31,3,28,38,18,20,855,123,732,212,48,164,2091,386,1705,166,43,123,3158,557,2601,35.188972,-111.64146
Arizona,COCONINO,Flagstaff Police Department,AZ0030100,3144,1363,1781,4108,1635,2473,292,72,220,0,0,0,122,17,105,42,19,23,1941,273,1668,660,126,534,21937,5809,16128,470,141,329,24538,6208,18330,35.188972,-111.64146
Arizona,COCONINO,Fredonia Police Department,AZ0030300,23,9,14,26,10,16,3,1,2,0,0,0,0,0,0,1,0,1,26,4,22,8,1,7,47,9,38,2,1,1,81,14,67,35.829692,-111.773728
Arizona,COCONINO,Williams Police Department,AZ0030700,339,143,196,366,149,217,3,1,2,0,0,0,5,1,4,3,1,2,117,19,98,37,11,26,757,165,592,19,4,15,911,195,716,35.252357,-112.18281
