State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Arkansas,ARKANSAS,Arkansas County Sheriff's Office,AR0010000,146,35,111,165,37,128,10,0,10,0,0,0,5,0,5,1,0,1,196,6,190,114,7,107,481,9,472,14,2,12,791,22,769,34.500004,-91.55133
Arkansas,ARKANSAS,De Witt Police Department,AR0010100,227,59,168,276,65,211,18,2,16,0,0,0,14,1,13,3,0,3,271,22,249,29,3,26,593,36,557,40,6,34,893,61,832,34.29578,-91.33483
Arkansas,ARKANSAS,Stuttgart Police Department,AR0010200,810,208,602,968,232,736,21,0,21,0,0,0,28,4,24,16,2,14,737,36,701,163,10,153,2102,203,1899,76,8,68,3002,249,2753,34.498188,-91.55266
Arkansas,ARKANSAS,Gillett Police Department,AR0010300,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,14,2,12,2,0,2,18,2,16,34.289573,-91.376547
Arkansas,ARKANSAS,St. Charles Police Department,AR0010500,8,3,5,9,3,6,0,0,0,0,0,0,1,0,1,0,0,0,9,2,7,0,0,0,13,1,12,1,0,1,22,3,19,34.289573,-91.376547
Arkansas,ASHLEY,Ashley County Sheriff's Office,AR0020000,173,55,118,218,63,155,21,2,19,0,0,0,13,2,11,11,5,6,409,25,384,130,12,118,894,36,858,26,3,23,1433,73,1360,33.22701,-91.79664
Arkansas,ASHLEY,Crossett Police Department,AR0020100,265,83,182,343,102,241,14,1,13,0,0,0,15,5,10,9,3,6,630,51,579,52,6,46,1256,246,1010,32,8,24,1938,303,1635,33.190835,-91.772267
Arkansas,ASHLEY,Hamburg Police Department,AR0020200,138,45,93,155,49,106,1,0,1,0,0,0,6,2,4,2,1,1,109,6,103,2,0,2,153,17,136,11,3,8,264,23,241,33.190835,-91.772267
Arkansas,BAXTER,Baxter County Sheriff's Office,AR0030000,499,138,361,648,156,492,33,4,29,0,0,0,17,0,17,19,8,11,695,66,629,416,39,377,3660,156,3504,121,7,114,4771,261,4510,36.28071,-92.330438
Arkansas,BAXTER,Mountain Home Police Department,AR0030100,192,85,107,415,172,243,4,2,2,0,0,0,76,33,43,16,7,9,457,94,363,197,57,140,4329,1108,3221,200,77,123,4983,1259,3724,36.333,-92.38602
