State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
California,ALAMEDA,Alameda County Sheriff's Office,CA0010000,4578,1659,2919,6893,2350,4543,193,41,152,0,0,0,24,5,19,74,31,43,3145,295,2850,4757,318,4439,9359,1078,8281,306,110,196,17261,1691,15570,37.802,-122.26236
California,ALAMEDA,Alameda Police Department,CA0010100,1011,399,612,1991,619,1372,204,34,170,2,1,1,26,5,21,11,4,7,1777,146,1631,3196,86,3110,13211,855,12356,125,36,89,18184,1087,17097,37.766888,-122.24273
California,ALAMEDA,Albany Police Department,CA0010200,118,45,73,351,95,256,34,8,26,0,0,0,2,1,1,4,2,2,603,41,562,430,10,420,3723,566,3157,29,6,23,4756,617,4139,37.887703,-122.29825
California,ALAMEDA,Berkeley Police Department,CA0010300,1948,556,1392,5355,1149,4206,275,47,228,0,0,0,0,0,0,20,6,14,6827,656,6171,4839,170,4669,31756,1595,30161,506,49,457,43422,2421,41001,37.870537,-122.27298
California,ALAMEDA,Emeryville Police Department,CA0010400,574,174,400,1501,329,1172,34,4,30,0,0,0,10,3,7,4,2,2,1001,90,911,1446,84,1362,14761,1817,12944,56,11,45,17208,1991,15217,37.648134,-121.913291
California,ALAMEDA,Fremont Police Department,CA0010500,2378,943,1435,4439,1475,2964,207,49,158,0,0,0,14,1,13,26,12,14,6046,409,5637,6138,256,5882,25347,1347,24000,431,98,333,37531,2012,35519,37.553017,-121.97069
California,ALAMEDA,Hayward Police Department,CA0010600,2210,753,1457,5531,1473,4058,199,23,176,1,0,1,9,1,8,89,31,58,4362,327,4035,11731,813,10918,20955,2216,18739,617,159,458,37048,3356,33692,37.662106,-122.08672
California,ALAMEDA,Livermore Police Department,CA0010700,1177,443,734,1938,632,1306,138,29,109,0,0,0,0,0,0,15,6,9,1525,127,1398,1603,78,1525,10881,1058,9823,256,43,213,14009,1263,12746,37.674633,-121.756935
California,ALAMEDA,Newark Police Department,CA0010800,500,181,319,1082,298,784,49,10,39,0,0,0,18,2,16,14,5,9,1907,124,1783,1693,49,1644,7962,745,7217,152,32,120,11562,918,10644,37.536236,-122.02951
California,ALAMEDA,Oakland Police Department,CA0010900,22544,4568,17976,48590,7790,40800,1507,62,1445,0,0,0,0,0,0,882,272,610,19555,477,19078,43842,538,43304,114828,1851,112977,3362,888,2474,178225,2866,175359,37.79965,-122.27459
