State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Colorado,ADAMS,Adams County Sheriff's Office,CO0010000,4615,1654,2961,6317,1959,4358,330,56,274,26,4,22,518,71,447,97,39,58,3395,374,3021,9111,1437,7674,13538,1088,12450,861,119,742,26044,2899,23145,39.874325,-104.331872
Colorado,"ADAMS, ARAPAHOE, DOUGLAS",Aurora Police Department,CO0010100,20431,5919,14512,31172,8053,23119,1021,226,795,61,17,44,1980,355,1625,397,155,242,14958,1119,13839,27208,1359,25849,72460,11661,60799,3710,682,3028,114626,14139,100487,39.70955,-104.81493
Colorado,"ADAMS, WELD",Brighton Police Department,CO0010200,1328,463,865,1878,551,1327,81,12,69,4,0,4,233,33,200,11,5,6,1089,80,1009,1840,154,1686,8745,1338,7407,385,47,338,11674,1572,10102,39.874325,-104.331872
Colorado,ADAMS,Commerce City Police Department,CO0010300,2495,763,1732,3590,950,2640,139,19,120,11,0,11,374,30,344,41,15,26,2078,189,1889,4063,184,3879,12792,2318,10474,618,73,545,18933,2691,16242,39.874325,-104.331872
Colorado,ADAMS,Thornton Police Department,CO0010400,2413,789,1624,4529,1083,3446,243,60,183,32,13,19,619,78,541,56,22,34,4497,371,4126,7274,416,6858,31239,6564,24675,1314,142,1172,43010,7351,35659,39.868996,-104.984215
Colorado,"ADAMS, JEFFERSON",Westminster Police Department,CO0010500,2414,874,1540,3845,1161,2684,187,37,150,5,1,4,304,51,253,75,31,44,3596,291,3305,7663,413,7250,27996,5231,22765,597,100,497,39255,5935,33320,39.86312,-105.050415
Colorado,"ADAMS, WELD",Northglenn Police Department,CO0010600,1388,418,970,1957,489,1468,104,16,88,1,0,1,202,17,185,19,6,13,1195,83,1112,2806,188,2618,8240,711,7529,335,34,301,12241,982,11259,39.9079,-104.98737
Colorado,ADAMS,Federal Heights Police Department,CO0010800,602,194,408,839,219,620,21,6,15,0,0,0,78,8,70,11,4,7,623,30,593,1169,81,1088,3248,416,2832,122,11,111,5040,527,4513,39.859097,-105.01396
Colorado,ADAMS,University of Colorado: Denver,CO0011100,23,10,13,30,11,19,4,1,3,0,0,0,0,0,0,0,0,0,20,1,19,326,10,316,629,60,569,1,0,1,975,71,904,39.644632,-104.331733
Colorado,ALAMOSA,Alamosa County Sheriff's Office,CO0020000,26,7,19,51,12,39,6,1,5,0,0,0,2,1,1,5,2,3,128,13,115,26,3,23,231,18,213,20,3,17,385,34,351,37.454723,-105.87713
