State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Connecticut,NEW HAVEN,Ansonia Police Department,CT0000200,125,43,82,291,72,219,7,2,5,0,0,0,29,2,27,8,4,4,288,55,233,450,27,423,2619,371,2248,54,6,48,3357,453,2904,41.33309,-73.07276
Connecticut,HARTFORD,Avon Police Department,CT0000400,18,8,10,42,16,26,0,0,0,0,0,0,4,0,4,0,0,0,117,9,108,130,12,118,1283,146,1137,6,0,6,1530,167,1363,41.806053,-72.732916
Connecticut,HARTFORD,Berlin Police Department,CT0000700,138,59,79,224,84,140,14,4,10,0,0,0,10,2,8,0,0,0,463,67,396,286,26,260,2715,349,2366,22,4,18,3464,442,3022,41.62753,-72.770615
Connecticut,FAIRFIELD,Bethel Police Department,CT0000900,35,16,19,77,31,46,8,3,5,0,0,0,16,5,11,8,4,4,176,41,135,101,21,80,1136,195,941,23,7,16,1413,257,1156,41.227399,-73.366523
Connecticut,HARTFORD,Bloomfield Police Department,CT0001100,342,149,193,528,196,332,23,6,17,1,0,1,30,5,25,11,5,6,379,63,316,465,59,406,4445,707,3738,61,12,49,5289,829,4460,41.806053,-72.732916
Connecticut,NEW HAVEN,Branford Police Department,CT0001400,101,44,57,216,83,133,1,0,1,0,0,0,14,0,14,1,0,1,284,56,228,390,46,344,4272,848,3424,27,3,24,4946,950,3996,41.280483,-72.81397
Connecticut,FAIRFIELD,Bridgeport Police Department,CT0001500,5061,1453,3608,9552,2056,7496,101,21,80,2,0,2,296,56,240,213,76,137,4902,308,4594,5607,377,5230,13029,845,12184,700,151,549,23538,1530,22008,41.227399,-73.366523
Connecticut,HARTFORD,Bristol Police Department,CT0001700,312,127,185,725,242,483,19,5,14,0,0,0,50,9,41,12,4,8,1359,195,1164,1020,87,933,6356,1107,5249,100,24,76,8735,1389,7346,41.670544,-72.94299
Connecticut,FAIRFIELD,Brookfield Police Department,CT0001800,63,26,37,81,32,49,6,3,3,0,0,0,3,1,2,0,0,0,111,17,94,82,3,79,1154,228,926,5,2,3,1347,248,1099,41.467785,-73.40296
Connecticut,HARTFORD,Canton Police Department,CT0002300,11,4,7,19,4,15,0,0,0,0,0,0,2,0,2,0,0,0,58,6,52,45,5,40,549,107,442,3,0,3,652,118,534,41.82199,-72.92377
Connecticut,NEW HAVEN,Cheshire Police Department,CT0002500,49,23,26,82,36,46,0,0,0,0,0,0,11,4,7,2,1,1,172,25,147,244,26,218,1572,224,1348,18,8,10,1988,275,1713,41.51123,-72.89918
Connecticut,MIDDLESEX,Clinton Police Department,CT0002700,97,46,51,170,66,104,7,3,4,2,0,2,16,2,14,0,0,0,269,44,225,117,20,97,2523,497,2026,39,7,32,2909,561,2348,41.278084,-72.523766
Connecticut,TOLLAND,Coventry Police Department,CT0003200,31,14,17,71,26,45,1,0,1,0,0,0,27,9,18,0,0,0,155,21,134,77,11,66,675,43,632,32,10,22,907,75,832,41.780262,-72.312584
Connecticut,MIDDLESEX,Cromwell Police Department,CT0003300,58,27,31,111,42,69,10,0,10,0,0,0,12,2,10,0,0,0,204,26,178,191,12,179,3312,941,2371,13,2,11,3707,979,2728,41.595985,-72.6463
Connecticut,FAIRFIELD,Danbury Police Department,CT0003400,792,344,448,1649,605,1044,50,13,37,8,5,3,113,33,80,22,10,12,1236,226,1010,943,114,829,8836,1702,7134,282,77,205,11015,2042,8973,41.40037,-73.45838
Connecticut,FAIRFIELD,Darien Police Department,CT0003500,36,16,20,54,21,33,2,0,2,0,0,0,1,0,1,1,0,1,255,34,221,287,30,257,1933,114,1819,3,1,2,2475,178,2297,41.227399,-73.366523
Connecticut,NEW HAVEN,Derby Police Department,CT0003700,257,105,152,449,153,296,8,2,6,0,0,0,16,4,12,2,1,1,423,67,356,375,23,352,2246,371,1875,34,10,24,3044,461,2583,41.323452,-73.086716
Connecticut,MIDDLESEX,East Hampton Police Department,CT0004200,25,10,15,49,20,29,0,0,0,0,0,0,4,2,2,0,0,0,95,8,87,60,5,55,731,85,646,8,3,5,886,98,788,41.58303,-72.504326
Connecticut,HARTFORD,East Hartford Police Department,CT0004300,632,273,359,1356,457,899,62,19,43,4,2,2,108,25,83,20,7,13,1526,241,1285,1504,78,1426,7876,753,7123,221,59,162,10906,1072,9834,41.78032,-72.611305
Connecticut,NEW HAVEN,East Haven Police Department,CT0004400,224,88,136,429,146,283,8,4,4,0,0,0,28,5,23,10,4,6,600,80,520,642,45,597,4679,705,3974,53,11,42,5921,830,5091,41.29254,-72.86689
Connecticut,NEW LONDON,East Lyme Police Department,CT0004500,62,29,33,88,33,55,3,1,2,0,0,0,12,1,11,3,1,2,59,11,48,72,10,62,421,67,354,15,1,14,552,88,464,41.472651,-72.108633
Connecticut,FAIRFIELD,Easton Police Department,CT0004600,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,52,6,46,42,2,40,277,8,269,0,0,0,371,16,355,41.227399,-73.366523
Connecticut,HARTFORD,East Windsor Police Department,CT0004700,99,40,59,199,67,132,16,2,14,1,0,1,11,4,7,2,1,1,359,25,334,197,19,178,2245,415,1830,30,9,21,2801,459,2342,41.806053,-72.732916
Connecticut,HARTFORD,Enfield Police Department,CT0004900,554,245,309,796,309,487,15,3,12,0,0,0,34,3,31,12,6,6,990,119,871,483,46,437,5296,871,4425,79,11,68,6769,1036,5733,41.99931,-72.59431
Connecticut,FAIRFIELD,Fairfield Police Department,CT0005100,241,114,127,384,154,230,6,2,4,0,0,0,12,4,8,3,1,2,963,137,826,696,65,631,7928,1314,6614,27,8,19,9587,1516,8071,41.139725,-73.25669
Connecticut,HARTFORD,Farmington Police Department,CT0005200,60,27,33,157,57,100,2,1,1,0,0,0,19,1,18,2,1,1,506,149,357,307,49,258,4946,1343,3603,28,2,26,5759,1541,4218,41.748455,-72.86829
Connecticut,HARTFORD,Glastonbury Police Department,CT0005400,152,71,81,263,118,145,8,3,5,0,0,0,22,10,12,0,0,0,530,107,423,349,55,294,3384,565,2819,31,14,17,4263,727,3536,41.806053,-72.732916
Connecticut,HARTFORD,Granby Police Department,CT0005600,12,6,6,17,7,10,1,0,1,0,0,0,3,1,2,0,0,0,66,14,52,30,0,30,632,67,565,4,1,3,728,81,647,41.95605,-72.79298
Connecticut,FAIRFIELD,Greenwich Police Department,CT0005700,73,32,41,206,85,121,5,1,4,0,0,0,31,13,18,12,6,6,604,125,479,748,71,677,3340,429,2911,43,18,25,4692,625,4067,41.025414,-73.62489
Connecticut,NEW LONDON,Groton Police Department,CT0005900,197,93,104,275,115,160,16,7,9,0,0,0,28,5,23,2,1,1,233,42,191,81,10,71,846,124,722,56,13,43,1160,176,984,41.35508,-72.0722
