State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Delaware,KENT,Dover Police Department,DE0010100,3369,1380,1989,4206,1727,2479,57,25,32,0,0,0,141,54,87,56,21,35,835,333,502,853,142,711,17219,4240,12979,249,101,148,18907,4715,14192,39.097088,-75.502982
Delaware,KENT,Harrington Police Department,DE0010200,352,158,194,425,183,242,4,2,2,0,0,0,11,4,7,2,1,1,199,56,143,53,15,38,832,237,595,29,9,20,1084,308,776,38.924095,-75.57957
Delaware,"KENT, NEW CASTLE",Smyrna Police Department,DE0010300,560,223,337,737,286,451,3,1,2,4,2,2,41,14,27,4,2,2,431,99,332,127,24,103,2338,539,1799,83,31,52,2896,662,2234,39.300205,-75.61435
Delaware,KENT,Camden Police Department,DE0010400,124,53,71,179,71,108,2,1,1,0,0,0,8,1,7,1,0,1,86,29,57,40,6,34,2253,800,1453,13,3,10,2379,835,1544,39.11345,-75.54225
Delaware,KENT,Clayton Police Department,DE0010600,94,41,53,110,48,62,1,0,1,0,0,0,6,2,4,2,1,1,59,13,46,5,0,5,222,43,179,10,4,6,286,56,230,39.097088,-75.502982
Delaware,KENT,Felton Police Department,DE0010700,31,14,17,39,17,22,0,0,0,0,0,0,3,1,2,0,0,0,31,8,23,3,0,3,198,53,145,3,1,2,232,61,171,39.01094,-75.57476
Delaware,KENT,Frederica Police Department,DE0010800,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,1,6,1,0,1,31,8,23,0,0,0,39,9,30,39.097088,-75.502982
Delaware,KENT,Kenton Police Department,DE0010900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2,1,1,15,2,13,0,0,0,21,4,17,39.097088,-75.502982
Delaware,KENT,Environmental Control,DE0011700,8,4,4,8,4,4,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,56,19,37,0,0,0,57,19,38,39.164383,-75.51842
Delaware,KENT,State Capitol Police,DE0011800,19,9,10,20,9,11,0,0,0,0,0,0,1,0,1,0,0,0,9,3,6,7,2,5,124,16,108,1,0,1,140,21,119,39.097088,-75.502982
Delaware,KENT,Dover Fire Marshal,DE0011900,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Delaware,KENT,State Fire Marshal,DE0012000,125,46,79,125,46,79,1179,262,917,0,0,0,0,0,0,0,0,0,64,13,51,2,1,1,12,5,7,0,0,0,78,19,59,39.168213,-75.588066
Delaware,KENT,Fish and Wildlife,DE0012200,16,7,9,16,7,9,2,0,2,0,0,0,0,0,0,0,0,0,7,0,7,2,0,2,147,13,134,0,0,0,156,13,143,39.097088,-75.502982
Delaware,KENT,Park Rangers,DE0012300,33,12,21,44,15,29,3,1,2,0,0,0,1,0,1,0,0,0,247,19,228,19,6,13,524,36,488,6,1,5,790,61,729,39.097088,-75.502982
Delaware,KENT,Cheswold Police Department,DE0012600,58,24,34,74,29,45,0,0,0,0,0,0,3,1,2,0,0,0,35,7,28,17,2,15,220,58,162,10,4,6,272,67,205,39.097088,-75.502982
Delaware,KENT,Attorney General: Kent County,DE001300X,3,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,0,0,0,7,2,5,39.154705,-75.52337
Delaware,KENT,Wyoming Police Department,DE0013100,81,36,45,93,38,55,0,0,0,0,0,0,2,0,2,1,0,1,56,10,46,17,5,12,122,25,97,7,1,6,195,40,155,39.118744,-75.55912
