State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Florida,ALACHUA,Alachua County Sheriff's Office,FL0010000,4755,1733,3022,6377,2206,4171,127,21,106,0,0,0,11,2,9,43,17,26,3506,403,3103,1073,211,862,9516,1192,8324,689,163,526,14095,1806,12289,29.643612,-82.2908
Florida,ALACHUA,Gainesville Police Department,FL0010100,5719,2093,3626,8737,2989,5748,62,12,50,0,0,0,7,0,7,50,24,26,3791,722,3069,2893,530,2363,29225,5928,23297,1173,295,878,35909,7180,28729,29.67574,-82.357221
Florida,ALACHUA,High Springs Police Department,FL0010400,138,45,93,170,53,117,1,0,1,0,0,0,0,0,0,0,0,0,163,25,138,28,11,17,540,107,433,20,6,14,731,143,588,29.67574,-82.357221
Florida,ALACHUA,University of Florida,FL0010600,58,25,33,140,52,88,1,0,1,0,0,0,5,1,4,0,0,0,214,35,179,139,29,110,2274,280,1994,58,17,41,2627,344,2283,29.67574,-82.357221
Florida,ALACHUA,Alachua Police Department,FL0010800,285,85,200,358,108,250,6,0,6,0,0,0,0,0,0,3,1,2,292,28,264,109,13,96,1381,164,1217,30,9,21,1782,205,1577,29.67574,-82.357221
Florida,ALACHUA,Santa Fe College,FL0012700,4,2,2,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,2,0,2,135,28,107,1,0,1,145,31,114,29.680899,-82.43032
Florida,ALACHUA,"Department of Corrections, Office of the Inspector General: Alachua County",FL0012900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Florida,ALACHUA,Division of Alcoholic Beverages and Tobacco: Alachua County,FL0015000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.423128,-84.28066
Florida,ALACHUA,Florida Game Commission: Alachua County,FL0018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.722952,-82.417946
Florida,ALACHUA,Highway Patrol: Alachua County,FL0019000,40,14,26,40,14,26,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,43,13,30,32,11,21,0,0,0,81,27,54,29.67574,-82.357221
Florida,ALACHUA,"Department of Agriculture and Consumer Services, Office of Agricultural Law Enforcement: ",FL001A00X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Florida,BAKER,Baker County Sheriff's Office,FL0020000,1079,442,637,1211,486,725,6,3,3,0,0,0,3,1,2,12,5,7,665,193,472,219,66,153,1984,556,1428,56,13,43,2868,815,2053,30.294596,-82.12483
Florida,BAKER,"Department of Corrections, Office of the Inspector General: Baker County",FL002040X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.426645,-84.249504
Florida,BAKER,Division of Alcoholic Beverages and Tobacco: Baker County,FL002500X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.423128,-84.28066
Florida,BAKER,Florida Game Commission: Baker County,FL0028000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.324442,-82.302284
Florida,BAKER,Highway Patrol: Baker County,FL0029000,7,2,5,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,3,1,2,30.324442,-82.302284
Florida,BAKER,"Department of Agriculture and Consumer Services, Office of Agricultural Law Enforcement:",FL002A00X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Florida,BAY,Bay County Sheriff's Office,FL0030000,3313,1433,1880,4194,1814,2380,62,31,31,0,0,0,0,0,0,51,25,26,4869,1669,3200,1980,792,1188,15531,5111,10420,539,246,293,22380,7572,14808,30.237563,-85.631348
Florida,BAY,Panama City Police Department,FL0030100,2470,972,1498,3294,1336,1958,70,33,37,0,0,0,0,0,0,36,17,19,4594,2287,2307,2132,906,1226,17541,7739,9802,196,77,119,24267,10932,13335,30.17504,-85.64405
Florida,BAY,Mexico Beach Police Department,FL0030400,25,4,21,30,6,24,2,1,1,0,0,0,0,0,0,0,0,0,58,4,54,8,1,7,192,19,173,2,1,1,258,24,234,30.237563,-85.631348
Florida,BAY,Springfield Police Department,FL0030500,426,165,261,564,215,349,10,5,5,0,0,0,0,0,0,3,1,2,526,116,410,253,79,174,1639,286,1353,75,30,45,2418,481,1937,30.237563,-85.631348
Florida,BAY,Panama City Beach Police Department,FL0030600,895,387,508,1289,553,736,9,3,6,0,0,0,0,0,0,17,8,9,1021,385,636,62,19,43,7771,2730,5041,182,81,101,8854,3134,5720,30.228601,-85.889694
Florida,BAY,Lynn Haven Police Department,FL0030700,317,147,170,406,183,223,4,2,2,0,0,0,0,0,0,2,1,1,362,98,264,197,74,123,2439,694,1745,53,24,29,2998,866,2132,30.237333,-85.64769
Florida,BAY,Florida State University: Panama City,FL0031100,2,1,1,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,23,1,22,0,0,0,25,1,24,30.439632,-84.29678
Florida,BAY,Northwest Florida Beaches International Airport,FL0031300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,5,21,1,20,0,0,0,28,3,25,30.20508,-85.68739
Florida,BAY,"Department of Corrections, Office of the Inspector General: Bay County",FL0031600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.426645,-84.249504
Florida,BAY,Parker Police Department,FL0032600,148,62,86,211,94,117,6,3,3,0,0,0,0,0,0,3,2,1,349,166,183,111,49,62,977,390,587,41,20,21,1437,605,832,30.128723,-85.605316
Florida,BAY,Division of Alcoholic Beverages and Tobacco: Bay County,FL0035000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.423128,-84.28066
Florida,BAY,Florida Game Commission: Bay County,FL0038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.275774,-85.60808
Florida,BAY,Highway Patrol: Bay County,FL0039000,13,6,7,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,151,74,77,0,0,0,159,78,81,30.24214,-85.57792
Florida,BAY,"Department of Agriculture and Consumer Services, Office of Agricultural Law Enforcement: ",FL003A00X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Florida,BRADFORD,Bradford County Sheriff's Office,FL0040000,504,230,274,596,269,327,8,4,4,0,0,0,0,0,0,3,1,2,668,210,458,140,55,85,940,353,587,60,26,34,1748,618,1130,29.952386,-82.16729
Florida,BRADFORD,Starke Police Department,FL0040100,478,239,239,559,270,289,8,4,4,0,0,0,0,0,0,7,3,4,105,25,80,103,30,73,1274,457,817,14,7,7,1482,512,970,29.938774,-82.11314
Florida,BRADFORD,Lawtey Police Department,FL0040300,37,20,17,37,20,17,2,1,1,0,0,0,0,0,0,0,0,0,26,9,17,0,0,0,34,16,18,0,0,0,60,25,35,29.952386,-82.16729
Florida,BRADFORD,"Department of Corrections, Office of the Inspector General: Bradford County",FL0040500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.426645,-84.249504
