State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Georgia,APPLING,Appling County Sheriff's Office,GA0010000,113,29,84,131,31,100,0,0,0,0,0,0,4,0,4,0,0,0,355,49,306,79,20,59,853,128,725,11,1,10,1287,197,1090,31.782509,-82.35828
Georgia,APPLING,Baxley Police Department,GA0010100,465,184,281,552,205,347,10,3,7,0,0,0,16,2,14,11,7,4,530,66,464,167,48,119,1940,456,1484,28,2,26,2637,570,2067,31.739712,-82.290103
Georgia,APPLING,Graham,GA0010300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,8,0,8,,
Georgia,APPLING,Appling County Board of Education,GA0010400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,18,9,9,0,0,0,20,10,10,,
Georgia,ATKINSON,Atkinson County Sheriff's Office,GA0020000,81,34,47,90,37,53,0,0,0,0,0,0,1,0,1,0,0,0,52,14,38,32,12,20,135,19,116,4,1,3,219,45,174,31.296677,-82.878067
Georgia,ATKINSON,Pearson Police Department,GA0020100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.296677,-82.878067
Georgia,ATKINSON,Willacoochee Police Department,GA0020200,17,8,9,21,9,12,0,0,0,0,0,0,0,0,0,0,0,0,53,12,41,0,0,0,139,17,122,0,0,0,192,29,163,31.340805,-83.04818
Georgia,BACON,Bacon County Sheriff's Office,GA0030000,58,7,51,65,8,57,0,0,0,0,0,0,0,0,0,0,0,0,189,45,144,17,3,14,362,128,234,1,0,1,568,176,392,31.563327,-82.387859
Georgia,BACON,Alma Police Department,GA0030100,155,49,106,210,59,151,7,3,4,0,0,0,3,0,3,3,1,2,505,72,433,96,19,77,1165,226,939,6,1,5,1766,317,1449,31.563327,-82.387859
Georgia,BAKER,Baker County Sheriff's Office,GA0040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.31958,-84.454881
Georgia,BAKER,Newton Police Department,GA0040100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,31.31958,-84.454881
Georgia,BALDWIN,Baldwin County Sheriff's Office,GA0050000,1652,276,1376,1845,318,1527,13,3,10,2,1,1,36,2,34,35,13,22,1116,224,892,344,79,265,4228,917,3311,75,6,69,5688,1220,4468,33.059504,-83.255452
Georgia,BALDWIN,Milledgeville Police Department,GA0050100,845,212,633,1072,250,822,21,4,17,1,0,1,36,3,33,21,8,13,1058,104,954,291,52,239,5582,1007,4575,49,5,44,6931,1163,5768,33.082405,-83.228714
Georgia,BALDWIN,Georgia College and State University,GA0050300,12,2,10,33,9,24,1,0,1,0,0,0,12,5,7,0,0,0,38,13,25,64,24,40,336,81,255,17,6,11,438,118,320,33.059504,-83.255452
Georgia,BALDWIN,Georgia Military College,GA0050400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,6,3,3,0,0,0,8,4,4,33.08015,-83.22491
Georgia,BANKS,Banks County Sheriff's Office,GA0060000,454,161,293,528,166,362,5,1,4,0,0,0,25,0,25,6,2,4,752,69,683,185,27,158,3034,767,2267,33,2,31,3971,863,3108,34.351922,-83.498441
Georgia,BARROW,Barrow County Sheriff's Office,GA0070000,1019,123,896,1176,138,1038,52,11,41,1,0,1,59,5,54,7,0,7,953,31,922,479,35,444,5455,631,4824,79,8,71,6887,697,6190,33.992009,-83.712303
Georgia,BARROW,Winder Police Department,GA0070100,674,91,583,786,106,680,8,1,7,0,0,0,15,0,15,4,2,2,443,24,419,196,8,188,2446,139,2307,29,0,29,3085,171,2914,33.993984,-83.71819
Georgia,"BARROW, GWINNETT",Auburn Police Department,GA0070200,66,23,43,98,33,65,0,0,0,0,0,0,18,5,13,4,2,2,117,24,93,75,21,54,586,120,466,2,0,2,778,165,613,33.992009,-83.712303
Georgia,BARROW,Statham Police Department,GA0070300,32,13,19,43,16,27,0,0,0,0,0,0,0,0,0,0,0,0,46,3,43,24,8,16,203,63,140,0,0,0,273,74,199,33.992009,-83.712303
Georgia,BARTOW,Bartow County Sheriff's Office,GA0080000,924,194,730,1136,227,909,54,5,49,0,0,0,93,10,83,15,7,8,1615,153,1462,1013,173,840,6495,830,5665,44,6,38,9123,1156,7967,34.240917,-84.838188
