State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Illinois,ADAMS,Adams County Sheriff's Office,IL0010000,135,14,121,264,17,247,7,1,6,0,0,0,33,1,32,4,1,3,450,16,434,49,1,48,803,20,783,122,2,120,1302,37,1265,39.934517,-91.40799
Illinois,ADAMS,Camp Point Police Department,IL0010100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,7,0,7,40.039932,-91.0664
Illinois,ADAMS,Quincy Police Department,IL0010300,991,1,990,1364,2,1362,43,0,43,0,0,0,12,1,11,9,0,9,1316,2,1314,265,2,263,5853,12,5841,273,1,272,7434,16,7418,39.931683,-91.40334
Illinois,ADAMS,Clayton Police Department,IL0010700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.039978,-91.07132
Illinois,ADAMS,John Wood Community College,IL0010800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,13,0,13,39.986052,-91.194961
Illinois,ALEXANDER,Alexander County Sheriff's Office,IL0020000,44,0,44,46,0,46,1,0,1,0,0,0,0,0,0,0,0,0,65,0,65,12,0,12,157,0,157,1,0,1,234,0,234,37.004906,-89.175995
Illinois,ALEXANDER,Cairo Police Department,IL0020100,173,0,173,183,0,183,11,0,11,0,0,0,0,0,0,0,0,0,85,0,85,10,0,10,186,0,186,3,0,3,281,0,281,37.002796,-89.17247
Illinois,BOND,Bond County Sheriff's Office,IL0030000,9,0,9,17,0,17,2,0,2,0,0,0,4,0,4,2,0,2,138,0,138,20,0,20,287,0,287,6,0,6,445,0,445,38.8887,-89.412445
Illinois,BOND,Greenville Police Department,IL0030100,45,4,41,50,4,46,2,0,2,0,0,0,0,0,0,1,0,1,65,0,65,32,0,32,405,1,404,0,0,0,502,1,501,38.889313,-89.41342
Illinois,BOND,Sorento Police Department,IL0030300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.885924,-89.436592
Illinois,"BOND, MADISON",Pierron Police Department,IL0030500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,38.885924,-89.436592
Illinois,BOONE,Boone County Sheriff's Office,IL0040000,83,2,81,162,3,159,5,0,5,0,0,0,12,0,12,2,0,2,191,3,188,49,1,48,638,5,633,64,1,63,878,9,869,42.264786,-88.84539
Illinois,BOONE,Belvidere Police Department,IL0040100,215,6,209,326,7,319,17,0,17,0,0,0,14,0,14,1,0,1,259,3,256,82,2,80,1220,20,1200,65,0,65,1561,25,1536,42.318983,-88.824295
Illinois,BROWN,Brown County Sheriff's Office,IL0050000,26,0,26,27,0,27,2,0,2,0,0,0,0,0,0,0,0,0,16,0,16,3,0,3,41,0,41,1,0,1,60,0,60,39.98675,-90.76378
Illinois,BROWN,Mount Sterling Police Department,IL0050100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.985912,-90.765884
Illinois,BUREAU,Bureau County Sheriff's Office,IL0060000,90,0,90,138,0,138,12,0,12,0,0,0,0,0,0,1,0,1,281,0,281,37,0,37,513,0,513,43,0,43,831,0,831,41.36806,-89.466446
Illinois,BUREAU,Buda Police Department,IL0060100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.401304,-89.528377
Illinois,BUREAU,De Pue Police Department,IL0060200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,38,0,38,0,0,0,47,0,47,41.401304,-89.528377
Illinois,BUREAU,Ladd Police Department,IL0060300,10,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,13,0,13,0,0,0,19,0,19,41.401304,-89.528377
Illinois,BUREAU,Princeton Police Department,IL0060400,68,3,65,97,3,94,3,0,3,0,0,0,3,0,3,1,0,1,114,0,114,24,0,24,898,53,845,21,0,21,1036,53,983,41.384266,-89.45636
Illinois,BUREAU,Spring Valley Police Department,IL0060600,29,1,28,54,2,52,0,0,0,0,0,0,5,0,5,1,0,1,82,0,82,9,0,9,373,13,360,20,0,20,464,13,451,41.326485,-89.19818
Illinois,BUREAU,Walnut Police Department,IL0060700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,1,0,1,14,0,14,0,0,0,25,0,25,41.401304,-89.528377
Illinois,BUREAU,La Moille Police Department,IL0061000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.401304,-89.528377
Illinois,BUREAU,Bureau Police Department,IL0061400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.401304,-89.528377
