State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Montana,BEAVERHEAD,Beaverhead County Sheriff's Office,MT0010000,42,15,27,52,19,33,1,0,1,0,0,0,1,0,1,0,0,0,17,2,15,12,4,8,37,4,33,9,4,5,66,10,56,45.215897,-112.63472
Montana,BEAVERHEAD,Dillon Police Department,MT0010100,132,63,69,161,75,86,0,0,0,0,0,0,5,1,4,2,1,1,49,21,28,23,10,13,212,64,148,24,10,14,284,95,189,45.21792,-112.63559
Montana,BIG HORN,Big Horn County Sheriff's Office,MT0020000,551,162,389,618,171,447,10,1,9,0,0,0,31,0,31,9,4,5,183,13,170,418,30,388,1371,194,1177,42,1,41,1972,237,1735,45.407869,-107.518163
Montana,BLAINE,Blaine County Sheriff's Office,MT0030000,91,30,61,104,31,73,1,0,1,0,0,0,10,1,9,0,0,0,14,2,12,28,5,23,67,9,58,12,1,11,109,16,93,48.428282,-108.967648
Montana,BLAINE,Chinook Police Department,MT0030100,23,9,14,23,9,14,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,8,0,8,66,13,53,0,0,0,78,14,64,48.428282,-108.967648
Montana,BROADWATER,Broadwater County Sheriff's Office,MT0040000,318,137,181,332,139,193,4,0,4,0,0,0,7,0,7,2,1,1,57,4,53,47,8,39,205,19,186,12,1,11,309,31,278,46.330928,-111.496597
Montana,CARBON,Carbon County Sheriff's Office,MT0050000,112,20,92,134,23,111,3,0,3,0,0,0,10,0,10,7,3,4,101,4,97,50,3,47,252,4,248,13,0,13,403,11,392,45.224475,-109.028551
Montana,CARBON,Red Lodge Police Department,MT0050100,43,9,34,51,10,41,2,0,2,0,0,0,6,1,5,0,0,0,23,2,21,15,1,14,216,24,192,7,1,6,254,27,227,45.224475,-109.028551
Montana,CARBON,Bridger Police Department,MT0050200,6,0,6,8,0,8,0,0,0,0,0,0,2,0,2,0,0,0,7,0,7,4,0,4,32,1,31,2,0,2,43,1,42,45.224475,-109.028551
Montana,CARTER,Carter County Sheriff's Office,MT0060000,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.516825,-104.515324
Montana,CASCADE,Cascade County Sheriff's Office,MT0070000,753,322,431,831,342,489,26,8,18,0,0,0,40,9,31,9,2,7,488,65,423,223,39,184,1453,156,1297,57,14,43,2164,260,1904,47.316443,-111.350571
Montana,CASCADE,Great Falls Police Department,MT0070100,2890,1241,1649,3555,1450,2105,162,50,112,0,0,0,286,88,198,39,17,22,2731,367,2364,2153,392,1761,24809,4955,19854,363,108,255,29693,5714,23979,47.316443,-111.350571
Montana,CHOUTEAU,Chouteau County Sheriff's Office,MT0080000,28,11,17,30,11,19,2,0,2,0,0,0,2,0,2,0,0,0,14,3,11,1,0,1,9,0,9,2,0,2,24,3,21,47.886837,-110.436189
Montana,CHOUTEAU,Fort Benton Police Department,MT0080100,28,8,20,34,9,25,0,0,0,0,0,0,3,1,2,0,0,0,23,3,20,9,3,6,89,8,81,6,1,5,121,14,107,47.886837,-110.436189
Montana,CUSTER,Custer County Sheriff's Office,MT0090000,63,19,44,81,21,60,3,1,2,0,0,0,10,1,9,2,1,1,63,3,60,27,2,25,164,6,158,15,1,14,254,11,243,46.407646,-105.84556
Montana,CUSTER,Miles City Police Department,MT0090100,265,98,167,286,100,186,7,2,5,0,0,0,9,0,9,2,1,1,110,15,95,58,13,45,1413,309,1104,15,0,15,1581,337,1244,46.40739,-105.83021
Montana,DANIELS,Daniels County Sheriff's Office,MT0100000,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,2,2,3,0,3,2,1,1,8,2,6,48.794429,-105.541739
