State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Nebraska,ADAMS,Adams County Sheriff's Office,NB0010000,29,11,18,57,13,44,6,0,6,1,0,1,13,0,13,0,0,0,145,8,137,46,9,37,390,17,373,25,1,24,581,34,547,40.520632,-98.500044
Nebraska,ADAMS,Hastings Police Department,NB0010100,447,147,300,692,174,518,54,11,43,3,0,3,92,7,85,2,1,1,869,64,805,518,84,434,5730,1020,4710,185,14,171,7117,1168,5949,40.520632,-98.500044
Nebraska,ANTELOPE,Antelope County Sheriff's Office,NB0020000,37,16,21,44,19,25,0,0,0,0,0,0,4,2,2,0,0,0,9,1,8,20,5,15,107,17,90,3,1,2,136,23,113,42.183225,-98.058037
Nebraska,ANTELOPE,Neligh Police Department,NB0020100,8,4,4,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0,2,38,7,31,0,0,0,45,7,38,42.183225,-98.058037
Nebraska,ARTHUR,Arthur County Sheriff's Office,NB0030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,41.571944,-101.695898
Nebraska,BANNER,Banner County Sheriff's Office,NB0040000,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,0,6,0,0,0,9,0,9,41.53975,-103.726263
Nebraska,BLAINE,Blaine County Sheriff's Office,NB0050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.92523,-99.990771
Nebraska,BOONE,Boone County Sheriff's Office,NB0060000,12,2,10,15,2,13,2,0,2,0,0,0,1,0,1,0,0,0,11,0,11,8,0,8,35,1,34,3,0,3,54,1,53,41.7054,-98.066794
Nebraska,BOONE,Albion Police Department,NB0060100,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,41.7054,-98.066794
Nebraska,BOX BUTTE,Box Butte County Sheriff's Office,NB0070000,22,9,13,25,9,16,0,0,0,0,0,0,2,0,2,0,0,0,42,5,37,20,4,16,63,8,55,2,0,2,125,17,108,42.215665,-103.087821
