State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Nevada,CHURCHILL,Churchill County Sheriff's Office,NV0010000,258,110,148,335,133,202,31,11,20,0,0,0,10,4,6,4,1,3,535,89,446,196,60,136,958,193,765,63,19,44,1689,342,1347,39.525701,-118.270419
Nevada,CHURCHILL,Fallon Police Department,NV0010100,242,112,130,312,149,163,10,3,7,0,0,0,2,0,2,7,4,3,181,71,110,124,35,89,2229,681,1548,36,21,15,2534,787,1747,39.4748,-118.77769
Nevada,CLARK,Las Vegas Metropolitan Police Department Police Department,NV0020100,72266,23590,48676,115563,32937,82626,1298,278,1020,594,232,362,2572,530,2042,1973,880,1093,96362,8606,87756,70836,3962,66874,233638,24469,209169,11828,1951,9877,400836,37037,363799,36.17203,-115.14022
Nevada,CLARK,City of Las Vegas Department of Public Safety,NV002015C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Nevada,CLARK,North Las Vegas Police Department,NV0020200,15761,5289,10472,21519,6312,15207,280,86,194,32,13,19,259,46,213,271,86,185,11412,984,10428,10600,488,10112,22706,2583,20123,1096,189,907,44718,4055,40663,36.214236,-115.013819
Nevada,CLARK,Henderson Police Department,NV0020300,4593,1789,2804,8269,3053,5216,284,74,210,6,3,3,203,60,143,143,67,76,9568,1558,8010,5709,468,5241,38179,6988,31191,1179,468,711,53456,9014,44442,36.03084,-114.98376
Nevada,CLARK,Boulder City Police Department,NV0020400,159,63,96,206,73,133,9,2,7,0,0,0,10,1,9,4,2,2,364,61,303,177,22,155,799,94,705,18,1,17,1340,177,1163,35.978218,-114.83407
Nevada,CLARK,City of Las Vegas Department of Publilc Safety,NV002051C,150,54,96,173,60,113,13,3,10,0,0,0,0,0,0,0,0,0,34,8,26,28,2,26,519,143,376,0,0,0,581,153,428,,
Nevada,CLARK,Nevada Gaming Control Board:,NV0020800,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3,15,0,0,0,230,46,184,0,0,0,248,49,199,,
Nevada,CLARK,Mesquite Police Department,NV0020900,213,97,116,405,170,235,10,5,5,6,3,3,26,3,23,0,0,0,556,140,416,350,78,272,2300,580,1720,147,49,98,3206,798,2408,36.804005,-114.06781
Nevada,CLARK,University of Nevada: Las Vegas,NV0021000,53,12,41,110,17,93,12,2,10,0,0,0,0,0,0,2,1,1,210,8,202,200,16,184,1437,42,1395,21,0,21,1847,66,1781,36.107597,-115.1374
Nevada,CLARK,Las Vegas Fire and Rescue Arson Bomb Unit,NV0021500,0,0,0,0,0,0,118,27,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.214236,-115.013819
