State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Oklahoma,ADAIR,Adair County Sheriff's Office,OK0010000,468,102,366,540,111,429,26,1,25,0,0,0,25,2,23,12,5,7,516,33,483,309,27,282,634,16,618,48,3,45,1459,76,1383,35.897613,-94.651378
Oklahoma,ADAIR,Stilwell Police Department,OK0010100,201,69,132,255,81,174,24,3,21,0,0,0,9,1,8,8,3,5,339,41,298,183,14,169,1191,194,997,23,3,20,1713,249,1464,35.815083,-94.63217
Oklahoma,ADAIR,Westville Police Department,OK0010200,49,16,33,57,17,40,6,1,5,0,0,0,4,0,4,0,0,0,110,9,101,64,9,55,274,13,261,6,0,6,448,31,417,35.897613,-94.651378
Oklahoma,ADAIR,Watts Police Department,OK0011000,9,3,6,10,3,7,1,0,1,0,0,0,0,0,0,1,0,1,7,1,6,10,2,8,6,0,6,0,0,0,23,3,20,35.897613,-94.651378
Oklahoma,ALFALFA,Alfalfa County Sheriff's Office,OK0020000,26,9,17,36,11,25,6,0,6,0,0,0,6,2,4,1,0,1,56,2,54,38,5,33,188,1,187,8,2,6,282,8,274,36.75562,-98.35702
Oklahoma,ALFALFA,Cherokee Police Department,OK0020100,39,15,24,48,16,32,0,0,0,0,0,0,5,1,4,0,0,0,75,10,65,19,5,14,117,15,102,7,1,6,211,30,181,36.729703,-98.323445
Oklahoma,ATOKA,Atoka County Sheriff's Office,OK0030000,64,23,41,78,26,52,10,2,8,0,0,0,1,0,1,0,0,0,212,11,201,104,11,93,298,14,284,12,3,9,614,36,578,34.392469,-96.036558
Oklahoma,ATOKA,Atoka Police Department,OK0030100,118,35,83,135,39,96,11,2,9,0,0,0,2,0,2,4,2,2,367,37,330,94,10,84,622,51,571,6,1,5,1083,98,985,34.392469,-96.036558
Oklahoma,ATOKA,Caney Police Department,OK0030200,6,2,4,11,3,8,0,0,0,0,0,0,2,0,2,0,0,0,9,2,7,7,0,7,41,6,35,5,1,4,57,8,49,34.392469,-96.036558
Oklahoma,ATOKA,Stringtown Police Department,OK0030800,4,1,3,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,1,2,7,2,5,0,0,0,13,3,10,34.392469,-96.036558
Oklahoma,ATOKA,Tushka Police Department,OK0030900,8,3,5,17,5,12,0,0,0,0,0,0,5,1,4,0,0,0,21,2,19,9,2,7,32,2,30,8,2,6,62,6,56,34.31879,-96.16563
Oklahoma,BEAVER,Beaver County Sheriff's Office,OK0040000,20,8,12,22,8,14,5,1,4,0,0,0,1,0,1,0,0,0,82,12,70,19,3,16,133,7,126,2,0,2,234,22,212,36.748334,-100.483056
Oklahoma,BEAVER,Beaver Police Department,OK0040200,1,0,1,5,0,5,0,0,0,0,0,0,3,0,3,0,0,0,16,0,16,8,2,6,50,2,48,4,0,4,74,4,70,36.748334,-100.483056
Oklahoma,BECKHAM,Beckham County Sheriff's Office,OK0050000,93,29,64,120,29,91,24,4,20,0,0,0,13,0,13,1,0,1,288,18,270,95,14,81,359,13,346,25,0,25,742,45,697,35.273945,-99.671638
Oklahoma,BECKHAM,Elk City Police Department,OK0050100,145,50,95,181,57,124,14,2,12,0,0,0,9,1,8,6,2,4,443,47,396,216,31,185,1896,346,1550,18,2,16,2555,424,2131,35.273945,-99.671638
