State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Oregon,BAKER,Baker County Sheriff's Office,OR0010000,59,22,37,67,23,44,6,1,5,0,0,0,3,0,3,0,0,0,159,19,140,62,13,49,396,42,354,4,0,4,617,74,543,44.791683,-117.84842
Oregon,BAKER,Baker City Police Department,OR0010100,142,57,85,237,81,156,26,7,19,0,0,0,28,4,24,4,2,2,454,58,396,143,35,108,2424,430,1994,45,7,38,3021,523,2498,44.703427,-117.691933
Oregon,BAKER,Liquor Commission: Baker County,OR001070X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oregon,BAKER,State Police: Baker County,OR001SP00,31,8,23,35,9,26,11,1,10,0,0,0,0,0,0,0,0,0,6,0,6,7,1,6,43,8,35,4,1,3,56,9,47,44.703427,-117.691933
Oregon,BENTON,Benton County Sheriff's Office,OR0020000,245,114,131,326,139,187,35,14,21,0,0,0,26,6,20,8,4,4,479,71,408,152,45,107,1166,159,1007,58,15,43,1797,275,1522,44.493882,-123.424664
Oregon,BENTON,Corvallis Police Department,OR0020100,662,273,389,1252,476,776,218,51,167,0,0,0,148,37,111,9,4,5,2002,273,1729,773,119,654,14343,2185,12158,282,77,205,17118,2577,14541,44.493882,-123.424664
Oregon,BENTON,Philomath Police Department,OR0020200,81,37,44,102,44,58,5,2,3,0,0,0,16,5,11,1,0,1,88,15,73,30,8,22,506,85,421,14,4,10,624,108,516,44.493882,-123.424664
Oregon,BENTON,Oregon State University,OR0020400,2,1,1,10,1,9,1,0,1,0,0,0,5,0,5,0,0,0,35,5,30,14,0,14,538,15,523,7,0,7,587,20,567,44.559406,-123.279564
Oregon,BENTON,Liquor Commission: Benton County,OR002050X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oregon,BENTON,State Police: Benton County,OR002SP00,29,12,17,42,14,28,8,1,7,0,0,0,3,0,3,0,0,0,54,8,46,21,4,17,1836,256,1580,8,0,8,1911,268,1643,44.493882,-123.424664
Oregon,CLACKAMAS,Clackamas County Sheriff's Office,OR0030000,2906,1050,1856,4555,1383,3172,216,48,168,0,0,0,355,28,327,52,16,36,5134,434,4700,5591,295,5296,31679,5684,25995,670,54,616,42404,6413,35991,45.32985,-122.600235
Oregon,CLACKAMAS,Canby Police Department,OR0030100,243,92,151,348,106,242,30,4,26,0,0,0,34,2,32,1,0,1,214,18,196,156,27,129,1494,178,1316,67,5,62,1864,223,1641,45.26283,-122.69416
Oregon,CLACKAMAS,Gladstone Police Department,OR0030300,142,50,92,261,66,195,45,8,37,0,0,0,45,5,40,1,0,1,287,33,254,374,33,341,1674,189,1485,83,7,76,2335,255,2080,45.380512,-122.59472
Oregon,"CLACKAMAS, MULTNOMAH, WASHINGTON",Lake Oswego Police Department,OR0030400,151,58,93,277,82,195,35,7,28,2,0,2,40,2,38,2,1,1,650,33,617,313,10,303,3247,200,3047,81,13,68,4210,243,3967,45.160493,-122.195127
Oregon,CLACKAMAS,Milwaukie Police Department,OR0030500,210,70,140,318,84,234,23,6,17,1,0,1,22,0,22,0,0,0,334,19,315,538,34,504,1672,69,1603,54,3,51,2544,122,2422,45.446583,-122.62958
Oregon,CLACKAMAS,Molalla Police Department,OR0030600,122,43,79,172,51,121,24,5,19,0,0,0,12,0,12,2,1,1,194,18,176,110,14,96,1041,146,895,31,1,30,1345,178,1167,45.160493,-122.195127
Oregon,CLACKAMAS,Oregon City Police Department,OR0030700,870,335,535,1184,412,772,109,29,80,0,0,0,102,21,81,2,1,1,662,74,588,692,60,632,5050,855,4195,158,27,131,6404,989,5415,45.160493,-122.195127
Oregon,CLACKAMAS,Sandy Police Department,OR0030800,18,6,12,30,7,23,5,1,4,0,0,0,5,0,5,0,0,0,61,2,59,43,3,40,302,28,274,9,0,9,406,33,373,45.39729,-122.26228
Oregon,CLACKAMAS,West Linn Police Department,OR0030900,132,53,79,207,65,142,14,2,12,0,0,0,24,1,23,0,0,0,264,20,244,142,1,141,1601,143,1458,49,6,43,2007,164,1843,45.361465,-122.60955
Oregon,CLACKAMAS,Liquor Commission: Clackamas County,OR0031300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oregon,CLACKAMAS,State Police: Clackamas County,OR003SP00,223,65,158,237,69,168,5,2,3,0,0,0,2,0,2,4,2,2,6,2,4,100,20,80,165,19,146,3,0,3,271,41,230,45.160493,-122.195127
Oregon,CLATSOP,Clatsop County Sheriff's Office,OR0040000,237,79,158,307,86,221,20,2,18,0,0,0,31,1,30,6,2,4,423,22,401,151,21,130,1011,51,960,49,1,48,1585,94,1491,46.024509,-123.705014
Oregon,CLATSOP,Astoria Police Department,OR0040100,394,164,230,578,214,364,53,14,39,0,0,0,57,13,44,0,0,0,676,107,569,237,41,196,2990,549,2441,89,21,68,3903,697,3206,46.1908,-123.81102
Oregon,CLATSOP,Gearhart Police Department,OR0040200,6,2,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,18,4,14,7,0,7,132,11,121,0,0,0,157,15,142,46.024509,-123.705014
Oregon,CLATSOP,Seaside Police Department,OR0040300,339,149,190,453,183,270,26,7,19,0,0,0,32,6,26,1,0,1,395,88,307,175,34,141,3247,592,2655,42,9,33,3817,714,3103,45.987007,-123.92364
Oregon,CLATSOP,Warrenton Police Department,OR0040400,115,44,71,179,68,111,13,3,10,0,0,0,4,1,3,0,0,0,151,26,125,89,17,72,2765,970,1795,15,5,10,3005,1013,1992,46.024509,-123.705014
Oregon,CLATSOP,Cannon Beach Police Department,OR0040500,15,7,8,22,8,14,1,0,1,0,0,0,1,0,1,0,0,0,89,19,70,11,4,7,222,44,178,3,0,3,322,67,255,46.024509,-123.705014
Oregon,CLATSOP,Liquor Commission: Clatsop County,OR004070X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oregon,CLATSOP,State Police: Clatsop County,OR004SP00,63,19,44,68,20,48,1,0,1,0,0,0,3,1,2,1,0,1,4,2,2,13,2,11,75,3,72,4,1,3,92,7,85,44.97398,-123.002106
Oregon,COLUMBIA,Columbia County Sheriff's Office,OR0050000,227,89,138,283,99,184,21,7,14,0,0,0,28,4,24,3,1,2,205,46,159,124,13,111,270,35,235,40,4,36,599,94,505,45.941932,-123.081079
Oregon,COLUMBIA,Rainier Police Department,OR0050200,6,2,4,16,6,10,4,1,3,0,0,0,0,0,0,4,2,2,79,9,70,53,3,50,371,41,330,2,1,1,503,53,450,45.941932,-123.081079
Oregon,COLUMBIA,St. Helens Police Department,OR0050300,311,141,170,407,160,247,28,5,23,0,0,0,45,6,39,2,1,1,282,53,229,229,48,181,1622,524,1098,70,9,61,2133,625,1508,45.860245,-122.81062
Oregon,COLUMBIA,Scappoose Police Department,OR0050400,103,45,58,146,56,90,13,5,8,0,0,0,17,5,12,0,0,0,97,23,74,107,19,88,631,169,462,32,8,24,835,211,624,45.757698,-122.876335
Oregon,COLUMBIA,Vernonia Police Department,OR0050500,33,10,23,36,10,26,3,1,2,0,0,0,1,0,1,0,0,0,28,6,22,16,1,15,70,5,65,3,0,3,114,12,102,45.85872,-123.19655
Oregon,COLUMBIA,Columbia City Police Department,OR0050600,10,4,6,12,4,8,0,0,0,0,0,0,2,0,2,0,0,0,12,1,11,16,1,15,69,2,67,2,0,2,97,4,93,45.941932,-123.081079
Oregon,COLUMBIA,Liquor Commission: Columbia County,OR005070X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Oregon,COLUMBIA,State Police: Columbia County,OR005SP00,76,33,43,84,36,48,7,2,5,0,0,0,0,0,0,5,2,3,1,0,1,13,2,11,64,13,51,1,0,1,78,15,63,45.941932,-123.081079
Oregon,COOS,Coos County Sheriff's Office,OR0060000,220,89,131,312,115,197,42,13,29,0,0,0,30,6,24,11,5,6,1196,255,941,504,121,383,2619,514,2105,33,3,30,4319,890,3429,43.176422,-124.18691
Oregon,COOS,Bandon Police Department,OR0060100,10,1,9,14,1,13,2,0,2,0,0,0,1,0,1,0,0,0,56,5,51,26,1,25,266,5,261,2,0,2,348,11,337,43.184193,-124.092557
Oregon,COOS,Coos Bay Police Department,OR0060200,654,274,380,989,386,603,125,24,101,0,0,0,105,28,77,9,4,5,1689,387,1302,681,123,558,7024,1385,5639,138,36,102,9394,1895,7499,43.184193,-124.092557
Oregon,COOS,Coquille Police Department,OR0060300,134,61,73,160,72,88,10,4,6,0,0,0,8,3,5,2,1,1,114,30,84,58,14,44,485,119,366,9,3,6,657,163,494,43.18247,-124.188934
Oregon,COOS,Myrtle Point Police Department,OR0060500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.064182,-124.14212
Oregon,COOS,North Bend Police Department,OR0060600,133,49,84,201,68,133,45,11,34,0,0,0,4,0,4,5,1,4,512,54,458,279,37,242,2977,415,2562,22,3,19,3768,506,3262,43.184193,-124.092557
Oregon,COOS,Liquor Commission: Coos County,OR006090X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
