State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Utah,BEAVER,Beaver County Sheriff's Office,UT0010000,41,18,23,72,24,48,8,4,4,0,0,0,10,2,8,7,3,4,194,17,177,78,17,61,562,32,530,20,3,17,834,66,768,38.357535,-113.238948
Utah,BOX ELDER,Box Elder County Sheriff's Office,UT0020000,93,31,62,139,34,105,0,0,0,3,0,3,10,1,9,2,0,2,304,9,295,124,13,111,892,63,829,36,3,33,1320,85,1235,41.476021,-113.052922
Utah,BOX ELDER,Brigham City Police Department,UT0020100,233,76,157,357,91,266,31,11,20,7,1,6,46,4,42,2,1,1,807,41,766,240,27,213,2321,269,2052,97,9,88,3368,337,3031,41.51066,-112.01571
Utah,BOX ELDER,Mantua Police Department,UT0020700,4,2,2,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0,11,1,10,1,0,1,19,0,19,1,0,1,31,1,30,41.503468,-111.94297
Utah,BOX ELDER,Willard Police Department,UT0020800,22,7,15,25,8,17,3,1,2,1,0,1,0,0,0,2,1,1,82,4,78,17,1,16,138,18,120,1,0,1,237,23,214,41.476021,-113.052922
Utah,BOX ELDER,Perry Police Department,UT0021200,36,14,22,62,18,44,8,1,7,8,0,8,9,1,8,0,0,0,102,6,96,48,7,41,873,245,628,16,1,15,1023,258,765,41.455368,-112.04454
Utah,BOX ELDER,Tremonton Garland,UT0021700,19,6,13,46,9,37,2,0,2,12,0,12,24,3,21,0,0,0,121,6,115,53,9,44,376,25,351,27,3,24,550,40,510,,
Utah,CACHE,Cache County Sheriff's Office,UT0030000,298,145,153,530,241,289,22,9,13,0,0,0,52,19,33,4,2,2,434,120,314,354,148,206,1751,572,1179,198,79,119,2539,840,1699,41.734225,-111.744581
Utah,CACHE,Logan Police Department,UT0030100,615,281,334,1035,417,618,31,8,23,0,0,0,253,75,178,14,6,8,1072,198,874,491,168,323,6591,1754,4837,363,111,252,8154,2120,6034,41.68679,-111.82526
Utah,CACHE,North Park Police Department,UT0031000,32,15,17,127,54,73,2,0,2,0,0,0,28,12,16,3,1,2,207,43,164,111,15,96,1674,537,1137,79,31,48,1992,595,1397,41.734225,-111.744581
Utah,CACHE,Smithfield Police Department,UT0031400,10,3,7,38,9,29,1,0,1,0,0,0,10,3,7,3,2,1,61,3,58,21,4,17,165,27,138,19,3,16,247,34,213,41.734225,-111.744581
Utah,CACHE,Utah State University: Logan,UT0031600,3,1,2,24,5,19,3,0,3,0,0,0,15,3,12,0,0,0,27,3,24,9,2,7,294,44,250,19,3,16,330,49,281,41.734225,-111.744581
Utah,NOT SPECIFIED,Cache-Rich Drug Task Force,UT0032000,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,31,14,17,0,0,0,36,16,20,41.68679,-111.82526
Utah,CARBON,Carbon County Sheriff's Office,UT0040000,137,56,81,168,58,110,6,2,4,0,0,0,18,0,18,0,0,0,200,29,171,50,10,40,532,68,464,24,0,24,782,107,675,39.599594,-110.815056
Utah,CARBON,Price Police Department,UT0040100,186,86,100,245,99,146,8,3,5,0,0,0,23,5,18,0,0,0,439,76,363,49,13,36,3030,1174,1856,48,9,39,3518,1263,2255,39.61533,-110.79992
Utah,CARBON,Helper Police Department,UT0040300,32,15,17,44,17,27,2,0,2,0,0,0,6,1,5,0,0,0,71,7,64,16,3,13,243,48,195,12,2,10,330,58,272,39.673264,-110.588435
Utah,CARBON,Wellington Police Department,UT0040700,5,2,3,7,2,5,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,6,2,4,2,0,2,7,2,5,39.673264,-110.588435
Utah,CARBON,East Carbon Police Department,UT0040900,20,5,15,20,5,15,0,0,0,0,0,0,0,0,0,0,0,0,28,1,27,3,1,2,89,4,85,0,0,0,120,6,114,39.673264,-110.588435
Utah,CARBON,Utah State University: Eastern,UT0041300,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,93,9,84,6,1,5,100,9,91,39.606674,-110.80366
Utah,DAGGETT,Daggett County Sheriff's Office,UT0050000,2,1,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,10,1,0,1,30,3,27,1,0,1,42,4,38,40.890099,-109.505785
