State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Virginia,ACCOMACK,Accomack County Sheriff's Office,VA0010000,528,170,358,884,281,603,11,4,7,10,4,6,77,22,55,58,21,37,700,94,606,160,39,121,2082,344,1738,169,57,112,2942,477,2465,37.765944,-75.757807
Virginia,ACCOMACK,Chincoteague Police Department,VA0010100,49,23,26,83,36,47,3,1,2,0,0,0,16,6,10,2,1,1,62,12,50,36,12,24,408,89,319,26,10,16,506,113,393,37.765944,-75.757807
Virginia,ACCOMACK,Onancock Police Department,VA0010200,17,3,14,41,10,31,1,0,1,0,0,0,3,0,3,0,0,0,56,11,45,18,6,12,193,34,159,12,2,10,267,51,216,37.713074,-75.74851
Virginia,ACCOMACK,Parksley Police Department,VA0010300,11,4,7,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,7,1,6,41,9,32,0,0,0,54,11,43,37.765944,-75.757807
Virginia,ACCOMACK,Tangier Police Department,VA0010400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.765944,-75.757807
Virginia,ACCOMACK,Onley Police Department,VA0010500,7,2,5,13,4,9,0,0,0,0,0,0,0,0,0,2,1,1,8,1,7,8,2,6,160,39,121,1,0,1,176,42,134,37.765944,-75.757807
Virginia,ACCOMACK,State Police: Accomack County,VA001SP00,129,53,76,147,60,87,29,5,24,3,0,3,9,3,6,8,3,5,14,2,12,21,6,15,84,10,74,10,4,6,119,18,101,37.765944,-75.757807
Virginia,ALBEMARLE,University of Virginia,VA0020100,79,20,59,187,35,152,2,0,2,0,0,0,60,7,53,3,0,3,99,6,93,128,3,125,1360,57,1303,88,12,76,1587,66,1521,38.04681,-78.52244
Virginia,ALBEMARLE,Albemarle County Police Department,VA0020300,810,322,488,1390,465,925,52,7,45,0,0,0,176,32,144,34,14,20,1235,195,1040,734,127,607,11873,2094,9779,383,82,301,13842,2416,11426,38.024184,-78.553506
Virginia,ALBEMARLE,State Police: Albemarle County,VA002SP00,31,12,19,42,17,25,0,0,0,1,0,1,0,0,0,11,5,6,1,0,1,12,4,8,20,2,18,0,0,0,33,6,27,38.024184,-78.553506
