State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Washington,ADAMS,Adams County Sheriff's Office,WA0010000,218,93,125,318,131,187,20,4,16,0,0,0,40,16,24,11,5,6,632,88,544,274,49,225,901,62,839,56,22,34,1807,199,1608,47.12731,-118.38182
Washington,ADAMS,Othello Police Department,WA0010100,114,49,65,169,65,104,11,2,9,0,0,0,21,7,14,2,1,1,299,41,258,310,60,250,1296,235,1061,30,9,21,1905,336,1569,46.826157,-119.16781
Washington,ADAMS,Ritzville Police Department,WA0010200,13,5,8,21,6,15,3,1,2,0,0,0,5,1,4,1,0,1,199,15,184,32,2,30,486,36,450,7,1,6,717,53,664,47.12628,-118.38172
Washington,ASOTIN,Asotin County Sheriff's Office,WA0020000,137,53,84,183,57,126,4,2,2,0,0,0,22,1,21,3,1,2,336,42,294,117,7,110,796,21,775,32,1,31,1249,70,1179,46.181861,-117.227781
Washington,ASOTIN,Clarkston Police Department,WA0020100,180,65,115,281,88,193,25,5,20,0,0,0,31,3,28,8,4,4,580,128,452,113,10,103,3171,709,2462,51,7,44,3864,847,3017,46.181861,-117.227781
Washington,ASOTIN,Asotin Police Department,WA0020200,4,2,2,5,2,3,0,0,0,0,0,0,1,0,1,0,0,0,12,1,11,4,0,4,87,3,84,1,0,1,103,4,99,46.181861,-117.227781
Washington,BENTON,Benton County Sheriff's Office,WA0030000,821,356,465,1035,432,603,46,8,38,0,0,0,70,21,49,29,13,16,1260,198,1062,490,52,438,2888,357,2531,129,44,85,4638,607,4031,46.22202,-119.220474
Washington,BENTON,Kennewick Police Department,WA0030100,1801,681,1120,2970,1078,1892,217,32,185,13,3,10,378,127,251,43,19,24,3790,625,3165,2274,199,2075,19820,3858,15962,574,199,375,25884,4682,21202,46.20264,-119.120224
Washington,BENTON,Richland Police Department,WA0030200,1246,564,682,1816,759,1057,69,17,52,8,1,7,246,79,167,18,7,11,2294,462,1832,918,121,797,12413,2778,9635,361,121,240,15625,3361,12264,46.278522,-119.27373
Washington,BENTON,Prosser Police Department,WA0030300,115,44,71,141,55,86,7,1,6,0,0,0,5,2,3,0,0,0,260,37,223,117,4,113,854,140,714,8,3,5,1231,181,1050,46.206696,-119.7692
Washington,BENTON,West Richland Police Department,WA0030500,144,69,75,215,97,118,10,3,7,1,0,1,39,16,23,2,1,1,345,55,290,80,8,72,1052,181,871,56,22,34,1477,244,1233,46.296875,-119.33727
Washington,CHELAN,Chelan County Sheriff's Office,WA0040000,442,205,237,519,233,286,12,5,7,0,0,0,45,17,28,9,4,5,1268,145,1123,303,45,258,2416,375,2041,53,20,33,3987,565,3422,47.42257,-120.3168
Washington,CHELAN,Wenatchee Police Department,WA0040400,637,283,354,1001,407,594,65,14,51,2,1,1,136,41,95,10,4,6,1227,260,967,602,90,512,6770,1206,5564,207,63,144,8599,1556,7043,47.860831,-120.618822
Washington,CLALLAM,Clallam County Sheriff's Office,WA0050000,652,286,366,909,362,547,34,9,25,0,0,0,112,31,81,19,9,10,1588,233,1355,347,59,288,3715,765,2950,180,47,133,5650,1057,4593,48.114964,-123.432274
Washington,CLALLAM,Port Angeles Police Department,WA0050100,1059,455,604,1506,561,945,63,14,49,1,1,0,167,25,142,14,6,8,1384,218,1166,531,59,472,5446,779,4667,273,43,230,7361,1056,6305,48.113876,-123.432556
Washington,CLALLAM,Forks Police Department,WA0050200,70,31,39,89,36,53,5,2,3,0,0,0,6,1,5,0,0,0,91,18,73,20,5,15,465,151,314,13,2,11,576,174,402,48.110903,-123.88986
Washington,CLALLAM,Sequim Police Department,WA0050300,171,79,92,239,95,144,7,3,4,0,0,0,38,7,31,2,0,2,427,105,322,121,18,103,2679,831,1848,49,9,40,3227,954,2273,48.110903,-123.88986
Washington,NOT SPECIFIED,Hoh Tribal,WA0050500,3,0,3,3,0,3,1,0,1,0,0,0,0,0,0,0,0,0,9,2,7,0,0,0,8,1,7,0,0,0,17,3,14,48.023865,-122.76447
Washington,CLARK,Clark County Sheriff's Office,WA0060000,2368,833,1535,3616,1024,2592,201,35,166,4,1,3,435,28,407,46,17,29,4566,574,3992,5001,231,4770,14331,1327,13004,716,45,671,23898,2132,21766,45.771674,-122.485903
Washington,CLARK,Battle Ground Police Department,WA0060100,210,86,124,360,128,232,22,3,19,0,0,0,68,21,47,10,4,6,419,86,333,284,28,256,3126,748,2378,98,23,75,3829,862,2967,45.780037,-122.54341
Washington,CLARK,Camas Police Department,WA0060200,74,28,46,146,39,107,18,2,16,0,0,0,33,4,29,2,1,1,446,41,405,243,19,224,1960,180,1780,56,7,49,2649,240,2409,45.58757,-122.38522
Washington,CLARK,Vancouver Police Department,WA0060300,6122,1794,4328,9313,2343,6970,501,66,435,15,2,13,917,88,829,61,13,48,9113,1114,7999,11462,490,10972,39501,2808,36693,1273,121,1152,60076,4412,55664,45.771674,-122.485903
Washington,CLARK,Washougal Police Department,WA0060400,231,86,145,390,117,273,23,4,19,0,0,0,75,11,64,7,2,5,355,56,299,235,18,217,1807,250,1557,113,18,95,2397,324,2073,45.577847,-122.357635
Washington,CLARK,Ridgefield Police Department,WA0060500,78,33,45,105,37,68,14,3,11,0,0,0,13,2,11,0,0,0,214,26,188,89,4,85,838,99,739,21,2,19,1141,129,1012,45.771674,-122.485903
Washington,CLARK,La Center Police Department,WA0060600,41,17,24,51,21,30,10,3,7,0,0,0,6,3,3,0,0,0,77,8,69,55,3,52,301,28,273,6,3,3,433,39,394,45.771674,-122.485903
