State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
West Virginia,BARBOUR,Barbour County Sheriff's Office,WV0010000,247,88,159,259,90,169,3,1,2,0,0,0,4,0,4,4,1,3,36,5,31,15,1,14,89,10,79,6,0,6,140,16,124,39.151608,-80.03847
West Virginia,BARBOUR,Belington Police Department,WV0010100,49,24,25,50,24,26,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,0,0,0,14,5,9,1,0,1,27,10,17,39.139725,-79.996947
West Virginia,BARBOUR,Philippi Police Department,WV0010200,233,61,172,253,66,187,0,0,0,0,0,0,13,3,10,0,0,0,51,4,47,10,3,7,144,25,119,19,5,14,205,32,173,39.139725,-79.996947
West Virginia,BARBOUR,Department of Natural Resources: Barbour County,WV0010300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1,1,39.139725,-79.996947
West Virginia,BARBOUR,State Fire Marshal: Barbour County,WV0010600,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.34613,-81.63015
West Virginia,BERKELEY,Berkeley County Sheriff's Office,WV0020000,657,214,443,891,253,638,32,7,25,10,3,7,91,6,85,30,11,19,900,69,831,196,30,166,3183,385,2798,139,15,124,4279,484,3795,39.45025,-77.96581
West Virginia,BERKELEY,Martinsburg Police Department,WV0020100,588,249,339,812,308,504,46,14,32,0,0,0,61,11,50,10,4,6,467,72,395,109,19,90,5967,2173,3794,93,17,76,6543,2264,4279,39.459187,-77.963066
West Virginia,BERKELEY,Department of Natural Resources: Berkeley County,WV0020200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,6,3,3,39.448053,-78.037807
West Virginia,BERKELEY,State Fire Marshal: Berkeley County,WV0020300,0,0,0,0,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.34613,-81.63015
West Virginia,BERKELEY,Eastern Panhandle Drug and Violent Crime Task Force,WV0020600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.448053,-78.037807
West Virginia,BOONE,Boone County Sheriff's Office,WV0030000,76,24,52,88,26,62,12,3,9,0,0,0,6,2,4,2,0,2,86,3,83,36,5,31,133,10,123,9,2,7,255,18,237,38.06635,-81.819725
West Virginia,BOONE,Madison Police Department,WV0030100,41,11,30,49,13,36,8,1,7,1,0,1,2,1,1,2,1,1,93,17,76,29,2,27,191,25,166,4,1,3,313,44,269,38.059093,-81.820404
West Virginia,BOONE,Whitesville Police Department,WV0030200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.022838,-81.713314
West Virginia,BOONE,Department of Natural Resources: Boone County,WV0030300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.756214,-81.215546
West Virginia,BOONE,Danville Police Department,WV0030500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.022838,-81.713314
West Virginia,BOONE,Sylvester Police Department,WV0030600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.022838,-81.713314
West Virginia,BOONE,State Fire Marshal: Boone County,WV0030700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.34613,-81.63015
West Virginia,BRAXTON,Braxton County Sheriff's Office,WV0040000,91,43,48,93,43,50,0,0,0,0,0,0,0,0,0,2,0,2,30,7,23,9,4,5,65,23,42,0,0,0,104,34,70,38.699302,-80.731649
West Virginia,BRAXTON,Gassaway Police Department,WV0040100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4,2,2,0,0,0,6,3,3,38.699302,-80.731649
West Virginia,BRAXTON,Sutton Police Department,WV0040200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.699302,-80.731649
West Virginia,BRAXTON,Burnsville Police Department,WV0040300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.699302,-80.731649
West Virginia,BRAXTON,Department of Natural Resources: Braxton County,WV0040400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.699302,-80.731649
West Virginia,BRAXTON,State Fire Marshal: Braxton County,WV0040700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.699302,-80.731649
West Virginia,BROOKE,Brooke County Sheriff's Office,WV0050000,38,15,23,56,21,35,12,5,7,0,0,0,9,2,7,2,1,1,122,20,102,30,7,23,196,44,152,13,4,9,348,71,277,40.269424,-80.61393
West Virginia,BROOKE,Follansbee Police Department,WV0050100,2,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,14,5,9,7,3,4,37,10,27,0,0,0,58,18,40,40.272645,-80.578691
West Virginia,BROOKE,Wellsburg Police Department,WV0050200,12,6,6,21,10,11,6,2,4,0,0,0,0,0,0,2,1,1,48,15,33,18,7,11,211,82,129,0,0,0,277,104,173,40.272645,-80.578691
West Virginia,BROOKE,Department of Natural Resources: Brooke County,WV0050300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.272645,-80.578691
West Virginia,BROOKE,Bethany Police Department,WV0050500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.272645,-80.578691
West Virginia,BROOKE,State Fire Marshal: Brooke County,WV0050700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.34613,-81.63015
West Virginia,BROOKE,Beech Bottom Police Department,WV0050800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,7,2,5,0,0,0,10,3,7,40.272645,-80.578691
West Virginia,BROOKE,Windsor Heights,WV0050900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.272645,-80.578691
