State,County,Agency,Ori,total aggravated-assault crimes (2015-2023),total aggravated-assault cleared crimes (2015-2023),total aggravated-assault actual crimes (2015-2023),total violent-crime crimes (2015-2023),total violent-crime cleared crimes (2015-2023),total violent-crime actual crimes (2015-2023),total arson crimes (2015-2023),total arson cleared crimes (2015-2023),total arson actual crimes (2015-2023),total human-trafficing crimes (2015-2023),total human-trafficing cleared crimes (2015-2023),total human-trafficing actual crimes (2015-2023),total rape-legacy crimes (2015-2023),total rape-legacy cleared crimes (2015-2023),total rape-legacy actual crimes (2015-2023),total homicide crimes (2015-2023),total homicide cleared crimes (2015-2023),total homicide actual crimes (2015-2023),total burglary crimes (2015-2023),total burglary cleared crimes (2015-2023),total burglary actual crimes (2015-2023),total motor-vehicle-theft crimes (2015-2023),total motor-vehicle-theft cleared crimes (2015-2023),total motor-vehicle-theft actual crimes (2015-2023),total larceny crimes (2015-2023),total larceny cleared crimes (2015-2023),total larceny actual crimes (2015-2023),total rape crimes (2015-2023),total rape cleared crimes (2015-2023),total rape actual crimes (2015-2023),total property-crime crimes (2015-2023),total property-crime cleared crimes (2015-2023),total property-crime actual crimes (2015-2023),Latitude,Longitude
Wyoming,ALBANY,Albany County Sheriff's Office,WY0010000,114,49,65,124,50,74,4,2,2,1,0,1,3,0,3,1,0,1,108,4,104,34,11,23,253,19,234,7,0,7,395,34,361,41.31085,-105.59061
Wyoming,ALBANY,Laramie Police Department,WY0010100,395,169,226,550,190,360,33,4,29,3,0,3,54,8,46,6,3,3,525,53,472,154,18,136,3165,540,2625,132,14,118,3844,611,3233,41.665514,-105.721883
Wyoming,ALBANY,University of Wyoming,WY0010200,13,6,7,14,6,8,0,0,0,0,0,0,1,0,1,0,0,0,46,5,41,6,0,6,664,43,621,1,0,1,716,48,668,41.665514,-105.721883
Wyoming,BIG HORN,Big Horn County Sheriff's Office,WY0020000,32,15,17,44,17,27,5,2,3,0,0,0,0,0,0,0,0,0,35,4,31,10,2,8,106,10,96,12,2,10,151,16,135,44.525654,-107.99332
Wyoming,BIG HORN,Basin Police Department,WY0020100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.525654,-107.99332
Wyoming,BIG HORN,Lovell Police Department,WY0020200,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,3,0,3,44.836075,-108.38599
Wyoming,BIG HORN,Greybull Police Department,WY0020300,51,20,31,55,21,34,0,0,0,0,0,0,0,0,0,0,0,0,29,7,22,9,2,7,48,8,40,2,0,2,86,17,69,44.525654,-107.99332
Wyoming,CAMPBELL,Campbell County Sheriff's Office,WY0030000,897,441,456,1035,487,548,15,5,10,0,0,0,26,6,20,12,5,7,314,83,231,156,55,101,920,261,659,123,39,84,1390,399,991,44.27725,-105.5098
Wyoming,CAMPBELL,Gillette Police Department,WY0030100,636,271,365,782,304,478,16,2,14,0,0,0,59,8,51,8,3,5,654,113,541,329,77,252,5845,1506,4339,102,18,84,6828,1696,5132,44.192361,-105.516978
Wyoming,CARBON,Carbon County Sheriff's Office,WY0040000,85,38,47,98,44,54,4,2,2,0,0,0,0,0,0,0,0,0,25,6,19,14,5,9,125,18,107,12,5,7,164,29,135,41.70359,-106.933153
