State,County,Agritourism operations (% change) 2007 - 12 (PCH_AGRITRSM_OPS_07_12),Units,FIPS,FID
Alabama,Autauga,42.857142857142854,% change,1001.0,5
Alabama,Baldwin,-11.11111111111111,% change,1003.0,20
Alabama,Barbour,18.51851851851852,% change,1005.0,25
Alabama,Bibb,20.0,% change,1007.0,29
Alabama,Blount,-20.0,% change,1009.0,33
Alabama,Bullock,-27.77777777777778,% change,1011.0,37
Alabama,Butler,0.0,% change,1013.0,39
Alabama,Calhoun,125.0,% change,1015.0,43
Alabama,Chambers,-22.22222222222222,% change,1017.0,47
Alabama,Cherokee,-23.076923076923077,% change,1019.0,51
Alabama,Chilton,-63.63636363636363,% change,1021.0,56
Alabama,Choctaw,nan,% change,1023.0,58
Alabama,Clarke,25.0,% change,1025.0,61
Alabama,Clay,900.0,% change,1027.0,65
Alabama,Cleburne,100.0,% change,1029.0,67
Alabama,Coffee,225.0,% change,1031.0,70
Alabama,Colbert,-70.0,% change,1033.0,73
Alabama,Conecuh,0.0,% change,1035.0,80
Alabama,Coosa,-57.14285714285714,% change,1037.0,82
Alabama,Covington,-37.5,% change,1039.0,88
Alabama,Crenshaw,-81.81818181818183,% change,1041.0,90
Alabama,Cullman,0.0,% change,1043.0,98
Alabama,Dale,-9.090909090909092,% change,1045.0,101
Alabama,Dallas,113.63636363636364,% change,1047.0,110
Alabama,DeKalb,42.857142857142854,% change,1049.0,112
Alabama,Elmore,75.0,% change,1051.0,118
Alabama,Escambia,-66.66666666666666,% change,1053.0,122
Alabama,Etowah,400.0,% change,1055.0,131
Alabama,Fayette,0.0,% change,1057.0,134
Alabama,Franklin,-85.71428571428571,% change,1059.0,138
Alabama,Geneva,100.0,% change,1061.0,140
Alabama,Greene,66.66666666666666,% change,1063.0,148
Alabama,Hale,44.44444444444444,% change,1065.0,150
Alabama,Henry,-50.0,% change,1067.0,158
Alabama,Houston,75.0,% change,1069.0,160
Alabama,Jackson,27.27272727272727,% change,1071.0,164
Alabama,Jefferson,nan,% change,1073.0,171
Alabama,Lamar,25.0,% change,1075.0,174
Alabama,Lauderdale,-12.5,% change,1077.0,176
Alabama,Lawrence,533.3333333333333,% change,1079.0,181
Alabama,Lee,-46.666666666666664,% change,1081.0,187
Alabama,Limestone,-77.77777777777779,% change,1083.0,197
Alabama,Lowndes,100.0,% change,1085.0,205
Alabama,Macon,133.33333333333331,% change,1087.0,210
Alabama,Madison,250.0,% change,1089.0,217
Alabama,Marengo,114.28571428571428,% change,1091.0,220
Alabama,Marion,0.0,% change,1093.0,224
Alabama,Marshall,9.090909090909092,% change,1095.0,231
Alabama,Mobile,-44.44444444444444,% change,1097.0,240
Alabama,Monroe,-42.857142857142854,% change,1099.0,250
Alabama,Montgomery,35.294117647058826,% change,1101.0,256
Alabama,Morgan,-14.285714285714285,% change,1103.0,262
Alabama,Perry,73.33333333333333,% change,1105.0,264
Alabama,Pickens,360.0,% change,1107.0,273
Alabama,Pike,-14.285714285714285,% change,1109.0,279
Alabama,Randolph,350.0,% change,1111.0,284
Alabama,Russell,44.44444444444444,% change,1113.0,288
Alabama,St. Clair,0.0,% change,1115.0,292
Alabama,Shelby,1000.0,% change,1117.0,298
Alabama,Sumter,100.0,% change,1119.0,303
Alabama,Talladega,160.0,% change,1121.0,306
Alabama,Tallapoosa,33.33333333333333,% change,1123.0,308
Alabama,Tuscaloosa,300.0,% change,1125.0,313
Alabama,Walker,-83.33333333333334,% change,1127.0,317
Alabama,Washington,50.0,% change,1129.0,319
Alabama,Wilcox,28.57142857142857,% change,1131.0,326
Alabama,Winston,-42.857142857142854,% change,1133.0,332
Alaska,Aleutians East,nan,% change,2013.0,346
Alaska,Aleutians West,nan,% change,2016.0,381
Alaska,Anchorage,90.0,% change,2020.0,400
Alaska,Bethel,nan,% change,2050.0,411
Alaska,Bristol Bay,nan,% change,2060.0,423
Alaska,Denali,nan,% change,2068.0,426
Alaska,Dillingham,nan,% change,2070.0,445
Alaska,Fairbanks North Star,0.0,% change,2090.0,454
Alaska,Haines,nan,% change,2100.0,462
Alaska,Hoonah-Angoon,nan,% change,2105.0,476
Alaska,Juneau,25.0,% change,2110.0,482
Alaska,Kenai Peninsula,60.0,% change,2122.0,494
Alaska,Ketchikan Gateway,nan,% change,2130.0,514
Alaska,Kodiak Island,nan,% change,2150.0,533
Alaska,Lake and Peninsula,nan,% change,2164.0,544
Alaska,Matanuska-Susitna,nan,% change,2170.0,556
Alaska,Nome,nan,% change,2180.0,571
Alaska,North Slope,nan,% change,2185.0,614
Alaska,Northwest Arctic,nan,% change,2188.0,638
Alaska,Petersburg,nan,% change,2195.0,645
Alaska,Prince of Wales-Hyder,nan,% change,2198.0,669
Alaska,Sitka,nan,% change,2220.0,679
Alaska,Skagway,nan,% change,2230.0,683
Alaska,Southeast Fairbanks,nan,% change,2240.0,690
Alaska,Valdez-Cordova,nan,% change,2261.0,710
Alaska,Wade Hampton,nan,% change,2270.0,725
Alaska,Wrangell,nan,% change,2275.0,733
Alaska,Yakutat,nan,% change,2282.0,744
Alaska,Yukon-Koyukuk,nan,% change,2290.0,753
Arizona,Apache,94.11764705882352,% change,4001.0,761
Arizona,Cochise,153.33333333333334,% change,4003.0,763
Arizona,Coconino,14.285714285714285,% change,4005.0,771
Arizona,Gila,300.0,% change,4007.0,787
Arizona,Graham,0.0,% change,4009.0,0
Arizona,Greenlee,700.0,% change,4011.0,1
Arizona,La Paz,nan,% change,4012.0,3
Arizona,Maricopa,1166.6666666666665,% change,4013.0,9
Arizona,Mohave,16.666666666666664,% change,4015.0,15
Arizona,Navajo,62.5,% change,4017.0,17
Arizona,Pima,283.33333333333337,% change,4019.0,21
Arizona,Pinal,1250.0,% change,4021.0,26
Arizona,Santa Cruz,166.66666666666669,% change,4023.0,32
Arizona,Yavapai,-18.181818181818183,% change,4025.0,35
Arizona,Yuma,nan,% change,4027.0,42
Arkansas,Arkansas,-20.0,% change,5001.0,46
Arkansas,Ashley,-25.0,% change,5003.0,50
Arkansas,Baxter,-42.857142857142854,% change,5005.0,54
Arkansas,Benton,33.33333333333333,% change,5007.0,59
Arkansas,Boone,-60.0,% change,5009.0,62
Arkansas,Bradley,nan,% change,5011.0,68
Arkansas,Calhoun,-50.0,% change,5013.0,72
Arkansas,Carroll,20.0,% change,5015.0,74
Arkansas,Chicot,-80.0,% change,5017.0,77
Arkansas,Clark,-50.0,% change,5019.0,86
Arkansas,Clay,50.0,% change,5021.0,93
Arkansas,Cleburne,40.0,% change,5023.0,97
Arkansas,Cleveland,nan,% change,5025.0,103
Arkansas,Columbia,nan,% change,5027.0,107
Arkansas,Conway,900.0,% change,5029.0,109
Arkansas,Craighead,-100.0,% change,5031.0,114
Arkansas,Crawford,766.6666666666667,% change,5033.0,115
Arkansas,Crittenden,-83.33333333333334,% change,5035.0,119
Arkansas,Cross,0.0,% change,5037.0,124
Arkansas,Dallas,nan,% change,5039.0,128
Arkansas,Desha,0.0,% change,5041.0,130
Arkansas,Drew,-25.0,% change,5043.0,136
Arkansas,Faulkner,116.66666666666667,% change,5045.0,141
Arkansas,Franklin,nan,% change,5047.0,144
Arkansas,Fulton,-71.42857142857143,% change,5049.0,146
Arkansas,Garland,nan,% change,5051.0,151
Arkansas,Grant,0.0,% change,5053.0,155
Arkansas,Greene,-100.0,% change,5055.0,162
Arkansas,Hempstead,200.0,% change,5057.0,172
Arkansas,Hot Spring,-40.0,% change,5059.0,184
Arkansas,Howard,nan,% change,5061.0,191
Arkansas,Independence,0.0,% change,5063.0,200
Arkansas,Izard,33.33333333333333,% change,5065.0,203
Arkansas,Jackson,nan,% change,5067.0,209
Arkansas,Jefferson,-11.11111111111111,% change,5069.0,213
