State,County,Agritourism receipts 2007 (AGRITRSM_RCT07),Units,FIPS,FID
Alabama,Autauga,228000.0,Dollars,1001.0,5
Alabama,Baldwin,124000.0,Dollars,1003.0,20
Alabama,Barbour,163000.0,Dollars,1005.0,25
Alabama,Bibb,nan,Dollars,1007.0,29
Alabama,Blount,293000.0,Dollars,1009.0,33
Alabama,Bullock,116000.0,Dollars,1011.0,37
Alabama,Butler,97000.0,Dollars,1013.0,39
Alabama,Calhoun,7000.0,Dollars,1015.0,43
Alabama,Chambers,89000.0,Dollars,1017.0,47
Alabama,Cherokee,102000.0,Dollars,1019.0,51
Alabama,Chilton,59000.0,Dollars,1021.0,56
Alabama,Choctaw,0.0,Dollars,1023.0,58
Alabama,Clarke,23000.0,Dollars,1025.0,61
Alabama,Clay,nan,Dollars,1027.0,65
Alabama,Cleburne,nan,Dollars,1029.0,67
Alabama,Coffee,8000.0,Dollars,1031.0,70
Alabama,Colbert,17000.0,Dollars,1033.0,73
Alabama,Conecuh,104000.0,Dollars,1035.0,80
Alabama,Coosa,57000.0,Dollars,1037.0,82
Alabama,Covington,153000.0,Dollars,1039.0,88
Alabama,Crenshaw,26000.0,Dollars,1041.0,90
Alabama,Cullman,27000.0,Dollars,1043.0,98
Alabama,Dale,29000.0,Dollars,1045.0,101
Alabama,Dallas,257000.0,Dollars,1047.0,110
Alabama,DeKalb,45000.0,Dollars,1049.0,112
Alabama,Elmore,nan,Dollars,1051.0,118
Alabama,Escambia,43000.0,Dollars,1053.0,122
Alabama,Etowah,nan,Dollars,1055.0,131
Alabama,Fayette,nan,Dollars,1057.0,134
Alabama,Franklin,nan,Dollars,1059.0,138
Alabama,Geneva,77000.0,Dollars,1061.0,140
Alabama,Greene,nan,Dollars,1063.0,148
Alabama,Hale,149000.0,Dollars,1065.0,150
Alabama,Henry,27000.0,Dollars,1067.0,158
Alabama,Houston,243000.0,Dollars,1069.0,160
Alabama,Jackson,82000.0,Dollars,1071.0,164
Alabama,Jefferson,0.0,Dollars,1073.0,171
Alabama,Lamar,25000.0,Dollars,1075.0,174
Alabama,Lauderdale,32000.0,Dollars,1077.0,176
Alabama,Lawrence,11000.0,Dollars,1079.0,181
Alabama,Lee,133000.0,Dollars,1081.0,187
Alabama,Limestone,59000.0,Dollars,1083.0,197
Alabama,Lowndes,106000.0,Dollars,1085.0,205
Alabama,Macon,nan,Dollars,1087.0,210
Alabama,Madison,nan,Dollars,1089.0,217
Alabama,Marengo,28000.0,Dollars,1091.0,220
Alabama,Marion,10000.0,Dollars,1093.0,224
Alabama,Marshall,125000.0,Dollars,1095.0,231
Alabama,Mobile,110000.0,Dollars,1097.0,240
Alabama,Monroe,16000.0,Dollars,1099.0,250
Alabama,Montgomery,129000.0,Dollars,1101.0,256
Alabama,Morgan,139000.0,Dollars,1103.0,262
Alabama,Perry,426000.0,Dollars,1105.0,264
Alabama,Pickens,120000.0,Dollars,1107.0,273
Alabama,Pike,106000.0,Dollars,1109.0,279
Alabama,Randolph,nan,Dollars,1111.0,284
Alabama,Russell,145000.0,Dollars,1113.0,288
Alabama,St. Clair,73000.0,Dollars,1115.0,292
Alabama,Shelby,nan,Dollars,1117.0,298
Alabama,Sumter,485000.0,Dollars,1119.0,303
Alabama,Talladega,108000.0,Dollars,1121.0,306
Alabama,Tallapoosa,nan,Dollars,1123.0,308
Alabama,Tuscaloosa,43000.0,Dollars,1125.0,313
Alabama,Walker,10000.0,Dollars,1127.0,317
Alabama,Washington,61000.0,Dollars,1129.0,319
Alabama,Wilcox,185000.0,Dollars,1131.0,326
Alabama,Winston,2000.0,Dollars,1133.0,332
Alaska,Aleutians East,nan,Dollars,2013.0,346
Alaska,Aleutians West,nan,Dollars,2016.0,381
Alaska,Anchorage,nan,Dollars,2020.0,400
Alaska,Bethel,nan,Dollars,2050.0,411
Alaska,Bristol Bay,nan,Dollars,2060.0,423
Alaska,Denali,nan,Dollars,2068.0,426
Alaska,Dillingham,nan,Dollars,2070.0,445
Alaska,Fairbanks North Star,29000.0,Dollars,2090.0,454
Alaska,Haines,nan,Dollars,2100.0,462
Alaska,Hoonah-Angoon,nan,Dollars,2105.0,476
Alaska,Juneau,nan,Dollars,2110.0,482
Alaska,Kenai Peninsula,85000.0,Dollars,2122.0,494
Alaska,Ketchikan Gateway,nan,Dollars,2130.0,514
Alaska,Kodiak Island,nan,Dollars,2150.0,533
