State,County,CSA farms (% change) 2007 - 12 (PCH_CSA_07_12),Units,FIPS,FID
Alabama,Autauga,50.0,% change,1001.0,5
Alabama,Baldwin,-46.15384615384615,% change,1003.0,20
Alabama,Barbour,-100.0,% change,1005.0,25
Alabama,Bibb,50.0,% change,1007.0,29
Alabama,Blount,-42.857142857142854,% change,1009.0,33
Alabama,Bullock,-100.0,% change,1011.0,37
Alabama,Butler,66.66666666666666,% change,1013.0,39
Alabama,Calhoun,-33.33333333333333,% change,1015.0,43
Alabama,Chambers,nan,% change,1017.0,47
Alabama,Cherokee,-50.0,% change,1019.0,51
Alabama,Chilton,-66.66666666666666,% change,1021.0,56
Alabama,Choctaw,-100.0,% change,1023.0,58
Alabama,Clarke,nan,% change,1025.0,61
Alabama,Clay,100.0,% change,1027.0,65
Alabama,Cleburne,nan,% change,1029.0,67
Alabama,Coffee,-44.44444444444444,% change,1031.0,70
Alabama,Colbert,-85.71428571428571,% change,1033.0,73
Alabama,Conecuh,-33.33333333333333,% change,1035.0,80
Alabama,Coosa,nan,% change,1037.0,82
Alabama,Covington,-20.0,% change,1039.0,88
Alabama,Crenshaw,0.0,% change,1041.0,90
Alabama,Cullman,160.0,% change,1043.0,98
Alabama,Dale,-100.0,% change,1045.0,101
Alabama,Dallas,-71.42857142857143,% change,1047.0,110
Alabama,DeKalb,-81.81818181818183,% change,1049.0,112
Alabama,Elmore,0.0,% change,1051.0,118
Alabama,Escambia,200.0,% change,1053.0,122
Alabama,Etowah,nan,% change,1055.0,131
Alabama,Fayette,nan,% change,1057.0,134
Alabama,Franklin,25.0,% change,1059.0,138
Alabama,Geneva,-50.0,% change,1061.0,140
Alabama,Greene,-85.71428571428571,% change,1063.0,148
Alabama,Hale,nan,% change,1065.0,150
Alabama,Henry,-100.0,% change,1067.0,158
Alabama,Houston,-11.11111111111111,% change,1069.0,160
Alabama,Jackson,-42.857142857142854,% change,1071.0,164
Alabama,Jefferson,-100.0,% change,1073.0,171
Alabama,Lamar,nan,% change,1075.0,174
Alabama,Lauderdale,-54.54545454545454,% change,1077.0,176
Alabama,Lawrence,-50.0,% change,1079.0,181
Alabama,Lee,50.0,% change,1081.0,187
Alabama,Limestone,-62.5,% change,1083.0,197
Alabama,Lowndes,-100.0,% change,1085.0,205
Alabama,Macon,33.33333333333333,% change,1087.0,210
Alabama,Madison,-33.33333333333333,% change,1089.0,217
Alabama,Marengo,-83.33333333333334,% change,1091.0,220
Alabama,Marion,0.0,% change,1093.0,224
Alabama,Marshall,0.0,% change,1095.0,231
Alabama,Mobile,-66.66666666666666,% change,1097.0,240
Alabama,Monroe,-50.0,% change,1099.0,250
Alabama,Montgomery,200.0,% change,1101.0,256
