State,County,Convenience stores 2011 (CONVS11),Units,FIPS,FID
Alabama,Autauga,31,Count,1001,5
Alabama,Baldwin,107,Count,1003,20
Alabama,Barbour,22,Count,1005,25
Alabama,Bibb,19,Count,1007,29
Alabama,Blount,30,Count,1009,33
Alabama,Bullock,2,Count,1011,37
Alabama,Butler,22,Count,1013,39
Alabama,Calhoun,87,Count,1015,43
Alabama,Chambers,26,Count,1017,47
Alabama,Cherokee,17,Count,1019,51
Alabama,Chilton,33,Count,1021,56
Alabama,Choctaw,16,Count,1023,58
Alabama,Clarke,16,Count,1025,61
Alabama,Clay,5,Count,1027,65
Alabama,Cleburne,9,Count,1029,67
Alabama,Coffee,25,Count,1031,70
Alabama,Colbert,49,Count,1033,73
Alabama,Conecuh,18,Count,1035,80
Alabama,Coosa,11,Count,1037,82
Alabama,Covington,33,Count,1039,88
Alabama,Crenshaw,11,Count,1041,90
Alabama,Cullman,57,Count,1043,98
Alabama,Dale,36,Count,1045,101
Alabama,Dallas,36,Count,1047,110
Alabama,DeKalb,46,Count,1049,112
Alabama,Elmore,59,Count,1051,118
Alabama,Escambia,29,Count,1053,122
Alabama,Etowah,71,Count,1055,131
Alabama,Fayette,11,Count,1057,134
Alabama,Franklin,32,Count,1059,138
Alabama,Geneva,14,Count,1061,140
Alabama,Greene,11,Count,1063,148
Alabama,Hale,13,Count,1065,150
Alabama,Henry,15,Count,1067,158
Alabama,Houston,73,Count,1069,160
Alabama,Jackson,39,Count,1071,164
Alabama,Jefferson,458,Count,1073,171
Alabama,Lamar,8,Count,1075,174
Alabama,Lauderdale,55,Count,1077,176
Alabama,Lawrence,21,Count,1079,181
Alabama,Lee,75,Count,1081,187
Alabama,Limestone,56,Count,1083,197
Alabama,Lowndes,8,Count,1085,205
Alabama,Macon,15,Count,1087,210
Alabama,Madison,211,Count,1089,217
Alabama,Marengo,18,Count,1091,220
Alabama,Marion,18,Count,1093,224
Alabama,Marshall,59,Count,1095,231
Alabama,Mobile,228,Count,1097,240
Alabama,Monroe,16,Count,1099,250
Alabama,Montgomery,136,Count,1101,256
Alabama,Morgan,99,Count,1103,262
Alabama,Perry,7,Count,1105,264
Alabama,Pickens,10,Count,1107,273
Alabama,Pike,19,Count,1109,279
Alabama,Randolph,15,Count,1111,284
Alabama,Russell,34,Count,1113,288
Alabama,St. Clair,57,Count,1115,292
Alabama,Shelby,101,Count,1117,298
Alabama,Sumter,14,Count,1119,303
Alabama,Talladega,70,Count,1121,306
Alabama,Tallapoosa,42,Count,1123,308
Alabama,Tuscaloosa,108,Count,1125,313
Alabama,Walker,53,Count,1127,317
Alabama,Washington,9,Count,1129,319
Alabama,Wilcox,7,Count,1131,326
Alabama,Winston,22,Count,1133,332
Alaska,Aleutians East,0,Count,2013,346
Alaska,Aleutians West,2,Count,2016,381
Alaska,Anchorage,60,Count,2020,400
Alaska,Bethel,6,Count,2050,411
Alaska,Bristol Bay,1,Count,2060,423
Alaska,Denali,3,Count,2068,426
Alaska,Dillingham,2,Count,2070,445
Alaska,Fairbanks North Star,22,Count,2090,454
Alaska,Haines,0,Count,2100,462
