State,County,Direct farm sales (% change) 2007 - 12 (PCH_DIRSALES_07_12),Units,FIPS,FID
Alabama,Autauga,208.0,% change,1001.0,5
Alabama,Baldwin,-9.37062937062937,% change,1003.0,20
Alabama,Barbour,18.181818181818183,% change,1005.0,25
Alabama,Bibb,-56.52173913043478,% change,1007.0,29
Alabama,Blount,15.384615384615385,% change,1009.0,33
Alabama,Bullock,38.095238095238095,% change,1011.0,37
Alabama,Butler,1210.0,% change,1013.0,39
Alabama,Calhoun,256.25,% change,1015.0,43
Alabama,Chambers,0.0,% change,1017.0,47
Alabama,Cherokee,-42.592592592592595,% change,1019.0,51
Alabama,Chilton,46.57293497363796,% change,1021.0,56
Alabama,Choctaw,nan,% change,1023.0,58
Alabama,Clarke,20.0,% change,1025.0,61
Alabama,Clay,25.806451612903224,% change,1027.0,65
Alabama,Cleburne,-64.0,% change,1029.0,67
Alabama,Coffee,8.421052631578947,% change,1031.0,70
Alabama,Colbert,5.88235294117647,% change,1033.0,73
Alabama,Conecuh,58.333333333333336,% change,1035.0,80
Alabama,Coosa,133.33333333333331,% change,1037.0,82
Alabama,Covington,-46.400000000000006,% change,1039.0,88
Alabama,Crenshaw,-66.66666666666666,% change,1041.0,90
Alabama,Cullman,6.324110671936759,% change,1043.0,98
Alabama,Dale,127.77777777777777,% change,1045.0,101
Alabama,Dallas,211.36363636363637,% change,1047.0,110
Alabama,DeKalb,-36.60377358490566,% change,1049.0,112
Alabama,Elmore,28.71287128712871,% change,1051.0,118
Alabama,Escambia,72.41379310344827,% change,1053.0,122
Alabama,Etowah,152.72727272727275,% change,1055.0,131
Alabama,Fayette,183.33333333333331,% change,1057.0,134
Alabama,Franklin,-17.24137931034483,% change,1059.0,138
Alabama,Geneva,-58.70967741935483,% change,1061.0,140
Alabama,Greene,-19.047619047619047,% change,1063.0,148
Alabama,Hale,4.761904761904762,% change,1065.0,150
Alabama,Henry,-61.81818181818181,% change,1067.0,158
Alabama,Houston,-10.526315789473683,% change,1069.0,160
Alabama,Jackson,-15.736040609137056,% change,1071.0,164
Alabama,Jefferson,3.389830508474576,% change,1073.0,171
Alabama,Lamar,-51.470588235294116,% change,1075.0,174
Alabama,Lauderdale,-9.239130434782608,% change,1077.0,176
Alabama,Lawrence,-18.81188118811881,% change,1079.0,181
Alabama,Lee,0.8620689655172413,% change,1081.0,187
Alabama,Limestone,102.71186440677967,% change,1083.0,197
Alabama,Lowndes,75.0,% change,1085.0,205
Alabama,Macon,-42.30769230769231,% change,1087.0,210
Alabama,Madison,31.09540636042403,% change,1089.0,217
Alabama,Marengo,-50.0,% change,1091.0,220
Alabama,Marion,-50.0,% change,1093.0,224
Alabama,Marshall,2.8169014084507045,% change,1095.0,231
Alabama,Mobile,59.166666666666664,% change,1097.0,240
Alabama,Monroe,-53.2258064516129,% change,1099.0,250
Alabama,Montgomery,107.5,% change,1101.0,256
Alabama,Morgan,-46.03174603174603,% change,1103.0,262
Alabama,Perry,-56.09756097560976,% change,1105.0,264
Alabama,Pickens,122.22222222222223,% change,1107.0,273
Alabama,Pike,-82.35294117647058,% change,1109.0,279
Alabama,Randolph,-68.91891891891892,% change,1111.0,284
Alabama,Russell,nan,% change,1113.0,288
Alabama,St. Clair,-24.324324324324326,% change,1115.0,292
Alabama,Shelby,225.49019607843138,% change,1117.0,298
Alabama,Sumter,20.0,% change,1119.0,303
Alabama,Talladega,-45.55555555555556,% change,1121.0,306
Alabama,Tallapoosa,26.785714285714285,% change,1123.0,308
Alabama,Tuscaloosa,-43.682310469314075,% change,1125.0,313
Alabama,Walker,264.49275362318843,% change,1127.0,317
Alabama,Washington,-84.0,% change,1129.0,319
Alabama,Wilcox,277.77777777777777,% change,1131.0,326
Alabama,Winston,34.883720930232556,% change,1133.0,332
Alaska,Aleutians East,nan,% change,2013.0,346
Alaska,Aleutians West,nan,% change,2016.0,381
Alaska,Anchorage,13.157894736842104,% change,2020.0,400
Alaska,Bethel,nan,% change,2050.0,411
Alaska,Bristol Bay,nan,% change,2060.0,423
Alaska,Denali,nan,% change,2068.0,426
Alaska,Dillingham,nan,% change,2070.0,445
Alaska,Fairbanks North Star,29.25531914893617,% change,2090.0,454
Alaska,Haines,nan,% change,2100.0,462
Alaska,Hoonah-Angoon,nan,% change,2105.0,476
Alaska,Juneau,135.13513513513513,% change,2110.0,482
Alaska,Kenai Peninsula,101.29032258064517,% change,2122.0,494
Alaska,Ketchikan Gateway,nan,% change,2130.0,514
Alaska,Kodiak Island,nan,% change,2150.0,533
Alaska,Lake and Peninsula,nan,% change,2164.0,544
Alaska,Matanuska-Susitna,nan,% change,2170.0,556
Alaska,Nome,nan,% change,2180.0,571
Alaska,North Slope,nan,% change,2185.0,614
Alaska,Northwest Arctic,nan,% change,2188.0,638
Alaska,Petersburg,nan,% change,2195.0,645
Alaska,Prince of Wales-Hyder,nan,% change,2198.0,669
Alaska,Sitka,nan,% change,2220.0,679
Alaska,Skagway,nan,% change,2230.0,683
Alaska,Southeast Fairbanks,nan,% change,2240.0,690
Alaska,Valdez-Cordova,nan,% change,2261.0,710
Alaska,Wade Hampton,nan,% change,2270.0,725
Alaska,Wrangell,nan,% change,2275.0,733
Alaska,Yakutat,nan,% change,2282.0,744
Alaska,Yukon-Koyukuk,nan,% change,2290.0,753
Arizona,Apache,3.278688524590164,% change,4001.0,761
Arizona,Cochise,-11.96319018404908,% change,4003.0,763
Arizona,Coconino,536.1963190184049,% change,4005.0,771
Arizona,Gila,19.35483870967742,% change,4007.0,787
Arizona,Graham,-76.63551401869158,% change,4009.0,0
Arizona,Greenlee,nan,% change,4011.0,1
Arizona,La Paz,nan,% change,4012.0,3
Arizona,Maricopa,31.762427372498387,% change,4013.0,9
Arizona,Mohave,655.1724137931035,% change,4015.0,15
Arizona,Navajo,109.21052631578947,% change,4017.0,17
Arizona,Pima,321.7948717948718,% change,4019.0,21
Arizona,Pinal,82.1969696969697,% change,4021.0,26
Arizona,Santa Cruz,25.581395348837212,% change,4023.0,32
Arizona,Yavapai,43.253234750462106,% change,4025.0,35
Arizona,Yuma,8.19672131147541,% change,4027.0,42
Arkansas,Arkansas,-18.181818181818183,% change,5001.0,46
Arkansas,Ashley,605.5555555555555,% change,5003.0,50
Arkansas,Baxter,-54.81927710843374,% change,5005.0,54
Arkansas,Benton,-35.044642857142854,% change,5007.0,59
Arkansas,Boone,-10.052910052910052,% change,5009.0,62
Arkansas,Bradley,-30.158730158730158,% change,5011.0,68
Arkansas,Calhoun,nan,% change,5013.0,72
Arkansas,Carroll,-61.377245508982035,% change,5015.0,74
Arkansas,Chicot,nan,% change,5017.0,77
Arkansas,Clark,-64.70588235294117,% change,5019.0,86
Arkansas,Clay,nan,% change,5021.0,93
Arkansas,Cleburne,33.33333333333333,% change,5023.0,97
Arkansas,Cleveland,-100.0,% change,5025.0,103
Arkansas,Columbia,-89.83050847457628,% change,5027.0,107
Arkansas,Conway,-72.46376811594203,% change,5029.0,109
Arkansas,Craighead,-37.857142857142854,% change,5031.0,114
Arkansas,Crawford,54.0,% change,5033.0,115
Arkansas,Crittenden,1125.0,% change,5035.0,119
Arkansas,Cross,nan,% change,5037.0,124
Arkansas,Dallas,nan,% change,5039.0,128
Arkansas,Desha,nan,% change,5041.0,130
Arkansas,Drew,-20.0,% change,5043.0,136
Arkansas,Faulkner,210.09174311926606,% change,5045.0,141
Arkansas,Franklin,0.0,% change,5047.0,144
Arkansas,Fulton,612.0,% change,5049.0,146
Arkansas,Garland,-71.83098591549296,% change,5051.0,151
Arkansas,Grant,72.97297297297297,% change,5053.0,155
Arkansas,Greene,-57.57575757575758,% change,5055.0,162
Arkansas,Hempstead,-25.757575757575758,% change,5057.0,172
Arkansas,Hot Spring,32.62411347517731,% change,5059.0,184
Arkansas,Howard,30.8411214953271,% change,5061.0,191
Arkansas,Independence,-11.200000000000001,% change,5063.0,200
Arkansas,Izard,200.0,% change,5065.0,203
Arkansas,Jackson,-36.93693693693694,% change,5067.0,209
Arkansas,Jefferson,36.58536585365854,% change,5069.0,213
Arkansas,Johnson,329.16666666666663,% change,5071.0,218
Arkansas,Lafayette,140.0,% change,5073.0,222
Arkansas,Lawrence,113.33333333333333,% change,5075.0,230
Arkansas,Lee,nan,% change,5077.0,237
Arkansas,Lincoln,nan,% change,5079.0,244
Arkansas,Little River,100.0,% change,5081.0,251
Arkansas,Logan,-71.74721189591078,% change,5083.0,258
Arkansas,Lonoke,-42.50681198910082,% change,5085.0,268
Arkansas,Madison,-6.282722513089005,% change,5087.0,277
Arkansas,Marion,-78.03468208092485,% change,5089.0,282
Arkansas,Miller,-25.0,% change,5091.0,287
Arkansas,Mississippi,82.14285714285714,% change,5093.0,294
Arkansas,Monroe,nan,% change,5095.0,300
Arkansas,Montgomery,-65.0,% change,5097.0,304
Arkansas,Nevada,nan,% change,5099.0,307
Arkansas,Newton,-82.6086956521739,% change,5101.0,311
Arkansas,Ouachita,-5.88235294117647,% change,5103.0,316
Arkansas,Perry,15.789473684210526,% change,5105.0,318
Arkansas,Phillips,157.14285714285714,% change,5107.0,322
Arkansas,Pike,nan,% change,5109.0,327
Arkansas,Poinsett,966.6666666666666,% change,5111.0,333
Arkansas,Polk,-54.761904761904766,% change,5113.0,337
Arkansas,Pope,-35.79545454545455,% change,5115.0,340
Arkansas,Prairie,-90.9090909090909,% change,5117.0,345
Arkansas,Pulaski,-42.0,% change,5119.0,350
Arkansas,Randolph,22.58064516129032,% change,5121.0,353
Arkansas,St. Francis,183.33333333333331,% change,5123.0,357
Arkansas,Saline,0.0,% change,5125.0,360
Arkansas,Scott,22.857142857142858,% change,5127.0,364
Arkansas,Searcy,-61.19402985074627,% change,5129.0,372
Arkansas,Sebastian,-59.4059405940594,% change,5131.0,378
Arkansas,Sevier,-84.375,% change,5133.0,390
Arkansas,Sharp,-74.8502994011976,% change,5135.0,394
Arkansas,Stone,0.0,% change,5137.0,399
Arkansas,Union,-5.88235294117647,% change,5139.0,403
Arkansas,Van Buren,-43.58974358974359,% change,5141.0,407
Arkansas,Washington,-19.666666666666664,% change,5143.0,417
Arkansas,White,-17.154811715481173,% change,5145.0,428
Arkansas,Woodruff,nan,% change,5147.0,435
Arkansas,Yell,-71.71717171717171,% change,5149.0,438
California,Alameda,20.18633540372671,% change,6001.0,457
California,Alpine,nan,% change,6003.0,461
California,Amador,41.55844155844156,% change,6005.0,472
California,Butte,-41.07787519339866,% change,6007.0,486
California,Calaveras,81.64556962025317,% change,6009.0,489
California,Colusa,-69.16890080428955,% change,6011.0,497
California,Contra Costa,-5.686936936936937,% change,6013.0,503
California,Del Norte,82.35294117647058,% change,6015.0,511
California,El Dorado,-29.86965966690804,% change,6017.0,522
California,Fresno,5.0495049504950495,% change,6019.0,527
California,Glenn,-67.8884203697697,% change,6021.0,537
California,Humboldt,47.56711409395973,% change,6023.0,551
California,Imperial,-65.41598694942904,% change,6025.0,557
California,Inyo,nan,% change,6027.0,562
California,Kern,2.1496130696474633,% change,6029.0,84
California,Kings,97.46300211416491,% change,6031.0,94
California,Lake,74.78260869565217,% change,6033.0,100
California,Lassen,50.29239766081871,% change,6035.0,104
California,Los Angeles,-33.0979949166902,% change,6037.0,139
California,Madera,-25.77854671280277,% change,6039.0,153
California,Marin,10.882708585247885,% change,6041.0,168
California,Mariposa,115.15151515151516,% change,6043.0,178
California,Mendocino,29.00826446280992,% change,6045.0,190
California,Merced,-18.96805896805897,% change,6047.0,204
California,Modoc,198.03921568627453,% change,6049.0,207
California,Mono,nan,% change,6051.0,214
California,Monterey,-10.750728862973762,% change,6053.0,228
California,Napa,20.121951219512198,% change,6055.0,236
California,Nevada,133.8345864661654,% change,6057.0,243
California,Orange,-73.42242019302154,% change,6059.0,257
California,Placer,-4.234338747099768,% change,6061.0,266
California,Plumas,150.0,% change,6063.0,275
California,Riverside,-17.23931282461047,% change,6065.0,281
California,Sacramento,11.838718901915927,% change,6067.0,289
California,San Benito,174.32432432432432,% change,6069.0,295
California,San Bernardino,2.9728020240354205,% change,6071.0,302
California,San Diego,-2.1497979189956147,% change,6073.0,315
California,San Francisco,nan,% change,6075.0,331
California,San Joaquin,-24.651516431528258,% change,6077.0,339
California,San Luis Obispo,37.50876372984342,% change,6079.0,351
California,San Mateo,11.133603238866396,% change,6081.0,368
California,Santa Barbara,36.571056062581484,% change,6083.0,391
California,Santa Clara,85.1775604734946,% change,6085.0,406
California,Santa Cruz,-6.5642625705028195,% change,6087.0,415
California,Shasta,26.136363636363637,% change,6089.0,431
California,Sierra,nan,% change,6091.0,439
California,Siskiyou,43.91025641025641,% change,6093.0,446
California,Solano,102.01944652206431,% change,6095.0,453
California,Sonoma,69.74807412034146,% change,6097.0,463
California,Stanislaus,8.368794326241135,% change,6099.0,473
California,Sutter,-21.932773109243698,% change,6101.0,483
California,Tehama,-17.876489707475624,% change,6103.0,492
California,Trinity,131.46067415730337,% change,6105.0,500
California,Tulare,32.03733835745483,% change,6107.0,501
California,Tuolumne,23.036649214659686,% change,6109.0,513
California,Ventura,5.132192846034215,% change,6111.0,521
California,Yolo,49.05123339658444,% change,6113.0,525
California,Yuba,15.846153846153847,% change,6115.0,541
Colorado,Adams,-77.78761061946902,% change,8001.0,545
Colorado,Alamosa,4.504504504504505,% change,8003.0,549
Colorado,Arapahoe,26.55367231638418,% change,8005.0,558
Colorado,Archuleta,-39.8989898989899,% change,8007.0,560
Colorado,Baca,-17.391304347826086,% change,8009.0,563
Colorado,Bent,-12.121212121212121,% change,8011.0,564
Colorado,Boulder,145.17482517482517,% change,8013.0,570
Colorado,Broomfield,nan,% change,8014.0,577
Colorado,Chaffee,545.0,% change,8015.0,582
Colorado,Cheyenne,-24.242424242424242,% change,8017.0,587
Colorado,Clear Creek,nan,% change,8019.0,591
Colorado,Conejos,65.71428571428571,% change,8021.0,596
Colorado,Costilla,1800.0,% change,8023.0,599
Colorado,Crowley,43.75,% change,8025.0,605
Colorado,Custer,-70.83333333333334,% change,8027.0,610
Colorado,Delta,8.240680183126226,% change,8029.0,617
Colorado,Denver,nan,% change,8031.0,628
Colorado,Dolores,72.22222222222221,% change,8033.0,636
Colorado,Douglas,2.941176470588235,% change,8035.0,644
Colorado,Eagle,126.0,% change,8037.0,648
Colorado,Elbert,-17.524509803921568,% change,8039.0,655
Colorado,El Paso,-47.262247838616716,% change,8041.0,661
Colorado,Fremont,69.11764705882352,% change,8043.0,664
Colorado,Garfield,-38.35616438356164,% change,8045.0,667
Colorado,Gilpin,-100.0,% change,8047.0,672
Colorado,Grand,37.5,% change,8049.0,677
Colorado,Gunnison,-35.61643835616438,% change,8051.0,682
Colorado,Hinsdale,nan,% change,8053.0,688
Colorado,Huerfano,nan,% change,8055.0,693
Colorado,Jackson,8.333333333333332,% change,8057.0,701
Colorado,Jefferson,-26.08695652173913,% change,8059.0,706
Colorado,Kiowa,69.6969696969697,% change,8061.0,711
Colorado,Kit Carson,72.0,% change,8063.0,716
Colorado,Lake,0.0,% change,8065.0,721
Colorado,La Plata,62.99694189602446,% change,8067.0,727
Colorado,Larimer,115.15513126491648,% change,8069.0,734
Colorado,Las Animas,2.380952380952381,% change,8071.0,741
Colorado,Lincoln,197.5609756097561,% change,8073.0,747
Colorado,Logan,-52.65151515151515,% change,8075.0,749
Colorado,Mesa,-25.3119052653838,% change,8077.0,751
Colorado,Mineral,nan,% change,8079.0,757
Colorado,Moffat,-90.43062200956938,% change,8081.0,758
Colorado,Montezuma,3.536977491961415,% change,8083.0,766
