State,County,Direct farm sales (%) 2007 (PCT_LOCLSALE07),Units,FIPS,FID
Alabama,Autauga,0.5963740458015268,Percent,1001.0,5
Alabama,Baldwin,0.7126340549376071,Percent,1003.0,20
Alabama,Barbour,0.015403357932029182,Percent,1005.0,25
Alabama,Bibb,nan,Percent,1007.0,29
Alabama,Blount,0.2677167319837248,Percent,1009.0,33
Alabama,Bullock,0.10295126973232671,Percent,1011.0,37
Alabama,Butler,0.01050012075138864,Percent,1013.0,39
Alabama,Calhoun,0.11583962004604625,Percent,1015.0,43
Alabama,Chambers,1.028553883942278,Percent,1017.0,47
Alabama,Cherokee,0.08999850002499958,Percent,1019.0,51
Alabama,Chilton,3.7323712692686124,Percent,1021.0,56
Alabama,Choctaw,nan,Percent,1023.0,58
Alabama,Clarke,nan,Percent,1025.0,61
Alabama,Clay,0.09043173862310386,Percent,1027.0,65
Alabama,Cleburne,0.0375234521575985,Percent,1029.0,67
Alabama,Coffee,0.04833006893394043,Percent,1031.0,70
Alabama,Colbert,0.16026774140328548,Percent,1033.0,73
Alabama,Conecuh,0.15147689977278464,Percent,1035.0,80
Alabama,Coosa,nan,Percent,1037.0,82
Alabama,Covington,0.14601439117839454,Percent,1039.0,88
Alabama,Crenshaw,0.013395608026648327,Percent,1041.0,90
Alabama,Cullman,0.06233492332558048,Percent,1043.0,98
Alabama,Dale,0.02360160490913382,Percent,1045.0,101
Alabama,Dallas,0.10011604359598625,Percent,1047.0,110
Alabama,DeKalb,0.06396315722144046,Percent,1049.0,112
Alabama,Elmore,0.6750434433899212,Percent,1051.0,118
Alabama,Escambia,0.1235567295811853,Percent,1053.0,122
Alabama,Etowah,0.083135571443687,Percent,1055.0,131
Alabama,Fayette,0.1389103256675413,Percent,1057.0,134
Alabama,Franklin,0.043461645098200836,Percent,1059.0,138
Alabama,Geneva,0.35608172266977056,Percent,1061.0,140
Alabama,Greene,0.7299587225722355,Percent,1063.0,148
Alabama,Hale,0.07262666436105827,Percent,1065.0,150
Alabama,Henry,0.138857330404706,Percent,1067.0,158
Alabama,Houston,0.2730326381778664,Percent,1069.0,160
Alabama,Jackson,0.19765225243302897,Percent,1071.0,164
Alabama,Jefferson,nan,Percent,1073.0,171
Alabama,Lamar,nan,Percent,1075.0,174
Alabama,Lauderdale,0.40919806075701637,Percent,1077.0,176
Alabama,Lawrence,0.06963980362954382,Percent,1079.0,181
Alabama,Lee,nan,Percent,1081.0,187
Alabama,Limestone,0.4167255262042662,Percent,1083.0,197
Alabama,Lowndes,0.027694118461591716,Percent,1085.0,205
Alabama,Macon,0.5803571428571429,Percent,1087.0,210
Alabama,Madison,0.7549082373026035,Percent,1089.0,217
Alabama,Marengo,0.36341611144760755,Percent,1091.0,220
Alabama,Marion,0.0626450446345943,Percent,1093.0,224
Alabama,Marshall,0.05961627272345607,Percent,1095.0,231
Alabama,Mobile,0.432832770249961,Percent,1097.0,240
Alabama,Monroe,0.32211138819617624,Percent,1099.0,250
Alabama,Montgomery,0.09602688752850798,Percent,1101.0,256
Alabama,Morgan,0.39029023964646725,Percent,1103.0,262
Alabama,Perry,0.23364485981308408,Percent,1105.0,264
Alabama,Pickens,0.016390307864616056,Percent,1107.0,273
Alabama,Pike,0.15330784214703125,Percent,1109.0,279
Alabama,Randolph,0.19747815064380544,Percent,1111.0,284
Alabama,Russell,nan,Percent,1113.0,288
Alabama,St. Clair,0.4400869978930198,Percent,1115.0,292
Alabama,Shelby,0.5223269151986891,Percent,1117.0,298
Alabama,Sumter,0.16799193638705343,Percent,1119.0,303
Alabama,Talladega,0.31708004509582866,Percent,1121.0,306
Alabama,Tallapoosa,0.8464328899637243,Percent,1123.0,308
Alabama,Tuscaloosa,1.091023671668833,Percent,1125.0,313
Alabama,Walker,0.2625470872493436,Percent,1127.0,317
Alabama,Washington,0.4061078622482131,Percent,1129.0,319
Alabama,Wilcox,0.11824990145841545,Percent,1131.0,326
Alabama,Winston,0.06566890653634698,Percent,1133.0,332
Alaska,Aleutians East,nan,Percent,2013.0,346
Alaska,Aleutians West,nan,Percent,2016.0,381
Alaska,Anchorage,2.632905013857395,Percent,2020.0,400
Alaska,Bethel,nan,Percent,2050.0,411
Alaska,Bristol Bay,nan,Percent,2060.0,423
Alaska,Denali,nan,Percent,2068.0,426
Alaska,Dillingham,nan,Percent,2070.0,445
Alaska,Fairbanks North Star,7.971731448763252,Percent,2090.0,454
Alaska,Haines,nan,Percent,2100.0,462
Alaska,Hoonah-Angoon,nan,Percent,2105.0,476
Alaska,Juneau,0.31435853865760405,Percent,2110.0,482
Alaska,Kenai Peninsula,nan,Percent,2122.0,494
Alaska,Ketchikan Gateway,nan,Percent,2130.0,514
Alaska,Kodiak Island,nan,Percent,2150.0,533
Alaska,Lake and Peninsula,nan,Percent,2164.0,544
Alaska,Matanuska-Susitna,nan,Percent,2170.0,556
Alaska,Nome,nan,Percent,2180.0,571
Alaska,North Slope,nan,Percent,2185.0,614
Alaska,Northwest Arctic,nan,Percent,2188.0,638
Alaska,Petersburg,nan,Percent,2195.0,645
Alaska,Prince of Wales-Hyder,nan,Percent,2198.0,669
Alaska,Sitka,nan,Percent,2220.0,679
Alaska,Skagway,nan,Percent,2230.0,683
