State,County,Direct farm sales 2012 (DIRSALES12),Units,FIPS,FID
Alabama,Autauga,308.0,"1,000 dollars",1001.0,5
Alabama,Baldwin,648.0,"1,000 dollars",1003.0,20
Alabama,Barbour,13.0,"1,000 dollars",1005.0,25
Alabama,Bibb,20.0,"1,000 dollars",1007.0,29
Alabama,Blount,495.0,"1,000 dollars",1009.0,33
Alabama,Bullock,58.0,"1,000 dollars",1011.0,37
Alabama,Butler,131.0,"1,000 dollars",1013.0,39
Alabama,Calhoun,285.0,"1,000 dollars",1015.0,43
Alabama,Chambers,67.0,"1,000 dollars",1017.0,47
Alabama,Cherokee,31.0,"1,000 dollars",1019.0,51
Alabama,Chilton,834.0,"1,000 dollars",1021.0,56
Alabama,Choctaw,26.0,"1,000 dollars",1023.0,58
Alabama,Clarke,42.0,"1,000 dollars",1025.0,61
Alabama,Clay,39.0,"1,000 dollars",1027.0,65
Alabama,Cleburne,9.0,"1,000 dollars",1029.0,67
Alabama,Coffee,103.0,"1,000 dollars",1031.0,70
Alabama,Colbert,72.0,"1,000 dollars",1033.0,73
Alabama,Conecuh,19.0,"1,000 dollars",1035.0,80
Alabama,Coosa,28.0,"1,000 dollars",1037.0,82
Alabama,Covington,67.0,"1,000 dollars",1039.0,88
Alabama,Crenshaw,5.0,"1,000 dollars",1041.0,90
Alabama,Cullman,269.0,"1,000 dollars",1043.0,98
Alabama,Dale,41.0,"1,000 dollars",1045.0,101
Alabama,Dallas,137.0,"1,000 dollars",1047.0,110
Alabama,DeKalb,168.0,"1,000 dollars",1049.0,112
Alabama,Elmore,130.0,"1,000 dollars",1051.0,118
Alabama,Escambia,50.0,"1,000 dollars",1053.0,122
Alabama,Etowah,139.0,"1,000 dollars",1055.0,131
Alabama,Fayette,51.0,"1,000 dollars",1057.0,134
Alabama,Franklin,48.0,"1,000 dollars",1059.0,138
Alabama,Geneva,192.0,"1,000 dollars",1061.0,140
Alabama,Greene,136.0,"1,000 dollars",1063.0,148
Alabama,Hale,44.0,"1,000 dollars",1065.0,150
Alabama,Henry,21.0,"1,000 dollars",1067.0,158
Alabama,Houston,136.0,"1,000 dollars",1069.0,160
Alabama,Jackson,166.0,"1,000 dollars",1071.0,164
Alabama,Jefferson,61.0,"1,000 dollars",1073.0,171
Alabama,Lamar,33.0,"1,000 dollars",1075.0,174
Alabama,Lauderdale,167.0,"1,000 dollars",1077.0,176
Alabama,Lawrence,82.0,"1,000 dollars",1079.0,181
Alabama,Lee,234.0,"1,000 dollars",1081.0,187
Alabama,Limestone,598.0,"1,000 dollars",1083.0,197
Alabama,Lowndes,28.0,"1,000 dollars",1085.0,205
Alabama,Macon,45.0,"1,000 dollars",1087.0,210
Alabama,Madison,371.0,"1,000 dollars",1089.0,217
Alabama,Marengo,30.0,"1,000 dollars",1091.0,220
Alabama,Marion,22.0,"1,000 dollars",1093.0,224
Alabama,Marshall,146.0,"1,000 dollars",1095.0,231
Alabama,Mobile,573.0,"1,000 dollars",1097.0,240
Alabama,Monroe,29.0,"1,000 dollars",1099.0,250
Alabama,Montgomery,83.0,"1,000 dollars",1101.0,256
Alabama,Morgan,204.0,"1,000 dollars",1103.0,262
Alabama,Perry,18.0,"1,000 dollars",1105.0,264
Alabama,Pickens,40.0,"1,000 dollars",1107.0,273
Alabama,Pike,30.0,"1,000 dollars",1109.0,279
Alabama,Randolph,46.0,"1,000 dollars",1111.0,284
Alabama,Russell,24.0,"1,000 dollars",1113.0,288
Alabama,St. Clair,196.0,"1,000 dollars",1115.0,292
Alabama,Shelby,166.0,"1,000 dollars",1117.0,298
