State,County,Farmers' markets 2013 (FMRKT13),Units,FIPS,FID
Alabama,Autauga,1.0,Count,1001.0,5
Alabama,Baldwin,4.0,Count,1003.0,20
Alabama,Barbour,3.0,Count,1005.0,25
Alabama,Bibb,1.0,Count,1007.0,29
Alabama,Blount,1.0,Count,1009.0,33
Alabama,Bullock,1.0,Count,1011.0,37
Alabama,Butler,2.0,Count,1013.0,39
Alabama,Calhoun,3.0,Count,1015.0,43
Alabama,Chambers,1.0,Count,1017.0,47
Alabama,Cherokee,1.0,Count,1019.0,51
Alabama,Chilton,0.0,Count,1021.0,56
Alabama,Choctaw,1.0,Count,1023.0,58
Alabama,Clarke,2.0,Count,1025.0,61
Alabama,Clay,2.0,Count,1027.0,65
Alabama,Cleburne,1.0,Count,1029.0,67
Alabama,Coffee,1.0,Count,1031.0,70
Alabama,Colbert,3.0,Count,1033.0,73
Alabama,Conecuh,1.0,Count,1035.0,80
Alabama,Coosa,0.0,Count,1037.0,82
Alabama,Covington,2.0,Count,1039.0,88
Alabama,Crenshaw,1.0,Count,1041.0,90
Alabama,Cullman,1.0,Count,1043.0,98
Alabama,Dale,2.0,Count,1045.0,101
Alabama,Dallas,1.0,Count,1047.0,110
Alabama,DeKalb,3.0,Count,1049.0,112
Alabama,Elmore,1.0,Count,1051.0,118
Alabama,Escambia,3.0,Count,1053.0,122
Alabama,Etowah,3.0,Count,1055.0,131
Alabama,Fayette,1.0,Count,1057.0,134
Alabama,Franklin,2.0,Count,1059.0,138
Alabama,Geneva,0.0,Count,1061.0,140
Alabama,Greene,2.0,Count,1063.0,148
Alabama,Hale,1.0,Count,1065.0,150
Alabama,Henry,2.0,Count,1067.0,158
Alabama,Houston,3.0,Count,1069.0,160
Alabama,Jackson,1.0,Count,1071.0,164
Alabama,Jefferson,16.0,Count,1073.0,171
Alabama,Lamar,1.0,Count,1075.0,174
Alabama,Lauderdale,1.0,Count,1077.0,176
Alabama,Lawrence,1.0,Count,1079.0,181
Alabama,Lee,4.0,Count,1081.0,187
Alabama,Limestone,1.0,Count,1083.0,197
Alabama,Lowndes,1.0,Count,1085.0,205
Alabama,Macon,1.0,Count,1087.0,210
Alabama,Madison,6.0,Count,1089.0,217
Alabama,Marengo,2.0,Count,1091.0,220
Alabama,Marion,2.0,Count,1093.0,224
Alabama,Marshall,4.0,Count,1095.0,231
Alabama,Mobile,6.0,Count,1097.0,240
Alabama,Monroe,2.0,Count,1099.0,250
Alabama,Montgomery,4.0,Count,1101.0,256
Alabama,Morgan,2.0,Count,1103.0,262
Alabama,Perry,2.0,Count,1105.0,264
Alabama,Pickens,2.0,Count,1107.0,273
Alabama,Pike,1.0,Count,1109.0,279
Alabama,Randolph,0.0,Count,1111.0,284
Alabama,Russell,1.0,Count,1113.0,288
Alabama,St. Clair,1.0,Count,1115.0,292
Alabama,Shelby,8.0,Count,1117.0,298
Alabama,Sumter,1.0,Count,1119.0,303
Alabama,Talladega,1.0,Count,1121.0,306
Alabama,Tallapoosa,3.0,Count,1123.0,308
Alabama,Tuscaloosa,3.0,Count,1125.0,313
Alabama,Walker,1.0,Count,1127.0,317
Alabama,Washington,1.0,Count,1129.0,319
Alabama,Wilcox,3.0,Count,1131.0,326
Alabama,Winston,1.0,Count,1133.0,332
Alaska,Aleutians East,0.0,Count,2013.0,346
Alaska,Aleutians West,0.0,Count,2016.0,381
Alaska,Anchorage,7.0,Count,2020.0,400
Alaska,Bethel,0.0,Count,2050.0,411
Alaska,Bristol Bay,0.0,Count,2060.0,423
Alaska,Denali,0.0,Count,2068.0,426
Alaska,Dillingham,1.0,Count,2070.0,445
Alaska,Fairbanks North Star,3.0,Count,2090.0,454
Alaska,Haines,1.0,Count,2100.0,462
Alaska,Hoonah-Angoon,0.0,Count,2105.0,476
Alaska,Juneau,0.0,Count,2110.0,482
Alaska,Kenai Peninsula,5.0,Count,2122.0,494
Alaska,Ketchikan Gateway,0.0,Count,2130.0,514
Alaska,Kodiak Island,0.0,Count,2150.0,533
Alaska,Lake and Peninsula,0.0,Count,2164.0,544
Alaska,Matanuska-Susitna,7.0,Count,2170.0,556
Alaska,Nome,0.0,Count,2180.0,571
Alaska,North Slope,0.0,Count,2185.0,614
Alaska,Northwest Arctic,0.0,Count,2188.0,638
Alaska,Petersburg,0.0,Count,2195.0,645
Alaska,Prince of Wales-Hyder,0.0,Count,2198.0,669
Alaska,Sitka,1.0,Count,2220.0,679
Alaska,Skagway,0.0,Count,2230.0,683
Alaska,Southeast Fairbanks,1.0,Count,2240.0,690
Alaska,Valdez-Cordova,3.0,Count,2261.0,710
Alaska,Wade Hampton,nan,Count,2270.0,725
Alaska,Wrangell,0.0,Count,2275.0,733
Alaska,Yakutat,0.0,Count,2282.0,744
Alaska,Yukon-Koyukuk,2.0,Count,2290.0,753
Arizona,Apache,1.0,Count,4001.0,761
Arizona,Cochise,3.0,Count,4003.0,763
Arizona,Coconino,1.0,Count,4005.0,771
Arizona,Gila,1.0,Count,4007.0,787
Arizona,Graham,1.0,Count,4009.0,0
Arizona,Greenlee,0.0,Count,4011.0,1
Arizona,La Paz,0.0,Count,4012.0,3
Arizona,Maricopa,33.0,Count,4013.0,9
Arizona,Mohave,0.0,Count,4015.0,15
Arizona,Navajo,3.0,Count,4017.0,17
Arizona,Pima,21.0,Count,4019.0,21
Arizona,Pinal,2.0,Count,4021.0,26
Arizona,Santa Cruz,5.0,Count,4023.0,32
Arizona,Yavapai,9.0,Count,4025.0,35
Arizona,Yuma,1.0,Count,4027.0,42
Arkansas,Arkansas,2.0,Count,5001.0,46
Arkansas,Ashley,1.0,Count,5003.0,50
Arkansas,Baxter,4.0,Count,5005.0,54
Arkansas,Benton,6.0,Count,5007.0,59
Arkansas,Boone,3.0,Count,5009.0,62
Arkansas,Bradley,0.0,Count,5011.0,68
Arkansas,Calhoun,0.0,Count,5013.0,72
Arkansas,Carroll,3.0,Count,5015.0,74
Arkansas,Chicot,1.0,Count,5017.0,77
Arkansas,Clark,1.0,Count,5019.0,86
Arkansas,Clay,1.0,Count,5021.0,93
Arkansas,Cleburne,1.0,Count,5023.0,97
Arkansas,Cleveland,0.0,Count,5025.0,103
Arkansas,Columbia,1.0,Count,5027.0,107
Arkansas,Conway,1.0,Count,5029.0,109
Arkansas,Craighead,2.0,Count,5031.0,114
Arkansas,Crawford,1.0,Count,5033.0,115
Arkansas,Crittenden,0.0,Count,5035.0,119
Arkansas,Cross,1.0,Count,5037.0,124
Arkansas,Dallas,0.0,Count,5039.0,128
Arkansas,Desha,0.0,Count,5041.0,130
Arkansas,Drew,0.0,Count,5043.0,136
Arkansas,Faulkner,3.0,Count,5045.0,141
Arkansas,Franklin,0.0,Count,5047.0,144
Arkansas,Fulton,0.0,Count,5049.0,146
Arkansas,Garland,2.0,Count,5051.0,151
Arkansas,Grant,1.0,Count,5053.0,155
Arkansas,Greene,1.0,Count,5055.0,162
Arkansas,Hempstead,1.0,Count,5057.0,172
Arkansas,Hot Spring,0.0,Count,5059.0,184
Arkansas,Howard,1.0,Count,5061.0,191
Arkansas,Independence,0.0,Count,5063.0,200
Arkansas,Izard,1.0,Count,5065.0,203
Arkansas,Jackson,1.0,Count,5067.0,209
Arkansas,Jefferson,2.0,Count,5069.0,213
Arkansas,Johnson,2.0,Count,5071.0,218
Arkansas,Lafayette,0.0,Count,5073.0,222
Arkansas,Lawrence,2.0,Count,5075.0,230
Arkansas,Lee,1.0,Count,5077.0,237
Arkansas,Lincoln,0.0,Count,5079.0,244
Arkansas,Little River,1.0,Count,5081.0,251
Arkansas,Logan,1.0,Count,5083.0,258
Arkansas,Lonoke,0.0,Count,5085.0,268
Arkansas,Madison,1.0,Count,5087.0,277
Arkansas,Marion,1.0,Count,5089.0,282
Arkansas,Miller,2.0,Count,5091.0,287
Arkansas,Mississippi,2.0,Count,5093.0,294
Arkansas,Monroe,0.0,Count,5095.0,300
Arkansas,Montgomery,1.0,Count,5097.0,304
Arkansas,Nevada,1.0,Count,5099.0,307
Arkansas,Newton,0.0,Count,5101.0,311
Arkansas,Ouachita,1.0,Count,5103.0,316
Arkansas,Perry,1.0,Count,5105.0,318
Arkansas,Phillips,2.0,Count,5107.0,322
Arkansas,Pike,0.0,Count,5109.0,327
Arkansas,Poinsett,0.0,Count,5111.0,333
Arkansas,Polk,2.0,Count,5113.0,337
Arkansas,Pope,2.0,Count,5115.0,340
Arkansas,Prairie,0.0,Count,5117.0,345
Arkansas,Pulaski,9.0,Count,5119.0,350
Arkansas,Randolph,1.0,Count,5121.0,353
Arkansas,St. Francis,1.0,Count,5123.0,357
Arkansas,Saline,1.0,Count,5125.0,360
Arkansas,Scott,1.0,Count,5127.0,364
Arkansas,Searcy,1.0,Count,5129.0,372
Arkansas,Sebastian,3.0,Count,5131.0,378
Arkansas,Sevier,0.0,Count,5133.0,390
Arkansas,Sharp,1.0,Count,5135.0,394
Arkansas,Stone,1.0,Count,5137.0,399
Arkansas,Union,0.0,Count,5139.0,403
Arkansas,Van Buren,1.0,Count,5141.0,407
Arkansas,Washington,5.0,Count,5143.0,417
Arkansas,White,3.0,Count,5145.0,428
