State,County,Farms with direct sales (% change) 2007 - 12 (PCH_DIRSALES_FARMS_07_12),Units,FIPS,FID
Alabama,Autauga,104.0,% change,1001.0,5
Alabama,Baldwin,28.749999999999996,% change,1003.0,20
Alabama,Barbour,-27.77777777777778,% change,1005.0,25
Alabama,Bibb,8.333333333333332,% change,1007.0,29
Alabama,Blount,4.761904761904762,% change,1009.0,33
Alabama,Bullock,-7.6923076923076925,% change,1011.0,37
Alabama,Butler,181.8181818181818,% change,1013.0,39
Alabama,Calhoun,42.857142857142854,% change,1015.0,43
Alabama,Chambers,46.666666666666664,% change,1017.0,47
Alabama,Cherokee,-39.130434782608695,% change,1019.0,51
Alabama,Chilton,0.0,% change,1021.0,56
Alabama,Choctaw,75.0,% change,1023.0,58
Alabama,Clarke,-5.263157894736842,% change,1025.0,61
Alabama,Clay,-45.0,% change,1027.0,65
Alabama,Cleburne,-26.31578947368421,% change,1029.0,67
Alabama,Coffee,8.823529411764707,% change,1031.0,70
Alabama,Colbert,-29.72972972972973,% change,1033.0,73
Alabama,Conecuh,62.5,% change,1035.0,80
Alabama,Coosa,157.14285714285714,% change,1037.0,82
Alabama,Covington,-7.5,% change,1039.0,88
Alabama,Crenshaw,-12.5,% change,1041.0,90
Alabama,Cullman,-1.3333333333333335,% change,1043.0,98
Alabama,Dale,-4.166666666666666,% change,1045.0,101
Alabama,Dallas,-9.090909090909092,% change,1047.0,110
Alabama,DeKalb,-2.564102564102564,% change,1049.0,112
Alabama,Elmore,37.93103448275862,% change,1051.0,118
Alabama,Escambia,35.294117647058826,% change,1053.0,122
Alabama,Etowah,-8.16326530612245,% change,1055.0,131
Alabama,Fayette,47.05882352941176,% change,1057.0,134
Alabama,Franklin,-22.58064516129032,% change,1059.0,138
Alabama,Geneva,-2.2222222222222223,% change,1061.0,140
Alabama,Greene,15.0,% change,1063.0,148
Alabama,Hale,25.0,% change,1065.0,150
Alabama,Henry,27.27272727272727,% change,1067.0,158
Alabama,Houston,17.647058823529413,% change,1069.0,160
Alabama,Jackson,-10.126582278481013,% change,1071.0,164
Alabama,Jefferson,40.476190476190474,% change,1073.0,171
Alabama,Lamar,-26.31578947368421,% change,1075.0,174
Alabama,Lauderdale,-10.16949152542373,% change,1077.0,176
Alabama,Lawrence,-10.869565217391305,% change,1079.0,181
Alabama,Lee,-48.38709677419355,% change,1081.0,187
Alabama,Limestone,40.0,% change,1083.0,197
Alabama,Lowndes,-15.789473684210526,% change,1085.0,205
Alabama,Macon,3.0303030303030303,% change,1087.0,210
Alabama,Madison,11.267605633802818,% change,1089.0,217
Alabama,Marengo,-16.666666666666664,% change,1091.0,220
Alabama,Marion,-37.5,% change,1093.0,224
Alabama,Marshall,-17.46031746031746,% change,1095.0,231
Alabama,Mobile,30.88235294117647,% change,1097.0,240
Alabama,Monroe,-53.333333333333336,% change,1099.0,250
Alabama,Montgomery,40.0,% change,1101.0,256
Alabama,Morgan,-33.82352941176471,% change,1103.0,262
Alabama,Perry,0.0,% change,1105.0,264
Alabama,Pickens,-9.523809523809524,% change,1107.0,273
Alabama,Pike,-62.5,% change,1109.0,279
Alabama,Randolph,-34.48275862068966,% change,1111.0,284
Alabama,Russell,150.0,% change,1113.0,288
Alabama,St. Clair,-16.666666666666664,% change,1115.0,292
Alabama,Shelby,83.33333333333334,% change,1117.0,298
Alabama,Sumter,6.666666666666667,% change,1119.0,303
Alabama,Talladega,-18.421052631578945,% change,1121.0,306
Alabama,Tallapoosa,-14.285714285714285,% change,1123.0,308
Alabama,Tuscaloosa,-3.7037037037037033,% change,1125.0,313
Alabama,Walker,-32.142857142857146,% change,1127.0,317
Alabama,Washington,-34.375,% change,1129.0,319
Alabama,Wilcox,15.384615384615385,% change,1131.0,326
Alabama,Winston,-10.526315789473683,% change,1133.0,332
Alaska,Aleutians East,nan,% change,2013.0,346
Alaska,Aleutians West,nan,% change,2016.0,381
Alaska,Anchorage,45.16129032258064,% change,2020.0,400
Alaska,Bethel,nan,% change,2050.0,411
Alaska,Bristol Bay,nan,% change,2060.0,423
Alaska,Denali,nan,% change,2068.0,426
Alaska,Dillingham,nan,% change,2070.0,445
Alaska,Fairbanks North Star,63.1578947368421,% change,2090.0,454
Alaska,Haines,nan,% change,2100.0,462
Alaska,Hoonah-Angoon,nan,% change,2105.0,476
Alaska,Juneau,63.63636363636363,% change,2110.0,482
Alaska,Kenai Peninsula,107.40740740740742,% change,2122.0,494
Alaska,Ketchikan Gateway,nan,% change,2130.0,514
Alaska,Kodiak Island,nan,% change,2150.0,533
Alaska,Lake and Peninsula,nan,% change,2164.0,544
Alaska,Matanuska-Susitna,nan,% change,2170.0,556
Alaska,Nome,nan,% change,2180.0,571
Alaska,North Slope,nan,% change,2185.0,614
Alaska,Northwest Arctic,nan,% change,2188.0,638
Alaska,Petersburg,nan,% change,2195.0,645
Alaska,Prince of Wales-Hyder,nan,% change,2198.0,669
Alaska,Sitka,nan,% change,2220.0,679
Alaska,Skagway,nan,% change,2230.0,683
Alaska,Southeast Fairbanks,nan,% change,2240.0,690
Alaska,Valdez-Cordova,nan,% change,2261.0,710
Alaska,Wade Hampton,nan,% change,2270.0,725
Alaska,Wrangell,nan,% change,2275.0,733
Alaska,Yakutat,nan,% change,2282.0,744
Alaska,Yukon-Koyukuk,nan,% change,2290.0,753
Arizona,Apache,-5.109489051094891,% change,4001.0,761
Arizona,Cochise,31.182795698924732,% change,4003.0,763
Arizona,Coconino,74.24242424242425,% change,4005.0,771
Arizona,Gila,0.0,% change,4007.0,787
Arizona,Graham,19.047619047619047,% change,4009.0,0
Arizona,Greenlee,180.0,% change,4011.0,1
Arizona,La Paz,16.666666666666664,% change,4012.0,3
Arizona,Maricopa,68.9922480620155,% change,4013.0,9
Arizona,Mohave,84.61538461538461,% change,4015.0,15
