State,County,Farms with direct sales (%) 2012 (PCT_LOCLFARM12),Units,FIPS,FID
Alabama,Autauga,13.110539845758353,Percent,1001.0,5
Alabama,Baldwin,10.414560161779574,Percent,1003.0,20
Alabama,Barbour,2.276707530647986,Percent,1005.0,25
Alabama,Bibb,6.878306878306878,Percent,1007.0,29
Alabama,Blount,7.0910556003223215,Percent,1009.0,33
Alabama,Bullock,4.395604395604396,Percent,1011.0,37
Alabama,Butler,7.616707616707617,Percent,1013.0,39
Alabama,Calhoun,8.445945945945946,Percent,1015.0,43
Alabama,Chambers,7.308970099667775,Percent,1017.0,47
Alabama,Cherokee,2.4955436720142603,Percent,1019.0,51
Alabama,Chilton,10.681399631675875,Percent,1021.0,56
Alabama,Choctaw,5.64516129032258,Percent,1023.0,58
Alabama,Clarke,6.844106463878327,Percent,1025.0,61
Alabama,Clay,2.7431421446384037,Percent,1027.0,65
Alabama,Cleburne,4.105571847507331,Percent,1029.0,67
Alabama,Coffee,4.115684093437152,Percent,1031.0,70
Alabama,Colbert,3.7845705967976713,Percent,1033.0,73
Alabama,Conecuh,3.7572254335260116,Percent,1035.0,80
Alabama,Coosa,11.842105263157894,Percent,1037.0,82
Alabama,Covington,3.5204567078972406,Percent,1039.0,88
Alabama,Crenshaw,2.4347826086956523,Percent,1041.0,90
Alabama,Cullman,3.687095166915795,Percent,1043.0,98
Alabama,Dale,4.722792607802875,Percent,1045.0,101
Alabama,Dallas,3.9525691699604746,Percent,1047.0,110
Alabama,DeKalb,3.734643734643735,Percent,1049.0,112
Alabama,Elmore,7.246376811594203,Percent,1051.0,118
Alabama,Escambia,5.066079295154185,Percent,1053.0,122
Alabama,Etowah,5.275498241500586,Percent,1055.0,131
Alabama,Fayette,6.038647342995169,Percent,1057.0,134
Alabama,Franklin,2.909090909090909,Percent,1059.0,138
Alabama,Geneva,4.3264503441494595,Percent,1061.0,140
Alabama,Greene,7.565789473684211,Percent,1063.0,148
Alabama,Hale,4.385964912280701,Percent,1065.0,150
Alabama,Henry,2.8112449799196786,Percent,1067.0,158
Alabama,Houston,4.901960784313726,Percent,1069.0,160
Alabama,Jackson,5.159883720930233,Percent,1071.0,164
Alabama,Jefferson,14.974619289340103,Percent,1073.0,171
Alabama,Lamar,3.9660056657223794,Percent,1075.0,174
Alabama,Lauderdale,3.6152796725784446,Percent,1077.0,176
Alabama,Lawrence,2.643455834945197,Percent,1079.0,181
Alabama,Lee,5.079365079365079,Percent,1081.0,187
Alabama,Limestone,5.691056910569105,Percent,1083.0,197
Alabama,Lowndes,3.6281179138321997,Percent,1085.0,205
Alabama,Macon,9.659090909090908,Percent,1087.0,210
Alabama,Madison,7.647628267182963,Percent,1089.0,217
Alabama,Marengo,3.006012024048096,Percent,1091.0,220
Alabama,Marion,2.797202797202797,Percent,1093.0,224
Alabama,Marshall,3.4551495016611296,Percent,1095.0,231
Alabama,Mobile,12.750716332378223,Percent,1097.0,240
Alabama,Monroe,2.9166666666666665,Percent,1099.0,250
Alabama,Montgomery,4.643449419568822,Percent,1101.0,256
Alabama,Morgan,3.637833468067906,Percent,1103.0,262
Alabama,Perry,3.8560411311053984,Percent,1105.0,264
Alabama,Pickens,4.387990762124711,Percent,1107.0,273
Alabama,Pike,2.0,Percent,1109.0,279
Alabama,Randolph,3.109656301145663,Percent,1111.0,284
Alabama,Russell,5.357142857142857,Percent,1113.0,288
Alabama,St. Clair,5.555555555555555,Percent,1115.0,292
Alabama,Shelby,8.229426433915211,Percent,1117.0,298
Alabama,Sumter,3.7383177570093453,Percent,1119.0,303
Alabama,Talladega,5.973025048169557,Percent,1121.0,306
Alabama,Tallapoosa,5.217391304347826,Percent,1123.0,308
Alabama,Tuscaloosa,10.46277665995976,Percent,1125.0,313
Alabama,Walker,3.941908713692946,Percent,1127.0,317
Alabama,Washington,5.660377358490567,Percent,1129.0,319
Alabama,Wilcox,4.746835443037975,Percent,1131.0,326
Alabama,Winston,3.2692307692307696,Percent,1133.0,332
Alaska,Aleutians East,nan,Percent,2013.0,346
Alaska,Aleutians West,nan,Percent,2016.0,381
Alaska,Anchorage,30.927835051546392,Percent,2020.0,400
Alaska,Bethel,nan,Percent,2050.0,411
Alaska,Bristol Bay,nan,Percent,2060.0,423
Alaska,Denali,nan,Percent,2068.0,426
Alaska,Dillingham,nan,Percent,2070.0,445
Alaska,Fairbanks North Star,28.57142857142857,Percent,2090.0,454
Alaska,Haines,nan,Percent,2100.0,462
Alaska,Hoonah-Angoon,nan,Percent,2105.0,476
Alaska,Juneau,34.61538461538461,Percent,2110.0,482
Alaska,Kenai Peninsula,34.5679012345679,Percent,2122.0,494
Alaska,Ketchikan Gateway,nan,Percent,2130.0,514
Alaska,Kodiak Island,nan,Percent,2150.0,533
Alaska,Lake and Peninsula,nan,Percent,2164.0,544
Alaska,Matanuska-Susitna,nan,Percent,2170.0,556
Alaska,Nome,nan,Percent,2180.0,571
Alaska,North Slope,nan,Percent,2185.0,614
Alaska,Northwest Arctic,nan,Percent,2188.0,638
Alaska,Petersburg,nan,Percent,2195.0,645
Alaska,Prince of Wales-Hyder,nan,Percent,2198.0,669
Alaska,Sitka,nan,Percent,2220.0,679
Alaska,Skagway,nan,Percent,2230.0,683
Alaska,Southeast Fairbanks,nan,Percent,2240.0,690
Alaska,Valdez-Cordova,nan,Percent,2261.0,710
Alaska,Wade Hampton,nan,Percent,2270.0,725
Alaska,Wrangell,nan,Percent,2275.0,733
Alaska,Yakutat,nan,Percent,2282.0,744
Alaska,Yukon-Koyukuk,nan,Percent,2290.0,753
